mag_and_cluster	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
MAG_451_131;hglE-KS	0	0.069325158848897	0	0	0.18704426505515154	0.6369882740084392	0	0
MAG_275_29;CDPS	0	0	0	0	0	0	0	0.8323885863261149
MAG_1422_2;ranthipeptide	0.7886377146927507	0	0	0	0.1378608884905567	0	0	0
MAG_1396_77;RRE-containing	0	0	0	0	0.42363903434322586	0.6004384280443748	0	0
MAG_451_28;terpene	0.18074437591901055	0	0	0	0.6114943724693896	0.34634957022642215	0	0
MAG_1506_5;ladderane	0.7877672305059914	0.2673306531831415	0	0	0	0	0	0
MAG_895_29;NRPS-like	0.43048022998396984	0.7055474712039891	0	0	0	0	0	0
MAG_341_11;ladderane	0.9754537706066888	0	0	0	0	0	0	0
MAG_1423_2;ladderane	0	0.7122272131547662	0	0	0.5019497294338504	0	0	0
MAG_975_177;thioamitides	0.6185127336392349	0	0	0	0.43973482604810166	0.32597066193320917	0	0
MAG_629_175;ranthipeptide	0	0	0	0	0.6941333498987619	0.5955739178800155	0	0
MAG_1408_134;terpene	1.0525805869563438	0	0	0	0	0	0	0
MAG_1536_36;hglE-KS	1.0539710438027394	0	0	0	0	0	0	0
MAG_379_4;RRE-containing	0	0.8976720172339232	0	0	0	0.36483641613286055	0	0
MAG_109_4;RRE-containing	0	0	0	0	0	0	0.9081256427852797	0.5393977676213654
MAG_771_24;butyrolactone	0.2571939578351405	0	0	0.7576619332544711	0.2960275492842017	0	0.3798285882241961	0
MAG_63_26;betalactone	0	0	0	0	0.5290793082472034	0.9718979531258064	0	0
MAG_1398_118;terpene	0.44420804945801695	0	0	0	0.8752452750527929	0.39268272309797364	0	0
MAG_1109_1;phosphonate	0.6812553022642303	0.40397459592101126	0	0	0.33359522032638134	0.47360126425180754	0	0
MAG_62_18;ladderane	1.213200098063111	0	0	0	0	0.11133006526099239	0	0
MAG_815_6;ranthipeptide	0	1.2486786715199547	0	0	0	0	0	0
MAG_1604_1;phosphonate	0.861136267597982	0.6890088225425675	0	0	0.18654114844160793	0	0	0
MAG_1079_2;ladderane	0.6908172882699918	0.8755325054661711	0	0	0	0.17582492402089922	0	0
MAG_1422_1;betalactone	1.2021390688913924	0.2682406402828643	0	0	0	0	0	0
MAG_317_11;hserlactone	0.9536049453793913	0.858238711343494	0	0	0	0	0	0
MAG_59_50;terpene	0	0	0	0.4239460912052995	0	0	0.8633186131511964	0.7403013901699093
MAG_421_8;arylpolyene	1.0581074441362763	0	0	0	0	0.8154645412062944	0	0
MAG_1371_7;nucleoside	0.1861783323084124	0.0993850085139663	0	0	1.0203480701188037	0.7344248716414085	0	0
MAG_583_16;T1PKS	0.6927401658955057	0.7445242366733629	0	0	0.3252221633127545	0.5962796603247286	0	0
MAG_24_112;T1PKS	1.4633536344586255	0	0	0	0	0	0	0
MAG_504_30;arylpolyene	1.0998773896601475	0.6075520641564575	0	0	0.26881309655325536	0.36706931281017485	0	0
MAG_774_62;terpene	0	0	0	0	0	0	1.3785519353284095	0.6918774125399978
MAG_1299_2;terpene	0	0	0.8484521968994572	0.7662728273033635	0	0	0.8240555297362454	0.31371350838923157
