mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_110_1;acyl_amino_acids	0	0	0.5232624210900091	0	0	0.7007776732146541	0	0	0	0	0	0	0	0	0	0
MAG_1431_10;RRE-containing	0	0	0	0	0.6914362873194919	0.6136973247470584	0	0	0	0	0	0	0	0	0	0
MAG_24_5;hglE-KS	0	0	0.18960591964645032	0.426921514910565	0.7493670763822139	0	0	0	0	0	0	0	0	0	0	0
MAG_403_12;ranthipeptide	0	0.38072813586241494	0.10266007302611668	0	0.8791118256015995	0	0	0	0	0	0	0	0	0	0	0
MAG_663_6;T3PKS	0	0	0	0	0	0	1.1062117983700874	0	0	0	0	0	0	0	0	0
MAG_42_81;NRPS-like	0	0	0	0	1.1168686723541097	0	0	0	0	0	0	0	0	0	0	0
MAG_1242_42;arylpolyene	0	0	0.23312307385413802	0	0	1.0551934612908778	0	0	0	0	0	0	0	0	0	0
MAG_76_67;thiopeptide	0	0	0.7602615192615276	0	0.730648107405611	0	0	0	0	0	0	0	0	0	0	0
MAG_1593_5;betalactone	0	0	0	0	0	1.2764102302471514	0	0	0	0	0	0	0	0	0	0
MAG_218_127;T1PKS	0.22593114488554938	0.778784114598292	0.1582286932177939	0	0.5946753316363035	0.17471474120082742	0	0	0	0	0	0	0	0	0	0
MAG_128_124;hglE-KS	0	0	0	0	1.2315271987164473	0.2634692757737337	0	0	0	0	0	0	0	0	0	0
MAG_743_5;other	0	0.8062293838278265	0	0	0.9447116659783501	0	0	0	0	0	0	0	0	0	0	0
MAG_1454_2;RiPP-like	1.031154068137794	0.4326178988883837	0.29973795967579153	0	0	0	0.3552322878822269	0	0	0	0	0	0	0	0	0
MAG_198_108;terpene	0.6064779423719118	1.2166366631910022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1242_25;RRE-containing	0	0	0.6273005826125928	0.40451084347682	0.792851850647821	0.5733999577023984	0	0	0	0	0	0	0	0	0	0
MAG_128_31;T1PKS	0	1.023151312294712	0.9879063800811194	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_650_9;resorcinol	0	0	0	1.0822019819469122	0	0.9331851911672152	0	0	0	0	0	0	0	0	0	0
MAG_743_13;NRPS-like	0	0.6505919374751339	0.3154188087589269	0.684510035500214	0	0.8268728602949129	0	0	0	0	0	0	0	0	0	0
MAG_1286_1;terpene	0.8903107558295129	0	0.5952789649379495	0	0.25336926162660817	0.688994556535806	0	0	0	0	0	0	0.06624838416549544	0	0	0
MAG_1428_1;betalactone	0	0	0.22208122442697986	0	0	1.4744691550069136	0	0	0	0	0	0	0	0	0	0
MAG_1301_181;RRE-containing	0	0	0	0	0	1.567553034667022	0	0	0	0	0	0	0	0	0	0
MAG_1431_42;RRE-containing	0	0	0	0	0.5451031488446751	1.5221107103626594	0	0	0	0	0	0	0	0	0	0
MAG_1531_2;RRE-containing	0	0	0	0	0.7903499998751352	1.4153229762569857	0	0	0	0	0	0	0	0	0	0
MAG_1242_11;hglE-KS	0	0.41198287538603146	0.0366688498935399	0	1.4862613518988663	0.5039969492739853	0	0	0	0	0	0	0	0	0	0
MAG_651_55;terpene	0	0	0	0	0	1.741838064399336	0	0	0	0	0	0	0	0	0	0
MAG_1116_2;ranthipeptide	0	0	0	0	1.6908055234948383	0.4147112551637117	0	0	0	0	0	0	0	0	0	0
