MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
4.06058727913133	3.7849424739442417	1.9668621544455311	2.1787009463904767	4.141607652983411	4.61688859896729	1.8046057165207432	1.4794818035948352	4.823892896118488	5.016742945894275	1.7848635482867472	2.4443682027298292	3.140588980907627	4.6400000679795985	2.5029501016331865	3.0493668005834977	3.9074898138508614	4.621482394382828	3.186504903214963	1.8131010014565843	3.642365226244749	3.554623532110475	1.762616479612992	1.6412695779206636	2.9390492003031485	2.3884041682402635	1.4725706906562175	2.4821546024359473	2.9382695933642493	2.7573127120134524	1.4255421967284998	1.6720237141243337	2.3677453327623152	2.858103749764318	1.5168210404038367	1.5743756477183635	3.3271006427221534	2.494883684723759	1.7034113809942784	1.1385077385404216	2.6917259249946333	1.6490449665322857	2.3670498080280202	2.095798057370595	2.4564950709013176	2.6568200196715845	1.8555048513392536	1.9447604962172245
0	0	3.272112515313741	3.473304282336226	0	0	2.208735665419811	1.2217024219898056	0.9119986928233967	0	2.030081293421191	1.9857069933405411	0	1.3306443343734276	3.660875336468039	3.219222106731746	1.8398670568460136	0	4.083714861168931	3.6977597875760946	0	0	3.852848416195121	3.4134965287621943	0	0	0	0.8758423432611474	0	0	0.7077122539019827	0.1258442004601829	0	0	0.3939697644428737	0.3738943966030125	0	0	0.24587619134292663	0	0	0	1.0112910053584483	1.9733705618729982	0.24093187620762466	0	0.5124902551022337	1.1979135002747991
0	0	0	0	1.3485768418629194	0	0	0	1.9002153710380916	2.866557341397866	2.6544819591628954	2.522015978930448	3.0383015740770007	2.8299371952682897	2.6334000125510477	1.9811704200900073	3.219482631297655	2.911686651804937	3.0077636268289667	3.4717670085389516	0	0	2.6398532326436013	2.5710181627448416	0	0	0	0	0	0.7478883505247186	0	0	1.3012593300844666	0	1.4194129748731636	1.823607787049732	1.3955255936071316	0.6534564112645292	2.7664737344144905	2.028047153736842	0.7888566316031531	1.3317522431556197	1.467836648928571	2.694626573267973	0	0	0.8234033416001287	0
0	0	3.425320841811231	2.8952378491659263	0.548212516440784	0	2.6247781844781337	2.012081898838845	0	0	2.77508377536785	2.208161531459688	0	0	3.9164910852654153	3.3583277671394858	0.4990768058932387	0	4.2332808536309106	3.7294727844515765	0	0.19239741198151897	3.960897524886268	2.3924471148199684	0	0	0.42858952037497067	1.1604745809515604	0.4902940667881315	0	0.5623495070668902	0.23287953246058837	0	0	0.09022222140940106	0.7101530277093534	0	0	0.5195745778689436	0.6424276466716932	0	0	1.222066600280749	1.8797708836721978	0	0	0.5978152108433481	1.3783533436527817
2.237570078466408	1.6114060327856272	0	0	3.6572783297116436	3.461305331997568	0	0	3.36335969902238	3.234086489502832	0.17565365764667196	0	2.802639688787006	3.2818558559802966	0.6999576148305418	1.6266473258436502	2.132615134627765	0.45003730247405477	1.83122550785751	1.5972782905924758	0.4255758484418559	0	2.0631026291646104	2.508069319537716	1.2774591552113903	0.6961189490209381	0	0	1.9154777816313595	1.572457789976603	0	0	0	1.6962152823085028	0.5442373785055072	0.17281961198172946	0.8431542530231317	0.47180113442733884	1.4598998455758363	1.1647397870833702	0.17920934901841684	0.2052306712585574	2.104789265952544	1.6255707801630062	0	0	2.4376190361838272	2.2106032841971155
2.707224542622325	1.726226260696868	0	0	3.6185727950476774	4.000564019612733	0	0	2.7815934910216362	2.9435651769310436	0	0	2.949123217521101	3.377772254951186	1.0420600745042405	1.2430355252040166	1.3842418119539766	0	1.567681501151446	1.2576424922363323	0	0	2.5057658863878896	2.0977551791380704	0.9017097529220247	0.7948264051172809	0	0	2.667730560073993	1.935153320378979	0	0	0.5828576786147549	1.162735486725193	0.5036152587320295	0.2938017068989463	0.4694220682216467	0.7378321268087096	0.8152743137543111	0.8706590237607367	0	0.48156472242109755	2.2717103228349544	1.3142773005352435	0	0	2.1907839747707873	2.082468006764906
0	0	0	0	0	0	0	0	0	3.458183489274134	0	1.308023338319146	3.7517928506211895	0	2.9392834816290767	2.8013215091259336	4.975707924625272	3.437652961129685	3.7055636835361807	3.09323693477707	0	0	2.5938579946794573	2.25535704226739	0	0	0	0	0	0	0	0	1.7853617101354988	1.402226786569401	0	0.5388000542704109	0	1.7161676032751327	2.1861493075108642	1.3616559591403194	1.824467618584216	2.170107731023188	0	0.965408845948881	0	0	1.21547848540464	1.114805081645222
0	0	3.072455345497228	2.976362962085469	0	0	3.0876345804263097	2.1675524859865236	0	0	2.6411528955819263	0.8982409613612136	0	0.8456415328073572	3.064655349931397	2.3060584447541794	0	0	4.075730502847653	3.296198029380352	0	0	3.621286080891796	1.3552307137077408	0.15272833511607975	0	0	1.1010519912300234	0	0	0.3238140143045044	0.12053958078138066	0	0	0.26811796640584706	0.25365911362065874	0	0	0.23607554174152043	0.17868696611034282	0	0	1.1366973517462666	2.0029467077010916	0	0	0.19323168809152796	1.5824729515704792
0	0	0	0	0	0.6884523385805306	0	0	2.6691804644933503	2.1099413506402525	0.571294702296193	0.4525617130349291	2.5671898332732916	2.4077162376872647	2.6966508590658544	2.5669684738411056	3.5784107261586175	3.521728927164657	2.949088798964671	2.679436666846123	0	0	2.0905365865115213	1.6678142325786673	0	0	0	0	0	0	0	0	0.5314963356103068	0.5006665354533769	0.626328304245598	0.07297355150995144	0.4260307758116647	0.3387588419174569	1.7607978595723544	1.0728167570051883	0.7799643429090429	1.006819224406478	1.9769694729647238	1.9985847925265425	0	0	0.6961430942830183	0.4570174223647503
0	0	0	0	1.1450783850426012	1.3447029290129802	0.24436287894522157	0	2.895457705664768	1.903313276228124	1.5109094858041412	2.473087576925763	3.447789347408087	4.0587354092119705	2.625692360798089	2.085038533302042	3.675279483379345	3.392490143588193	1.0321495300972323	0.2361137390366092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10452139436847793	0	0	0	0	0	0	0	0
0	0	3.059798211735359	3.0380865308453515	0	0	1.6236328917432745	0.8667286672827081	0	0	2.0687793110118617	1.5408926864092725	0	0	3.3404940226647644	3.284542485029149	0	0	3.9027278635956275	3.2126087535075936	0	0.381511959620939	3.3690658586656794	1.582908647218326	0	0	1.368357060228261	0	0.3796863021835699	0	0.31279387133457953	0	0	0	0	0.3955913214511917	0	0	0.6392297697548779	0.400937426715344	0	0	2.070261905877573	1.5826361151752493	0	0	0.7298504963156318	1.6140762327883293
2.3557428802526776	1.8569809878779018	0	0	3.4567328990720143	3.311745567144312	0	0	2.461163514319603	2.936593143653088	0	0	2.859921846626658	2.8596510589228314	0.44250256486266437	0	2.354065726334718	0	1.4937367253045557	1.1910205605958375	0	0	0.7313320225217501	2.2367099592880306	0.7254155315501095	0.6526390195325016	0	0	1.91208627415567	1.9445620538223185	0	0	0.5422671120619447	0.9810376930685559	0.1811356949254436	0.270608673004336	0.9690195384324033	0.285957982048277	1.423696882220842	1.0630417530725564	0	0	1.5253488533240909	2.0442122826327918	0	0	1.8727656906249472	1.5509795584234367
0	0	4.466236010458695	3.9979876753851498	0	0	2.120212158125886	1.48788113759955	0	0	0.34303538063313305	2.059091681818795	1.659915649784372	0	3.052198184928345	0	0	0	3.7715239324413616	2.8215739921912313	0	0	2.3759089325294807	1.7592705590814153	0	0	1.4809529170238627	2.4687185717828224	0	0	0	0	0	0	0.4146203916540291	0	0.8798056781289092	0	0	0.5973249940759346	0	0	0	1.6331349522222138	0	0	1.02275639676655	0.570524107022448
