mag_name	MPA103_1	MPA103_2	NPA143_1	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_2	MPA900_1	NPA900_1	NPA900_2	MFL103_1	MFL103_2	NFL143_1	NFL143_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_2	MFL900_1	NFL900_1	NFL900_2
MAG_1396	0	0	0	0	0	0	0	0	0	0	0	0.005886426944690098	0.004870896897375355	0.002257295490487882	0.0018920912658359126	0.025619553579508403	0.05782455469663175	0.02022851012462416	0.009654096881207436	0.05090244316516192	0.04472913314353799	0.21025528527280066	0.17941212850910682	0	0	0	0	0	0	0	0	0	0	0	0	0.004844207557626706	0.0014778684143086597	0	0	0.006169622180303641	0.037401266656199576	0	0	0.5571452758749074	1.0561416094248985	0.14461982806614676	0.44274926786457397
MAG_1428	0	0	0	0	0	0	0	0	0	0.0021625036027093586	0.0030921585463667823	0.11675056061519576	0.10037877275697525	0.0634703233173693	0.04745764628549201	0.32694925087168886	0.3264019727192214	0.667775294190369	0.373638849796638	0	0	0.0032823632469376474	0.0034884180883173795	0	0	0	0	0	0	0	0	0	0	0	0	8.02611920863071e-4	0.0013732664378655526	0.0044753055644848935	0	0.004662955505367257	0.010520458398578339	0	0.0033896546242078007	0	0	0	0
MAG_1264	0	0	0	0	0	0	0	0	0	0	0	0.007984874866786805	0.005261400724599135	0	0	0.05733400520066105	0.048196244977197024	0.003956068432006876	0.0029999905250903377	0.09853764774016449	0.10808455708576661	0.21251978239251984	0.2450015550723427	0	0	0	0	0	0	0	0	0	0	0	0	0.002766688186165823	0.002899230865648268	0	0	0.02799373349994105	0.03417694451825788	0	0.0011556077281096543	0.2198312637413704	0.09079892848546578	0.1618676359521708	0.1514997835902385
MAG_1684	0	0	0	0	0	0	0	0	0	0	0	0.005474067913991646	0.0037920892326668487	0	9.370704123486124e-4	0.04033835182397885	0.027037204324855568	0.0054455994720434935	0.012661371471272928	0.21859144618698687	0.12572249237130212	0.3014132468995647	0.22831409697449034	0	0	0	0.0010993844553876077	0	0.0018877812192514534	0	0.002468548625182138	0	0	0.001330814673194929	0	0.04009580803066006	0.02359600568308501	0.015976316295937158	0.00426538230937813	0.13216899748558342	0.14498704165024545	0.00326103414361565	0.02454591305003229	1.078977209334986	0.8309922869783247	1.0080498869738435	1.160958721434595
MAG_24	0	0	0	0	0.00226089395203309	0	0	0.005351077413904377	0.0018442961398518487	0.0023208595208241895	0.0030464008054256384	0.17801534000350694	0.18366430490408586	0.03950010200519638	0.033303036267729326	0.4465313288027794	0.5384092941940017	0.40688137140034975	0.24048192129143506	0.14716726386896722	0.134199579338051	0.11246987913853149	0.11403624742587723	0	0	0	0	0	0	0	0	0	0	0	0	0.0017683337758231748	0.0013257324282917328	0.00469059165465	0	0.01949740621115912	0.026478178493955774	0	0.0021416951328267443	0.033435242236999146	0.014317705715119795	0.050495294370214744	0.05402896432796197
MAG_336	0	0	0	0	0	0	0	0	0	0	0	0.009593943097169624	0.007371623695460437	0.0017991819011312763	0.0015603619019439433	0.06604048013224148	0.03794390799976983	0.010123317870249268	0.02487135466383577	0.04703292780022863	0.025887148604156272	0.09701449027816343	0.06116216766571469	0	0	0	0	0	0	0	0	0	0.0011818488414488259	0.0032233792267675203	0.002339208018358825	0.0998444661910582	0.07275243811816083	0.04241288869677028	0.009648424888108577	0.27240254270983827	0.3011329671954266	0.00832464082799819	0.07415127335906829	0.37358588256559866	0.1973707146918846	0.35297688253076087	0.423118957846296
MAG_1551	0	0	0	0	0.0016096129777058682	0	0	0.0026060268603274634	0	0.002648903555169337	0.0031018008380963237	0.16395861864782968	0.12910915015811625	0.02559565350664762	0.01945708721192347	0.29735942050397995	0.32633639927706537	0.23620880397512872	0.13235159693920884	0.010671074025692668	0.010775673332658815	0.017701277869884433	0.014918494805890607	0	0	0	0	0	0	0	0	0	0	0.00358085657363482	0.0029520151127176634	0.04376696902280962	0.09011414924277222	0.05620854174314157	0.011526005657049152	0.18265192721563667	0.18438439434748205	0.012478407819519843	0.05997520440235116	0.017474645137437104	0.005397939873174397	0.01996320459903294	0.022399912213958335
MAG_16	0.003357197301474479	0.0029037423566089914	0.008557966914728776	0.0035330298933331844	0.0036652231557346908	0.009485781382611205	0.010744795380654355	0.008916832621370462	0.009557043624893633	0.015902689277045697	0.020907490239678972	0.06373596480037066	0.0512103759499119	0.039491095827360614	0.051483075028065504	0.08038985971698469	0.060243372679629384	0.07118002991123999	0.09039545868727109	0	0	0	0	0.16759963582306675	0.24865352343378946	0.3621644609315327	0.3335522920149267	0.3485239153798841	0.25124851277519356	0.6215740007961671	0.8134814922754177	0.6241629358214976	0.5017744249724163	0.9926707894572038	0.825574814266647	0.8709565309782135	0.7759947049012051	1.2154209238245544	1.0827327061590588	0.5773787454823809	0.912838018112177	1.3121432803446977	0.9772348508812205	0	0	0	0
MAG_2	0.028195776656696467	0.019966241361648887	0.05483970966637623	0.011173853331305805	0.015031788450480726	0.02753297980355547	0.027407402260706246	0.040928436855068806	0.016708664553301885	0.009419012005532084	0.009502404806699073	0.0026311118873653125	0	0.0065523089619551516	0.005928632178112273	0	0	0	0	0	0	0	0	0.5096566407715323	0.365424960643607	1.1093906594398644	1.0821521271044252	0.613987624459896	0.5665058823391916	1.1365099474836886	1.328774617302245	0.5868917089929656	0.5856687013777628	0.529321338600467	0.43361437373022615	0.0096778313523137	0.008932114627121535	0	0.1598011742443386	0	0	0.19466146432669806	9.990417915198616e-4	0	0	0	0
MAG_293	0.0026199332756258113	0.0026404619101900125	0.055587156951010554	0.0049759670161941705	0.005977667393494742	0.02579734361369918	0.024189988735186373	0.017244770532677214	0.008068185480760173	0.009295222256976597	0.021724365847735346	0.005173643993892736	0.004254063029213991	0.01316535513931583	0.02337517539486602	0	0	0.004356139233493182	0.003713162670976773	0	0	0	0	0.11394182408471405	0.10004735076224683	0.3534627202680015	0.3391652073184873	0.36133669507241634	0.30562678371387414	0.8649022750640679	1.0816875702167645	0.4259795734907544	0.3668797354833394	0.5022662667600002	0.38331910565189614	0.018343691016994474	0.013670120680334893	0.001467895514036467	0.1889313803668743	0	0	0.2559093222350527	0.00124050435621384	0	0	0	0
