mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_46_1;NRPS-like	0	0	0	0	0	0	0.32267615080391326	0.14830035808110142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_957_3;other	0	0	0	0	0	0	0	0	0	0	0.1444378866787621	0	0	0	0	0	0.1283895888558083	0	0	0	0	0	0.15172665486039696	0.08619572750224976
MAG_975_160;NRPS	0	0	0	0	0	0	0.33394942951435713	0	0	0	0	0	0	0	0	0	0	0	0.12379938801920139	0.03695705633442962	0	0	0	0
MAG_216_11;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15276706564989723	0.1386872458422054	0	0	0.19959577518770286	0.03975647045716999
MAG_209_55;NRPS-like	0	0	0	0	0	0	0.08968049892224808	0	0	0	0	0	0	0	0	0	0.07924978282495282	0	0.06472521916044152	0	0	0	0.24407712552825042	0.09583550462944403
MAG_1148_13;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45909527152301877	0.047649171655833544
MAG_1148_14;arylpolyene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28003913557473964	0.27268242571560836
MAG_1194_23;phosphonate	0	0	0	0	0	0	0	0.3629920417308097	0	0	0	0	0	0	0	0	0	0	0	0.19361843836023726	0	0	0	0
MAG_330_52;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4147544566681169	0.14184266895063188	0	0	0	0	0	0	0	0
MAG_1566_9;ranthipeptide	0	0	0	0.11861944028292677	0	0	0.08597747553052945	0	0	0	0	0	0	0	0.40289039639967095	0	0	0	0.08630378601637757	0	0	0	0	0
MAG_914_3;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0.5966293782342018	0	0	0	0	0	0	0	0	0	0	0	0
MAG_216_19;terpene	0	0	0	0	0	0	0	0	0	0	0.21889427055696611	0.34688818136774047	0	0	0	0	0	0	0.12790848322321302	0	0	0	0	0.05441278415903264
