mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_236_2;arylpolyene	0	0	0	0.20155695899281323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_877_70;RRE-containing	0	0	0	0	0	0	0.20522132725364986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_245_122;acyl_amino_acids	0	0	0.11237857344708599	0.10653048744975198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_688_81;NRPS-like	0	0	0	0	0	0	0.21125740294721468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1463_30;T1PKS	0	0	0	0	0	0	0.19809907774493352	0	0	0	0.018531254645130547	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1042_3;terpene	0	0	0	0	0	0	0	0.2234764214922081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1301_114;RRE-containing	0	0	0	0	0	0	0.0960273974019383	0.1555162596547479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1432_1;RRE-containing	0	0	0	0	0	0	0.24103636693800742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1528_17;transAT-PKS-like	0	0	0.14564459433253055	0	0	0	0.11246252786802266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_743_19;thioamitides	0	0	0	0	0	0	0	0	0	0.24379367437230312	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_244_38;ladderane	0	0	0.26013387031315255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_820_26;ranthipeptide	0	0	0	0	0	0	0.27114062265411665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1515_11;RRE-containing	0	0	0	0	0	0	0.272370388136943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_646_30;proteusin	0	0	0.20919168438055769	0	0	0	0.07833760478340811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_22;arylpolyene	0	0	0.1926750746951521	0	0	0	0.09910100871605258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_47_55;terpene	0	0	0	0	0	0	0.030557000357218787	0	0	0	0.25363033284798814	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_420_40;thioamitides	0	0	0.1305361546147466	0.16612595281022083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_243_11;RRE-containing	0	0	0	0	0	0	0.04071622086888989	0	0	0	0	0.25045247490105016	0	0	0	0	0	0	0	0	0	0	0	0
MAG_110_71;betalactone	0	0	0.2004490285185784	0	0	0	0.10193712446299433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_633_163;terpene	0	0	0.11599022533875702	0	0	0	0	0	0	0	0	0	0	0	0.1879465108203124	0	0	0	0	0	0	0	0	0
MAG_3_39;terpene	0	0	0.3004015336138897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_921_15;RiPP-like	0	0	0	0	0	0	0	0	0	0	0.3045891387083307	0	0	0	0	0	0	0	0	0	0	0	0	0
