phylum	freq	x	domain	average_completeness
Nanoarchaeota	55	3	Archaea	82.32709090909091
Thermoplasmatota	18	9	Archaea	89.47888888888889
Iainarchaeota	10	12	Archaea	88.178
Altiarchaeota	7	16	Archaea	88.07857142857142
UAP2	6	18	Archaea	89.64166666666667
Aenigmarchaeota	5	19	Archaea	82.118
Crenarchaeota	5	20	Archaea	91.58
Halobacterota	3	29	Archaea	95.55333333333334
