Genome	D3b314A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	14045
CarAnox_mtb2_1542	446128
CarAnox_mtb2_1515	1410828
CarAnox_mtb2_211	3475211
CarAnox_mtb2_485	54439
CarAnox_mtb2_46	6392
CarAnox_mtb2_1170	131142
CarAnox_mtb2_293	502
CarAnox_mtb2_638	1943
CarAnox_mtb2_1548	1314
CarAnox_mtb2_1024	306
CarAnox_mtb2_1251	101908
CarAnox_mtb2_1113	3492
CarAnox_mtb2_1099	106963
CarAnox_mtb2_921	28127
CarAnox_mtb2_103	10026
CarAnox_mtb2_952	100
CarAnox_mtb2_1151	16212
CarAnox_mtb2_1243	3175
CarAnox_mtb2_646	313351
CarAnox_mtb2_974	433
CarAnox_mtb2_670	126845
CarAnox_mtb2_1504	27095
CarAnox_mtb2_933	62235
CarAnox_mtb2_861	163
CarAnox_mtb2_1037	714561
CarAnox_mtb2_648	85433
CarAnox_mtb2_1224	13656
CarAnox_mtb2_45	6261
CarAnox_mtb2_982	5731
CarAnox_mtb2_1588	2070
CarAnox_mtb2_422	18814
CarAnox_mtb2_163	277
CarAnox_mtb2_289	86039
CarAnox_mtb2_1148	1285
CarAnox_mtb2_1262	3167
CarAnox_mtb2_254	35271
CarAnox_mtb2_28	1169741
CarAnox_mtb2_1301	325638
CarAnox_mtb2_1289	2395
CarAnox_mtb2_395	6714
CarAnox_mtb2_1305	1524
CarAnox_mtb2_81	494690
CarAnox_mtb2_724	367
CarAnox_mtb2_331	83
CarAnox_mtb2_758	2318
CarAnox_mtb2_1566	21294
CarAnox_mtb2_723	36392
CarAnox_mtb2_1469	3415
CarAnox_mtb2_1276	428
CarAnox_mtb2_1526	49325
CarAnox_mtb2_529	126166
CarAnox_mtb2_1100	16224
CarAnox_mtb2_239	1809
CarAnox_mtb2_589	150557
CarAnox_mtb2_826	17118
CarAnox_mtb2_1610	984
CarAnox_mtb2_656	43
CarAnox_mtb2_1540	1221
CarAnox_mtb2_1036	80087
CarAnox_mtb2_1014	854
CarAnox_mtb2_1544	2915
CarAnox_mtb2_1584	26772
CarAnox_mtb2_1502	782
CarAnox_mtb2_729	11914
CarAnox_mtb2_927	283
CarAnox_mtb2_315	38182
CarAnox_mtb2_102	66235
CarAnox_mtb2_1173	162
CarAnox_mtb2_1215	24539
CarAnox_mtb2_245	7843
CarAnox_mtb2_1108	66
CarAnox_mtb2_34	79301
CarAnox_mtb2_815	7566
CarAnox_mtb2_1121	74
CarAnox_mtb2_1583	5675
CarAnox_mtb2_1636	246270
CarAnox_mtb2_1252	102426
CarAnox_mtb2_507	80
CarAnox_mtb2_1463	107899
CarAnox_mtb2_554	33767
CarAnox_mtb2_1365	11223
CarAnox_mtb2_564	1325
CarAnox_mtb2_774	1244
CarAnox_mtb2_486	4398
CarAnox_mtb2_811	4569
CarAnox_mtb2_661	478
CarAnox_mtb2_1208	49876
CarAnox_mtb2_1369	14007
CarAnox_mtb2_2	133
CarAnox_mtb2_1188	149720
CarAnox_mtb2_790	44012
CarAnox_mtb2_1389	2676
CarAnox_mtb2_186	33967
CarAnox_mtb2_268	625255
CarAnox_mtb2_68	247
CarAnox_mtb2_1039	606
CarAnox_mtb2_215	81837
CarAnox_mtb2_782	58971
CarAnox_mtb2_1285	6005
CarAnox_mtb2_1408	20057
CarAnox_mtb2_122	183343
CarAnox_mtb2_791	193
CarAnox_mtb2_1279	12876
CarAnox_mtb2_120	527
CarAnox_mtb2_375	1302
CarAnox_mtb2_1071	6533
CarAnox_mtb2_1499	305
CarAnox_mtb2_1178	91
CarAnox_mtb2_171	14122
CarAnox_mtb2_620	4455
CarAnox_mtb2_48	1477
CarAnox_mtb2_435	139409
CarAnox_mtb2_1454	94765
CarAnox_mtb2_190	42147
CarAnox_mtb2_890	4318
CarAnox_mtb2_304	320
CarAnox_mtb2_1607	630
CarAnox_mtb2_16	84652
CarAnox_mtb2_912	16075
CarAnox_mtb2_1016	422040
