Genome	D2b900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1512	8013
CarAnox_mtb2_1092	6800692
CarAnox_mtb2_347	164
CarAnox_mtb2_914	8218
CarAnox_mtb2_1089	61949
CarAnox_mtb2_945	3595
CarAnox_mtb2_697	151
CarAnox_mtb2_658	261
CarAnox_mtb2_403	829
CarAnox_mtb2_3	50714
CarAnox_mtb2_598	1757
CarAnox_mtb2_495	34725
CarAnox_mtb2_220	96098
CarAnox_mtb2_224	2793
CarAnox_mtb2_1628	96624
CarAnox_mtb2_262	160
CarAnox_mtb2_117	49824
CarAnox_mtb2_810	64
CarAnox_mtb2_685	36
CarAnox_mtb2_1056	267
CarAnox_mtb2_1647	26638
CarAnox_mtb2_22	483
CarAnox_mtb2_291	67
CarAnox_mtb2_690	62
CarAnox_mtb2_538	26
CarAnox_mtb2_623	41097
CarAnox_mtb2_207	10
CarAnox_mtb2_771	3272
CarAnox_mtb2_539	352
CarAnox_mtb2_1421	124614
CarAnox_mtb2_777	517
CarAnox_mtb2_27	28
CarAnox_mtb2_316	40774
CarAnox_mtb2_114	26769
CarAnox_mtb2_1098	703
CarAnox_mtb2_1316	1659
CarAnox_mtb2_1367	4967
CarAnox_mtb2_662	382
CarAnox_mtb2_547	3516
CarAnox_mtb2_24	157371
CarAnox_mtb2_611	77679
CarAnox_mtb2_1524	8632
CarAnox_mtb2_63	87822
CarAnox_mtb2_1627	493834
CarAnox_mtb2_1437	15
CarAnox_mtb2_657	67
CarAnox_mtb2_1075	1512
CarAnox_mtb2_573	58985
CarAnox_mtb2_613	907
CarAnox_mtb2_651	1760
CarAnox_mtb2_183	66626
CarAnox_mtb2_772	125
CarAnox_mtb2_314	395
CarAnox_mtb2_1242	252
CarAnox_mtb2_386	13433
CarAnox_mtb2_503	1222
CarAnox_mtb2_1219	2509
CarAnox_mtb2_1576	2057
CarAnox_mtb2_1299	8817
CarAnox_mtb2_242	174
CarAnox_mtb2_754	54541
CarAnox_mtb2_236	10218
CarAnox_mtb2_470	13550
CarAnox_mtb2_1286	1664
CarAnox_mtb2_753	232
CarAnox_mtb2_604	311
CarAnox_mtb2_51	62620
CarAnox_mtb2_335	149
CarAnox_mtb2_548	312
CarAnox_mtb2_652	954340
CarAnox_mtb2_757	1407
CarAnox_mtb2_712	629240
CarAnox_mtb2_1130	2190
CarAnox_mtb2_1359	1159
CarAnox_mtb2_916	547
CarAnox_mtb2_1050	47108
CarAnox_mtb2_1155	689
CarAnox_mtb2_317	23515
