Genome	D2a143A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	238
CarAnox_mtb2_1542	891
CarAnox_mtb2_1515	879
CarAnox_mtb2_211	11557
CarAnox_mtb2_485	549
CarAnox_mtb2_46	2
CarAnox_mtb2_1170	6486
CarAnox_mtb2_293	75368
CarAnox_mtb2_638	298
CarAnox_mtb2_1548	882
CarAnox_mtb2_1024	21
CarAnox_mtb2_1251	90
CarAnox_mtb2_1113	623
CarAnox_mtb2_1099	225
CarAnox_mtb2_921	6232
CarAnox_mtb2_103	74
CarAnox_mtb2_952	18036
CarAnox_mtb2_1151	4306
CarAnox_mtb2_1243	8
CarAnox_mtb2_646	1143
CarAnox_mtb2_974	10
CarAnox_mtb2_670	867
CarAnox_mtb2_1504	3428
CarAnox_mtb2_933	253
CarAnox_mtb2_861	6
CarAnox_mtb2_1037	3211
CarAnox_mtb2_648	128
CarAnox_mtb2_1224	222
CarAnox_mtb2_45	118
CarAnox_mtb2_982	307
CarAnox_mtb2_1588	2
CarAnox_mtb2_422	40
CarAnox_mtb2_163	116
CarAnox_mtb2_289	218
CarAnox_mtb2_1148	62
CarAnox_mtb2_1262	3
CarAnox_mtb2_254	164
CarAnox_mtb2_28	495
CarAnox_mtb2_1301	6171
CarAnox_mtb2_1289	47
CarAnox_mtb2_395	114296
CarAnox_mtb2_1305	86
CarAnox_mtb2_81	2585
CarAnox_mtb2_724	50
CarAnox_mtb2_331	968
CarAnox_mtb2_758	50
CarAnox_mtb2_1566	11
CarAnox_mtb2_723	648
CarAnox_mtb2_1469	64
CarAnox_mtb2_1276	10
CarAnox_mtb2_1526	521
CarAnox_mtb2_529	590
CarAnox_mtb2_1100	352
CarAnox_mtb2_239	24
CarAnox_mtb2_589	534
CarAnox_mtb2_826	420
CarAnox_mtb2_1610	87
CarAnox_mtb2_656	7
CarAnox_mtb2_1540	177
CarAnox_mtb2_1036	64
CarAnox_mtb2_1014	70
CarAnox_mtb2_1544	398
CarAnox_mtb2_1584	34
CarAnox_mtb2_1502	15
CarAnox_mtb2_729	73
CarAnox_mtb2_927	11211
CarAnox_mtb2_315	5880
CarAnox_mtb2_102	6494
CarAnox_mtb2_1173	386
CarAnox_mtb2_1215	943
CarAnox_mtb2_245	97
CarAnox_mtb2_1108	9
CarAnox_mtb2_34	1145
CarAnox_mtb2_815	66
CarAnox_mtb2_1121	36
CarAnox_mtb2_1583	560479
CarAnox_mtb2_1636	44
CarAnox_mtb2_1252	77
CarAnox_mtb2_507	6
CarAnox_mtb2_1463	688
CarAnox_mtb2_554	112
CarAnox_mtb2_1365	588
CarAnox_mtb2_564	1402
CarAnox_mtb2_774	894
CarAnox_mtb2_486	9
CarAnox_mtb2_811	2395
CarAnox_mtb2_661	17
CarAnox_mtb2_1208	447
CarAnox_mtb2_1369	221872
CarAnox_mtb2_2	63296
CarAnox_mtb2_1188	1216
CarAnox_mtb2_790	217
CarAnox_mtb2_1389	157
CarAnox_mtb2_186	5106
CarAnox_mtb2_268	1095
CarAnox_mtb2_68	66
CarAnox_mtb2_1039	17
CarAnox_mtb2_215	1276
CarAnox_mtb2_782	17250
CarAnox_mtb2_1285	24
CarAnox_mtb2_1408	306
CarAnox_mtb2_122	32
CarAnox_mtb2_791	2
CarAnox_mtb2_1279	12
CarAnox_mtb2_120	15
CarAnox_mtb2_375	3
CarAnox_mtb2_1071	119
CarAnox_mtb2_1499	159
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	126
CarAnox_mtb2_620	3050
CarAnox_mtb2_48	13
CarAnox_mtb2_435	178
CarAnox_mtb2_1454	43593
CarAnox_mtb2_190	480
CarAnox_mtb2_890	151
CarAnox_mtb2_304	10
CarAnox_mtb2_1607	142
CarAnox_mtb2_16	15717
CarAnox_mtb2_912	112
CarAnox_mtb2_1016	157
CarAnox_mtb2_265	9379
CarAnox_mtb2_857	76
CarAnox_mtb2_755	45
CarAnox_mtb2_1167	9
CarAnox_mtb2_341	25
CarAnox_mtb2_1374	12
CarAnox_mtb2_867	16
CarAnox_mtb2_18	41
CarAnox_mtb2_101	105
CarAnox_mtb2_583	14
CarAnox_mtb2_530	28
CarAnox_mtb2_1194	137
CarAnox_mtb2_560	105
CarAnox_mtb2_737	47
CarAnox_mtb2_302	1
CarAnox_mtb2_1630	46
CarAnox_mtb2_1535	120
CarAnox_mtb2_181	571
CarAnox_mtb2_691	75
CarAnox_mtb2_669	481
CarAnox_mtb2_1441	1115
CarAnox_mtb2_721	1506
CarAnox_mtb2_1655	80
CarAnox_mtb2_430	9
CarAnox_mtb2_567	8
CarAnox_mtb2_931	1557
CarAnox_mtb2_1288	292
CarAnox_mtb2_1201	16
CarAnox_mtb2_1010	3480
CarAnox_mtb2_1618	759
CarAnox_mtb2_970	17
CarAnox_mtb2_1431	265
CarAnox_mtb2_671	2571
CarAnox_mtb2_1601	32
CarAnox_mtb2_663	1066
CarAnox_mtb2_1123	31
CarAnox_mtb2_972	93
CarAnox_mtb2_352	217
CarAnox_mtb2_722	150
CarAnox_mtb2_329	39
CarAnox_mtb2_1638	16
CarAnox_mtb2_599	192
CarAnox_mtb2_872	10
CarAnox_mtb2_1531	1712
CarAnox_mtb2_779	6
CarAnox_mtb2_672	295189
CarAnox_mtb2_1249	1749
CarAnox_mtb2_631	44
CarAnox_mtb2_756	1814
CarAnox_mtb2_1366	1051
CarAnox_mtb2_115	882
CarAnox_mtb2_193	199
CarAnox_mtb2_846	20
CarAnox_mtb2_189	109
CarAnox_mtb2_1190	2991
CarAnox_mtb2_957	698
CarAnox_mtb2_1506	238
CarAnox_mtb2_1606	205
CarAnox_mtb2_1350	79
CarAnox_mtb2_196	44
CarAnox_mtb2_610	16
CarAnox_mtb2_1384	250
CarAnox_mtb2_1543	218
CarAnox_mtb2_1116	2909
CarAnox_mtb2_879	870
CarAnox_mtb2_15	8
CarAnox_mtb2_1271	75
CarAnox_mtb2_1239	30246
CarAnox_mtb2_770	443
CarAnox_mtb2_1534	477
CarAnox_mtb2_586	5
CarAnox_mtb2_545	121534
CarAnox_mtb2_650	276
CarAnox_mtb2_112	157
CarAnox_mtb2_1363	399
CarAnox_mtb2_419	68
CarAnox_mtb2_629	212
CarAnox_mtb2_1512	96
CarAnox_mtb2_1092	1126
CarAnox_mtb2_347	113
CarAnox_mtb2_914	4
CarAnox_mtb2_1089	59
CarAnox_mtb2_945	1831
CarAnox_mtb2_697	147
CarAnox_mtb2_658	26
CarAnox_mtb2_403	293
CarAnox_mtb2_3	210
CarAnox_mtb2_598	397
CarAnox_mtb2_495	31
CarAnox_mtb2_220	64
CarAnox_mtb2_224	4387
CarAnox_mtb2_1628	1905
CarAnox_mtb2_262	581
CarAnox_mtb2_117	71
CarAnox_mtb2_810	6047
CarAnox_mtb2_685	41
CarAnox_mtb2_1056	963
CarAnox_mtb2_1647	141
CarAnox_mtb2_22	39813
CarAnox_mtb2_291	1461
CarAnox_mtb2_690	523
CarAnox_mtb2_538	89
CarAnox_mtb2_623	37
CarAnox_mtb2_207	119
CarAnox_mtb2_771	8862
CarAnox_mtb2_539	1100
CarAnox_mtb2_1421	4
CarAnox_mtb2_777	60
CarAnox_mtb2_27	269
CarAnox_mtb2_316	10
CarAnox_mtb2_114	117
CarAnox_mtb2_1098	82
CarAnox_mtb2_1316	469328
CarAnox_mtb2_1367	33
CarAnox_mtb2_662	180
CarAnox_mtb2_547	266
CarAnox_mtb2_24	1873
CarAnox_mtb2_611	121
CarAnox_mtb2_1524	826
CarAnox_mtb2_63	43
CarAnox_mtb2_1627	196
CarAnox_mtb2_1437	6
CarAnox_mtb2_657	521
CarAnox_mtb2_1075	283
CarAnox_mtb2_573	26
CarAnox_mtb2_613	342
CarAnox_mtb2_651	541
CarAnox_mtb2_183	4
CarAnox_mtb2_772	368
CarAnox_mtb2_314	76
CarAnox_mtb2_1242	674
CarAnox_mtb2_386	70
CarAnox_mtb2_503	543
CarAnox_mtb2_1219	600
CarAnox_mtb2_1576	125543
CarAnox_mtb2_1299	288
CarAnox_mtb2_242	802
CarAnox_mtb2_754	52
CarAnox_mtb2_236	529
CarAnox_mtb2_470	8
CarAnox_mtb2_1286	1167
CarAnox_mtb2_753	98
CarAnox_mtb2_604	1986
CarAnox_mtb2_51	81
CarAnox_mtb2_335	291
CarAnox_mtb2_548	78
CarAnox_mtb2_652	953
CarAnox_mtb2_757	57
CarAnox_mtb2_712	73
CarAnox_mtb2_1130	19
CarAnox_mtb2_1359	48
CarAnox_mtb2_916	3739
CarAnox_mtb2_1050	120
CarAnox_mtb2_1155	178
CarAnox_mtb2_317	46
CarAnox_mtb2_544	17045
CarAnox_mtb2_1527	17
CarAnox_mtb2_1400	9
CarAnox_mtb2_1179	601
CarAnox_mtb2_1083	14
CarAnox_mtb2_78	156
CarAnox_mtb2_20	62
CarAnox_mtb2_379	6875
CarAnox_mtb2_955	33
CarAnox_mtb2_490	22
CarAnox_mtb2_841	1559
CarAnox_mtb2_1250	814
CarAnox_mtb2_893	608
CarAnox_mtb2_601	11
CarAnox_mtb2_552	102
CarAnox_mtb2_832	245
CarAnox_mtb2_880	32
CarAnox_mtb2_1521	482
CarAnox_mtb2_94	58
CarAnox_mtb2_226	54
CarAnox_mtb2_1117	778
CarAnox_mtb2_1388	81
CarAnox_mtb2_561	3
CarAnox_mtb2_453	800
CarAnox_mtb2_1478	56
CarAnox_mtb2_21	459
CarAnox_mtb2_803	30310
CarAnox_mtb2_775	53
CarAnox_mtb2_606	39
CarAnox_mtb2_1681	113970
CarAnox_mtb2_748	19
CarAnox_mtb2_38	17
CarAnox_mtb2_180	507
CarAnox_mtb2_925	1146
CarAnox_mtb2_420	25
CarAnox_mtb2_1549	8019
CarAnox_mtb2_1684	54
CarAnox_mtb2_591	56
CarAnox_mtb2_1079	186
CarAnox_mtb2_983	38197
CarAnox_mtb2_1171	126
CarAnox_mtb2_62	99
CarAnox_mtb2_885	34
CarAnox_mtb2_563	1053
CarAnox_mtb2_1508	199
CarAnox_mtb2_1007	60
CarAnox_mtb2_1413	8
CarAnox_mtb2_923	10
CarAnox_mtb2_1033	62861
CarAnox_mtb2_628	366
CarAnox_mtb2_214	22
CarAnox_mtb2_1432	859
CarAnox_mtb2_32	11
CarAnox_mtb2_742	25
CarAnox_mtb2_864	30
CarAnox_mtb2_1554	151
