Genome	D2a247A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	3833
CarAnox_mtb2_1542	8372
CarAnox_mtb2_1515	59721
CarAnox_mtb2_211	3254634
CarAnox_mtb2_485	1676
CarAnox_mtb2_46	315
CarAnox_mtb2_1170	755272
CarAnox_mtb2_293	18779
CarAnox_mtb2_638	340
CarAnox_mtb2_1548	10761
CarAnox_mtb2_1024	26
CarAnox_mtb2_1251	4190
CarAnox_mtb2_1113	649
CarAnox_mtb2_1099	19543
CarAnox_mtb2_921	11469
CarAnox_mtb2_103	228
CarAnox_mtb2_952	8446
CarAnox_mtb2_1151	6450
CarAnox_mtb2_1243	49
CarAnox_mtb2_646	16782
CarAnox_mtb2_974	28
CarAnox_mtb2_670	1329
CarAnox_mtb2_1504	4122
CarAnox_mtb2_933	1084
CarAnox_mtb2_861	39
CarAnox_mtb2_1037	129857
CarAnox_mtb2_648	2037
CarAnox_mtb2_1224	761
CarAnox_mtb2_45	541
CarAnox_mtb2_982	422
CarAnox_mtb2_1588	215
CarAnox_mtb2_422	387
CarAnox_mtb2_163	122
CarAnox_mtb2_289	2320
CarAnox_mtb2_1148	16308
CarAnox_mtb2_1262	132
CarAnox_mtb2_254	2450
CarAnox_mtb2_28	123681
CarAnox_mtb2_1301	80472
CarAnox_mtb2_1289	447
CarAnox_mtb2_395	126999
CarAnox_mtb2_1305	293
CarAnox_mtb2_81	222172
CarAnox_mtb2_724	46
CarAnox_mtb2_331	7949
CarAnox_mtb2_758	128
CarAnox_mtb2_1566	545
CarAnox_mtb2_723	3468
CarAnox_mtb2_1469	134
CarAnox_mtb2_1276	4
CarAnox_mtb2_1526	3964
CarAnox_mtb2_529	1584
CarAnox_mtb2_1100	689
CarAnox_mtb2_239	44
CarAnox_mtb2_589	29196
CarAnox_mtb2_826	1298
CarAnox_mtb2_1610	115
CarAnox_mtb2_656	5
CarAnox_mtb2_1540	6666
CarAnox_mtb2_1036	3141
CarAnox_mtb2_1014	33057
CarAnox_mtb2_1544	215
CarAnox_mtb2_1584	394
CarAnox_mtb2_1502	14
CarAnox_mtb2_729	349
CarAnox_mtb2_927	11200
CarAnox_mtb2_315	61740
CarAnox_mtb2_102	253302
CarAnox_mtb2_1173	495
CarAnox_mtb2_1215	7672
CarAnox_mtb2_245	174
CarAnox_mtb2_1108	1
CarAnox_mtb2_34	1095
CarAnox_mtb2_815	304
CarAnox_mtb2_1121	1672
CarAnox_mtb2_1583	257564
CarAnox_mtb2_1636	24835
CarAnox_mtb2_1252	2060
CarAnox_mtb2_507	18
CarAnox_mtb2_1463	2451
CarAnox_mtb2_554	564
CarAnox_mtb2_1365	741
CarAnox_mtb2_564	2480
CarAnox_mtb2_774	10008
CarAnox_mtb2_486	250
CarAnox_mtb2_811	26052
CarAnox_mtb2_661	26
CarAnox_mtb2_1208	422148
CarAnox_mtb2_1369	627038
CarAnox_mtb2_2	7893
CarAnox_mtb2_1188	6664
CarAnox_mtb2_790	3076
CarAnox_mtb2_1389	37387
CarAnox_mtb2_186	4026
CarAnox_mtb2_268	14640
CarAnox_mtb2_68	355
CarAnox_mtb2_1039	46
CarAnox_mtb2_215	3271
CarAnox_mtb2_782	3936
CarAnox_mtb2_1285	398
CarAnox_mtb2_1408	523
CarAnox_mtb2_122	533
CarAnox_mtb2_791	38
CarAnox_mtb2_1279	924
CarAnox_mtb2_120	33
CarAnox_mtb2_375	76
CarAnox_mtb2_1071	163
CarAnox_mtb2_1499	84
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	2259
CarAnox_mtb2_620	3459
CarAnox_mtb2_48	72
CarAnox_mtb2_435	4686
CarAnox_mtb2_1454	673659
CarAnox_mtb2_190	24044
CarAnox_mtb2_890	207
CarAnox_mtb2_304	15
CarAnox_mtb2_1607	236
CarAnox_mtb2_16	78783
CarAnox_mtb2_912	5433
CarAnox_mtb2_1016	6150
CarAnox_mtb2_265	11554
CarAnox_mtb2_857	106
CarAnox_mtb2_755	2655
CarAnox_mtb2_1167	295
CarAnox_mtb2_341	150
CarAnox_mtb2_1374	20
CarAnox_mtb2_867	1032
CarAnox_mtb2_18	40
CarAnox_mtb2_101	11788
CarAnox_mtb2_583	458
CarAnox_mtb2_530	528
CarAnox_mtb2_1194	86076
CarAnox_mtb2_560	436
CarAnox_mtb2_737	53
CarAnox_mtb2_302	66
CarAnox_mtb2_1630	182
CarAnox_mtb2_1535	467
CarAnox_mtb2_181	4038
CarAnox_mtb2_691	589
CarAnox_mtb2_669	255
CarAnox_mtb2_1441	73926
CarAnox_mtb2_721	1568
CarAnox_mtb2_1655	660
CarAnox_mtb2_430	196
CarAnox_mtb2_567	148
CarAnox_mtb2_931	11750
CarAnox_mtb2_1288	325
CarAnox_mtb2_1201	452
CarAnox_mtb2_1010	5301
CarAnox_mtb2_1618	18095
CarAnox_mtb2_970	31
CarAnox_mtb2_1431	13355
CarAnox_mtb2_671	3215
CarAnox_mtb2_1601	129
CarAnox_mtb2_663	88617
CarAnox_mtb2_1123	48
CarAnox_mtb2_972	9478
CarAnox_mtb2_352	26484
CarAnox_mtb2_722	1135
CarAnox_mtb2_329	216
CarAnox_mtb2_1638	109
CarAnox_mtb2_599	534
CarAnox_mtb2_872	22
CarAnox_mtb2_1531	10241
CarAnox_mtb2_779	3
CarAnox_mtb2_672	231973
