Genome	D3a295B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	72306
CarAnox_mtb2_1542	298
CarAnox_mtb2_1515	660
CarAnox_mtb2_211	61930372
CarAnox_mtb2_485	34
CarAnox_mtb2_46	21277
CarAnox_mtb2_1170	2514371
CarAnox_mtb2_293	66322
CarAnox_mtb2_638	32
CarAnox_mtb2_1548	10405
CarAnox_mtb2_1024	847
CarAnox_mtb2_1251	12490
CarAnox_mtb2_1113	48
CarAnox_mtb2_1099	121
CarAnox_mtb2_921	442
CarAnox_mtb2_103	5383
CarAnox_mtb2_952	6926
CarAnox_mtb2_1151	34612
CarAnox_mtb2_1243	5178
CarAnox_mtb2_646	78
CarAnox_mtb2_974	902
CarAnox_mtb2_670	197
CarAnox_mtb2_1504	13589
CarAnox_mtb2_933	30
CarAnox_mtb2_861	169
CarAnox_mtb2_1037	18120
CarAnox_mtb2_648	185
CarAnox_mtb2_1224	13650
CarAnox_mtb2_45	3742
CarAnox_mtb2_982	99
CarAnox_mtb2_1588	5047
CarAnox_mtb2_422	19532
CarAnox_mtb2_163	518
CarAnox_mtb2_289	109470
CarAnox_mtb2_1148	41155
CarAnox_mtb2_1262	14757
CarAnox_mtb2_254	1651
CarAnox_mtb2_28	2348
CarAnox_mtb2_1301	2831
CarAnox_mtb2_1289	29970
CarAnox_mtb2_395	75583
CarAnox_mtb2_1305	33
CarAnox_mtb2_81	6447684
CarAnox_mtb2_724	198
CarAnox_mtb2_331	5392
CarAnox_mtb2_758	239
CarAnox_mtb2_1566	42105
CarAnox_mtb2_723	137864
CarAnox_mtb2_1469	3288
CarAnox_mtb2_1276	222
CarAnox_mtb2_1526	67350
CarAnox_mtb2_529	83
CarAnox_mtb2_1100	12998
CarAnox_mtb2_239	20
CarAnox_mtb2_589	482
CarAnox_mtb2_826	222
CarAnox_mtb2_1610	209
CarAnox_mtb2_656	222
CarAnox_mtb2_1540	53113
CarAnox_mtb2_1036	33
CarAnox_mtb2_1014	5469
CarAnox_mtb2_1544	19
CarAnox_mtb2_1584	39
CarAnox_mtb2_1502	292
CarAnox_mtb2_729	10070
CarAnox_mtb2_927	6494
CarAnox_mtb2_315	423954
CarAnox_mtb2_102	2518
CarAnox_mtb2_1173	146
CarAnox_mtb2_1215	194
CarAnox_mtb2_245	15
CarAnox_mtb2_1108	128
CarAnox_mtb2_34	734
CarAnox_mtb2_815	8903
CarAnox_mtb2_1121	306
CarAnox_mtb2_1583	84409
CarAnox_mtb2_1636	55681
CarAnox_mtb2_1252	44
CarAnox_mtb2_507	79
CarAnox_mtb2_1463	61
CarAnox_mtb2_554	1612
CarAnox_mtb2_1365	2387
CarAnox_mtb2_564	3236
CarAnox_mtb2_774	39815
CarAnox_mtb2_486	25279
CarAnox_mtb2_811	24
CarAnox_mtb2_661	229
CarAnox_mtb2_1208	1872206
CarAnox_mtb2_1369	126971
CarAnox_mtb2_2	29614
CarAnox_mtb2_1188	23763
CarAnox_mtb2_790	51354
CarAnox_mtb2_1389	10203
CarAnox_mtb2_186	18
CarAnox_mtb2_268	1236
CarAnox_mtb2_68	9767
CarAnox_mtb2_1039	644
CarAnox_mtb2_215	14725
CarAnox_mtb2_782	3859
CarAnox_mtb2_1285	2776
CarAnox_mtb2_1408	324
CarAnox_mtb2_122	2491
CarAnox_mtb2_791	1866
CarAnox_mtb2_1279	60049
CarAnox_mtb2_120	258
CarAnox_mtb2_375	3250
CarAnox_mtb2_1071	6
CarAnox_mtb2_1499	273
CarAnox_mtb2_1178	235
CarAnox_mtb2_171	58319
CarAnox_mtb2_620	6790
CarAnox_mtb2_48	1001
CarAnox_mtb2_435	141
CarAnox_mtb2_1454	655
CarAnox_mtb2_190	1398
CarAnox_mtb2_890	32
CarAnox_mtb2_304	220
CarAnox_mtb2_1607	2693
CarAnox_mtb2_16	6851983
CarAnox_mtb2_912	5619
CarAnox_mtb2_1016	299
CarAnox_mtb2_265	1414
CarAnox_mtb2_857	12418
CarAnox_mtb2_755	49035
CarAnox_mtb2_1167	1172
CarAnox_mtb2_341	1280
CarAnox_mtb2_1374	50
CarAnox_mtb2_867	5696
CarAnox_mtb2_18	8
CarAnox_mtb2_101	412
CarAnox_mtb2_583	1711
CarAnox_mtb2_530	51
CarAnox_mtb2_1194	172627
CarAnox_mtb2_560	94
CarAnox_mtb2_737	15
CarAnox_mtb2_302	7046
CarAnox_mtb2_1630	16
CarAnox_mtb2_1535	17160
CarAnox_mtb2_181	22206
CarAnox_mtb2_691	4679
CarAnox_mtb2_669	46
CarAnox_mtb2_1441	66362
CarAnox_mtb2_721	478
CarAnox_mtb2_1655	1116
CarAnox_mtb2_430	2825
CarAnox_mtb2_567	2382
CarAnox_mtb2_931	128
CarAnox_mtb2_1288	207
CarAnox_mtb2_1201	5651
CarAnox_mtb2_1010	9987
CarAnox_mtb2_1618	491
CarAnox_mtb2_970	2004
CarAnox_mtb2_1431	2244
CarAnox_mtb2_671	333
CarAnox_mtb2_1601	4
CarAnox_mtb2_663	260
CarAnox_mtb2_1123	72
CarAnox_mtb2_972	57796
CarAnox_mtb2_352	1015180
CarAnox_mtb2_722	28887
CarAnox_mtb2_329	1870
CarAnox_mtb2_1638	2260
CarAnox_mtb2_599	42419
CarAnox_mtb2_872	985
CarAnox_mtb2_1531	250
CarAnox_mtb2_779	207
CarAnox_mtb2_672	2694728
CarAnox_mtb2_1249	878
CarAnox_mtb2_631	21956
CarAnox_mtb2_756	2781
CarAnox_mtb2_1366	2274
CarAnox_mtb2_115	50360
CarAnox_mtb2_193	25494
CarAnox_mtb2_846	17742
CarAnox_mtb2_189	43190
CarAnox_mtb2_1190	78292
CarAnox_mtb2_957	50476
CarAnox_mtb2_1506	1439
CarAnox_mtb2_1606	1882
CarAnox_mtb2_1350	13725
CarAnox_mtb2_196	29283
CarAnox_mtb2_610	21835
CarAnox_mtb2_1384	22530
CarAnox_mtb2_1543	38
CarAnox_mtb2_1116	1218
CarAnox_mtb2_879	14384
CarAnox_mtb2_15	4331
CarAnox_mtb2_1271	21943
CarAnox_mtb2_1239	1678
CarAnox_mtb2_770	24
CarAnox_mtb2_1534	302953
CarAnox_mtb2_586	3912
CarAnox_mtb2_545	179330
CarAnox_mtb2_650	27097
CarAnox_mtb2_112	7945
CarAnox_mtb2_1363	25978
CarAnox_mtb2_419	4459
CarAnox_mtb2_629	5276
CarAnox_mtb2_1512	29893
CarAnox_mtb2_1092	286698
CarAnox_mtb2_347	76947
CarAnox_mtb2_914	4027
CarAnox_mtb2_1089	8044
CarAnox_mtb2_945	5418563
CarAnox_mtb2_697	18
CarAnox_mtb2_658	77
CarAnox_mtb2_403	119
CarAnox_mtb2_3	10673
CarAnox_mtb2_598	153
CarAnox_mtb2_495	1762
CarAnox_mtb2_220	1385
CarAnox_mtb2_224	39762
CarAnox_mtb2_1628	5328
CarAnox_mtb2_262	78
CarAnox_mtb2_117	2927
CarAnox_mtb2_810	10259
CarAnox_mtb2_685	16161
CarAnox_mtb2_1056	45
CarAnox_mtb2_1647	764
CarAnox_mtb2_22	26552
CarAnox_mtb2_291	38921
