Genome	D2a267B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	10082
CarAnox_mtb2_1542	73
CarAnox_mtb2_1515	92
CarAnox_mtb2_211	23740840
CarAnox_mtb2_485	64
CarAnox_mtb2_46	9931
CarAnox_mtb2_1170	9260109
CarAnox_mtb2_293	761110
CarAnox_mtb2_638	67
CarAnox_mtb2_1548	166176
CarAnox_mtb2_1024	328
CarAnox_mtb2_1251	977
CarAnox_mtb2_1113	13
CarAnox_mtb2_1099	64
CarAnox_mtb2_921	378
CarAnox_mtb2_103	1316
CarAnox_mtb2_952	163149
CarAnox_mtb2_1151	9003
CarAnox_mtb2_1243	378
CarAnox_mtb2_646	998
CarAnox_mtb2_974	312
CarAnox_mtb2_670	26
CarAnox_mtb2_1504	7569
CarAnox_mtb2_933	28
CarAnox_mtb2_861	68
CarAnox_mtb2_1037	10079
CarAnox_mtb2_648	53
CarAnox_mtb2_1224	5286
CarAnox_mtb2_45	4496
CarAnox_mtb2_982	72
CarAnox_mtb2_1588	208
CarAnox_mtb2_422	6254
CarAnox_mtb2_163	289
CarAnox_mtb2_289	1636
CarAnox_mtb2_1148	323444
CarAnox_mtb2_1262	4782
CarAnox_mtb2_254	427
CarAnox_mtb2_28	2789
CarAnox_mtb2_1301	3141
CarAnox_mtb2_1289	1283
CarAnox_mtb2_395	731427
CarAnox_mtb2_1305	20
CarAnox_mtb2_81	819402
CarAnox_mtb2_724	32
CarAnox_mtb2_331	69646
CarAnox_mtb2_758	116
CarAnox_mtb2_1566	8846
CarAnox_mtb2_723	1767
CarAnox_mtb2_1469	192
CarAnox_mtb2_1276	10
CarAnox_mtb2_1526	4229
CarAnox_mtb2_529	23
CarAnox_mtb2_1100	1128
CarAnox_mtb2_239	10
CarAnox_mtb2_589	291
CarAnox_mtb2_826	116
CarAnox_mtb2_1610	313
CarAnox_mtb2_656	12
CarAnox_mtb2_1540	168902
CarAnox_mtb2_1036	20
CarAnox_mtb2_1014	73888
CarAnox_mtb2_1544	10
