Genome	D2a200B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2255
CarAnox_mtb2_1542	435
CarAnox_mtb2_1515	123
CarAnox_mtb2_211	1518570
CarAnox_mtb2_485	313
CarAnox_mtb2_46	215
CarAnox_mtb2_1170	985687
CarAnox_mtb2_293	4127254
CarAnox_mtb2_638	129
CarAnox_mtb2_1548	39768
CarAnox_mtb2_1024	769
CarAnox_mtb2_1251	87
CarAnox_mtb2_1113	43
CarAnox_mtb2_1099	217
CarAnox_mtb2_921	826
CarAnox_mtb2_103	62
CarAnox_mtb2_952	2397205
CarAnox_mtb2_1151	1497
CarAnox_mtb2_1243	71
CarAnox_mtb2_646	132
CarAnox_mtb2_974	23
CarAnox_mtb2_670	306
CarAnox_mtb2_1504	955
CarAnox_mtb2_933	102
CarAnox_mtb2_861	6
CarAnox_mtb2_1037	2033
CarAnox_mtb2_648	221
CarAnox_mtb2_1224	59
CarAnox_mtb2_45	118
CarAnox_mtb2_982	182
CarAnox_mtb2_1588	32
CarAnox_mtb2_422	241
CarAnox_mtb2_163	11
CarAnox_mtb2_289	515
CarAnox_mtb2_1148	39956
CarAnox_mtb2_1262	48
CarAnox_mtb2_254	1002
CarAnox_mtb2_28	273
CarAnox_mtb2_1301	467
CarAnox_mtb2_1289	65
CarAnox_mtb2_395	2068976
CarAnox_mtb2_1305	39
CarAnox_mtb2_81	162199
CarAnox_mtb2_724	143
CarAnox_mtb2_331	1500
CarAnox_mtb2_758	52
CarAnox_mtb2_1566	506
CarAnox_mtb2_723	230
CarAnox_mtb2_1469	24
CarAnox_mtb2_1276	22
CarAnox_mtb2_1526	482
CarAnox_mtb2_529	159
CarAnox_mtb2_1100	72
CarAnox_mtb2_239	38
CarAnox_mtb2_589	146
CarAnox_mtb2_826	444
CarAnox_mtb2_1610	74
CarAnox_mtb2_656	27
CarAnox_mtb2_1540	170236
CarAnox_mtb2_1036	542
CarAnox_mtb2_1014	97
CarAnox_mtb2_1544	76
CarAnox_mtb2_1584	39
CarAnox_mtb2_1502	14
CarAnox_mtb2_729	209
CarAnox_mtb2_927	219634
