Genome	D3a295A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2428
CarAnox_mtb2_1542	82500
CarAnox_mtb2_1515	448287
CarAnox_mtb2_211	6185295
CarAnox_mtb2_485	10132
CarAnox_mtb2_46	1856
CarAnox_mtb2_1170	328464
CarAnox_mtb2_293	5365
CarAnox_mtb2_638	346
CarAnox_mtb2_1548	2323
CarAnox_mtb2_1024	87
CarAnox_mtb2_1251	34367
CarAnox_mtb2_1113	809
CarAnox_mtb2_1099	47849
CarAnox_mtb2_921	17267
CarAnox_mtb2_103	1365
CarAnox_mtb2_952	1266
CarAnox_mtb2_1151	32799
CarAnox_mtb2_1243	359
CarAnox_mtb2_646	47745
CarAnox_mtb2_974	54
CarAnox_mtb2_670	9845
CarAnox_mtb2_1504	9409
CarAnox_mtb2_933	9976
CarAnox_mtb2_861	57
CarAnox_mtb2_1037	184424
CarAnox_mtb2_648	17873
CarAnox_mtb2_1224	1553
CarAnox_mtb2_45	865
CarAnox_mtb2_982	926
CarAnox_mtb2_1588	486
CarAnox_mtb2_422	3042
CarAnox_mtb2_163	77
CarAnox_mtb2_289	40069
CarAnox_mtb2_1148	5011
CarAnox_mtb2_1262	1733
CarAnox_mtb2_254	6769
CarAnox_mtb2_28	274471
CarAnox_mtb2_1301	321273
CarAnox_mtb2_1289	1468
CarAnox_mtb2_395	49778
CarAnox_mtb2_1305	465
CarAnox_mtb2_81	425572
CarAnox_mtb2_724	68
CarAnox_mtb2_331	274
CarAnox_mtb2_758	780
CarAnox_mtb2_1566	5235
CarAnox_mtb2_723	69717
CarAnox_mtb2_1469	554
CarAnox_mtb2_1276	20
CarAnox_mtb2_1526	8331
CarAnox_mtb2_529	11409
CarAnox_mtb2_1100	5256
CarAnox_mtb2_239	178
CarAnox_mtb2_589	79535
CarAnox_mtb2_826	2815
CarAnox_mtb2_1610	340
CarAnox_mtb2_656	3
CarAnox_mtb2_1540	2092
CarAnox_mtb2_1036	14455
CarAnox_mtb2_1014	2153
CarAnox_mtb2_1544	231
CarAnox_mtb2_1584	2958
CarAnox_mtb2_1502	54
CarAnox_mtb2_729	867
CarAnox_mtb2_927	1751
CarAnox_mtb2_315	281201
CarAnox_mtb2_102	571780
CarAnox_mtb2_1173	155
CarAnox_mtb2_1215	14452
CarAnox_mtb2_245	474
CarAnox_mtb2_1108	7
CarAnox_mtb2_34	11756
CarAnox_mtb2_815	973
CarAnox_mtb2_1121	298
CarAnox_mtb2_1583	15483
CarAnox_mtb2_1636	74163
CarAnox_mtb2_1252	13393
CarAnox_mtb2_507	57
CarAnox_mtb2_1463	19263
CarAnox_mtb2_554	3897
