Genome	D3a198A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	329
CarAnox_mtb2_1542	1093
CarAnox_mtb2_1515	1703
CarAnox_mtb2_211	75709
CarAnox_mtb2_485	654
CarAnox_mtb2_46	11
CarAnox_mtb2_1170	22697
CarAnox_mtb2_293	9769
CarAnox_mtb2_638	163
CarAnox_mtb2_1548	1719
CarAnox_mtb2_1024	31
CarAnox_mtb2_1251	215
CarAnox_mtb2_1113	177
CarAnox_mtb2_1099	207
CarAnox_mtb2_921	8314
CarAnox_mtb2_103	56
CarAnox_mtb2_952	15628
CarAnox_mtb2_1151	6999
CarAnox_mtb2_1243	7
CarAnox_mtb2_646	468
CarAnox_mtb2_974	4
CarAnox_mtb2_670	1022
CarAnox_mtb2_1504	1562
CarAnox_mtb2_933	143
CarAnox_mtb2_861	3
CarAnox_mtb2_1037	3623
CarAnox_mtb2_648	129
CarAnox_mtb2_1224	68
CarAnox_mtb2_45	94
CarAnox_mtb2_982	326
CarAnox_mtb2_1588	15
CarAnox_mtb2_422	38
CarAnox_mtb2_163	143
CarAnox_mtb2_289	530
CarAnox_mtb2_1148	378
CarAnox_mtb2_1262	7
CarAnox_mtb2_254	185
CarAnox_mtb2_28	670
CarAnox_mtb2_1301	5244
CarAnox_mtb2_1289	77
CarAnox_mtb2_395	160698
CarAnox_mtb2_1305	46
CarAnox_mtb2_81	9787
CarAnox_mtb2_724	32
CarAnox_mtb2_331	1128
CarAnox_mtb2_758	61
CarAnox_mtb2_1566	23
CarAnox_mtb2_723	729
CarAnox_mtb2_1469	271
CarAnox_mtb2_1276	9
CarAnox_mtb2_1526	722
CarAnox_mtb2_529	375
CarAnox_mtb2_1100	340
CarAnox_mtb2_239	33
CarAnox_mtb2_589	519
CarAnox_mtb2_826	272
CarAnox_mtb2_1610	107
CarAnox_mtb2_656	5
CarAnox_mtb2_1540	1253
CarAnox_mtb2_1036	265
CarAnox_mtb2_1014	471
CarAnox_mtb2_1544	418
CarAnox_mtb2_1584	57
CarAnox_mtb2_1502	10
CarAnox_mtb2_729	186
CarAnox_mtb2_927	23688
CarAnox_mtb2_315	14202
CarAnox_mtb2_102	101750
CarAnox_mtb2_1173	202
CarAnox_mtb2_1215	1380
CarAnox_mtb2_245	89
CarAnox_mtb2_1108	36
CarAnox_mtb2_34	1108
CarAnox_mtb2_815	41
CarAnox_mtb2_1121	17
CarAnox_mtb2_1583	679274
CarAnox_mtb2_1636	211
CarAnox_mtb2_1252	141
CarAnox_mtb2_507	8
CarAnox_mtb2_1463	856
CarAnox_mtb2_554	98
CarAnox_mtb2_1365	258
CarAnox_mtb2_564	444
CarAnox_mtb2_774	5117
CarAnox_mtb2_486	31
CarAnox_mtb2_811	3678
CarAnox_mtb2_661	13
CarAnox_mtb2_1208	2003
CarAnox_mtb2_1369	312685
CarAnox_mtb2_2	18670
CarAnox_mtb2_1188	1569
CarAnox_mtb2_790	225
CarAnox_mtb2_1389	118
CarAnox_mtb2_186	6668
CarAnox_mtb2_268	988
CarAnox_mtb2_68	28
CarAnox_mtb2_1039	8
CarAnox_mtb2_215	614
CarAnox_mtb2_782	30548
