Genome	D2a900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_629	109821
CarAnox_mtb2_1512	15240
CarAnox_mtb2_1092	3799288
CarAnox_mtb2_347	261
CarAnox_mtb2_914	12060
CarAnox_mtb2_1089	155985
CarAnox_mtb2_945	5073
CarAnox_mtb2_697	234
CarAnox_mtb2_658	232
CarAnox_mtb2_403	1410
CarAnox_mtb2_3	124279
CarAnox_mtb2_598	1751
CarAnox_mtb2_495	51570
CarAnox_mtb2_220	129806
CarAnox_mtb2_224	3258
CarAnox_mtb2_1628	26847
CarAnox_mtb2_262	511
CarAnox_mtb2_117	59991
CarAnox_mtb2_810	372
CarAnox_mtb2_685	84
CarAnox_mtb2_1056	389
CarAnox_mtb2_1647	33481
CarAnox_mtb2_22	565
CarAnox_mtb2_291	296
CarAnox_mtb2_690	141
CarAnox_mtb2_538	41
CarAnox_mtb2_623	60815
CarAnox_mtb2_207	53
CarAnox_mtb2_771	3416
CarAnox_mtb2_539	501
CarAnox_mtb2_1421	222699
CarAnox_mtb2_777	686
CarAnox_mtb2_27	50
CarAnox_mtb2_316	50705
CarAnox_mtb2_114	37363
CarAnox_mtb2_1098	940
CarAnox_mtb2_1316	2616
CarAnox_mtb2_1367	6410
CarAnox_mtb2_662	501
CarAnox_mtb2_547	8755
CarAnox_mtb2_24	207385
CarAnox_mtb2_611	64809
CarAnox_mtb2_1524	3979
CarAnox_mtb2_63	120634
CarAnox_mtb2_1627	589031
CarAnox_mtb2_1437	41
CarAnox_mtb2_657	128
CarAnox_mtb2_1075	1162
CarAnox_mtb2_573	101148
CarAnox_mtb2_613	1218
CarAnox_mtb2_651	4195
CarAnox_mtb2_183	87159
CarAnox_mtb2_772	217
CarAnox_mtb2_314	620
CarAnox_mtb2_1242	333
CarAnox_mtb2_386	15551
CarAnox_mtb2_503	2174
CarAnox_mtb2_1219	13097
CarAnox_mtb2_1576	979522
CarAnox_mtb2_1299	7966
CarAnox_mtb2_242	703
CarAnox_mtb2_754	46920
CarAnox_mtb2_236	13563
CarAnox_mtb2_470	15667
CarAnox_mtb2_1286	1845
CarAnox_mtb2_753	385
CarAnox_mtb2_604	491
CarAnox_mtb2_51	37849
CarAnox_mtb2_335	279
CarAnox_mtb2_548	504
CarAnox_mtb2_652	590310
CarAnox_mtb2_757	2043
CarAnox_mtb2_712	1105948
CarAnox_mtb2_1130	3348
CarAnox_mtb2_1359	2037
CarAnox_mtb2_916	591
CarAnox_mtb2_1050	60298
CarAnox_mtb2_1155	777
CarAnox_mtb2_317	34486
CarAnox_mtb2_544	16036
CarAnox_mtb2_1527	11436
CarAnox_mtb2_1400	458297
CarAnox_mtb2_1179	644
CarAnox_mtb2_1083	20747
CarAnox_mtb2_78	3570
CarAnox_mtb2_20	3107
CarAnox_mtb2_379	66203
CarAnox_mtb2_955	80199
CarAnox_mtb2_490	25
CarAnox_mtb2_841	20202
CarAnox_mtb2_1250	372
CarAnox_mtb2_893	193
CarAnox_mtb2_601	25872
CarAnox_mtb2_552	244861
CarAnox_mtb2_832	7066
CarAnox_mtb2_880	142508
CarAnox_mtb2_1521	478
CarAnox_mtb2_94	414
CarAnox_mtb2_226	167740
CarAnox_mtb2_1117	614
CarAnox_mtb2_1388	113
CarAnox_mtb2_561	23945
CarAnox_mtb2_453	610
CarAnox_mtb2_1478	37131
CarAnox_mtb2_21	577
CarAnox_mtb2_803	20141
CarAnox_mtb2_775	85664
CarAnox_mtb2_606	8750
CarAnox_mtb2_1681	1430
CarAnox_mtb2_748	136719
CarAnox_mtb2_38	75165
CarAnox_mtb2_180	936
CarAnox_mtb2_925	179
CarAnox_mtb2_420	176
CarAnox_mtb2_1549	54927
CarAnox_mtb2_1684	2627794
CarAnox_mtb2_591	626500
CarAnox_mtb2_1079	216132
CarAnox_mtb2_983	1100124
CarAnox_mtb2_1171	178046
CarAnox_mtb2_62	76707
CarAnox_mtb2_885	987
CarAnox_mtb2_563	410
CarAnox_mtb2_1508	6457
CarAnox_mtb2_1007	1450
CarAnox_mtb2_1413	123315
CarAnox_mtb2_923	2670
CarAnox_mtb2_1033	1430
CarAnox_mtb2_628	116
CarAnox_mtb2_214	558
CarAnox_mtb2_1432	329
CarAnox_mtb2_32	57111
CarAnox_mtb2_742	96126
CarAnox_mtb2_864	6849
CarAnox_mtb2_1554	1044
CarAnox_mtb2_1372	578
CarAnox_mtb2_330	52101
CarAnox_mtb2_1371	469649
CarAnox_mtb2_1605	15074
CarAnox_mtb2_718	105119
CarAnox_mtb2_751	212
CarAnox_mtb2_1593	94481
CarAnox_mtb2_13	496
CarAnox_mtb2_1414	169467
CarAnox_mtb2_979	521
CarAnox_mtb2_688	142
CarAnox_mtb2_86	21465
CarAnox_mtb2_198	21
CarAnox_mtb2_522	337191
CarAnox_mtb2_504	61297
CarAnox_mtb2_732	55579
CarAnox_mtb2_975	161711
CarAnox_mtb2_692	806292
CarAnox_mtb2_895	523217
CarAnox_mtb2_1322	7452
CarAnox_mtb2_1003	488
CarAnox_mtb2_1433	189725
CarAnox_mtb2_854	206163
CarAnox_mtb2_1067	30403
CarAnox_mtb2_1254	100
CarAnox_mtb2_109	510
CarAnox_mtb2_1131	32505
CarAnox_mtb2_956	6397
CarAnox_mtb2_1507	1985228
CarAnox_mtb2_862	508
CarAnox_mtb2_907	86242
CarAnox_mtb2_1569	366
CarAnox_mtb2_1015	38879
