Genome	D2b247B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	16697
CarAnox_mtb2_1542	57
CarAnox_mtb2_1515	41
CarAnox_mtb2_211	20362060
CarAnox_mtb2_485	38
CarAnox_mtb2_46	6613
CarAnox_mtb2_1170	7080537
CarAnox_mtb2_293	438308
CarAnox_mtb2_638	45
CarAnox_mtb2_1548	118159
CarAnox_mtb2_1024	423
CarAnox_mtb2_1251	866
CarAnox_mtb2_1113	7
CarAnox_mtb2_1099	58
CarAnox_mtb2_921	253
CarAnox_mtb2_103	1289
CarAnox_mtb2_952	166782
CarAnox_mtb2_1151	4397
CarAnox_mtb2_1243	423
CarAnox_mtb2_646	664
CarAnox_mtb2_974	261
CarAnox_mtb2_670	22
CarAnox_mtb2_1504	5390
CarAnox_mtb2_933	20
CarAnox_mtb2_861	41
CarAnox_mtb2_1037	5174
CarAnox_mtb2_648	34
CarAnox_mtb2_1224	2329
CarAnox_mtb2_45	2949
CarAnox_mtb2_982	51
CarAnox_mtb2_1588	199
CarAnox_mtb2_422	4687
CarAnox_mtb2_163	172
CarAnox_mtb2_289	1341
CarAnox_mtb2_1148	251666
CarAnox_mtb2_1262	1553
CarAnox_mtb2_254	291
CarAnox_mtb2_28	1625
CarAnox_mtb2_1301	1155
CarAnox_mtb2_1289	1105
CarAnox_mtb2_395	569934
CarAnox_mtb2_1305	25
CarAnox_mtb2_81	1001578
CarAnox_mtb2_724	89
CarAnox_mtb2_331	18140
CarAnox_mtb2_758	84
CarAnox_mtb2_1566	8254
CarAnox_mtb2_723	1086
CarAnox_mtb2_1469	217
CarAnox_mtb2_1276	21
CarAnox_mtb2_1526	3491
CarAnox_mtb2_529	27
CarAnox_mtb2_1100	1627
CarAnox_mtb2_239	9
CarAnox_mtb2_589	202
CarAnox_mtb2_826	98
CarAnox_mtb2_1610	189
CarAnox_mtb2_656	26
CarAnox_mtb2_1540	136247
CarAnox_mtb2_1036	21
CarAnox_mtb2_1014	21912
CarAnox_mtb2_1544	8
CarAnox_mtb2_1584	16
CarAnox_mtb2_1502	23
CarAnox_mtb2_729	782
CarAnox_mtb2_927	81684
CarAnox_mtb2_315	100162
CarAnox_mtb2_102	838
CarAnox_mtb2_1173	96
CarAnox_mtb2_1215	55
CarAnox_mtb2_245	8
CarAnox_mtb2_1108	23
CarAnox_mtb2_34	34
CarAnox_mtb2_815	1416
CarAnox_mtb2_1121	712
CarAnox_mtb2_1583	531699
CarAnox_mtb2_1636	5052
CarAnox_mtb2_1252	13
CarAnox_mtb2_507	32
CarAnox_mtb2_1463	34
CarAnox_mtb2_554	74
CarAnox_mtb2_1365	148
CarAnox_mtb2_564	2996
CarAnox_mtb2_774	152329
CarAnox_mtb2_486	3302
CarAnox_mtb2_811	19
CarAnox_mtb2_661	55
CarAnox_mtb2_1208	3322650
CarAnox_mtb2_1369	861430
CarAnox_mtb2_2	310053
CarAnox_mtb2_1188	1121
CarAnox_mtb2_790	28502
CarAnox_mtb2_1389	36782
CarAnox_mtb2_186	75
CarAnox_mtb2_268	131
CarAnox_mtb2_68	224
CarAnox_mtb2_1039	402
CarAnox_mtb2_215	1868
CarAnox_mtb2_782	100
CarAnox_mtb2_1285	3029
CarAnox_mtb2_1408	88
CarAnox_mtb2_122	5
CarAnox_mtb2_791	680
CarAnox_mtb2_1279	8417
CarAnox_mtb2_120	103
CarAnox_mtb2_375	2017
CarAnox_mtb2_1071	5
CarAnox_mtb2_1499	135
CarAnox_mtb2_1178	8
CarAnox_mtb2_171	4458
CarAnox_mtb2_620	2721
CarAnox_mtb2_48	266
CarAnox_mtb2_435	90
CarAnox_mtb2_1454	516
CarAnox_mtb2_190	176
CarAnox_mtb2_890	32
CarAnox_mtb2_304	28
CarAnox_mtb2_1607	408
CarAnox_mtb2_16	5702570
CarAnox_mtb2_912	15171
CarAnox_mtb2_1016	155
CarAnox_mtb2_265	187
CarAnox_mtb2_857	657
CarAnox_mtb2_755	11198
CarAnox_mtb2_1167	290
CarAnox_mtb2_341	851
CarAnox_mtb2_1374	20
CarAnox_mtb2_867	1847
CarAnox_mtb2_18	10
CarAnox_mtb2_101	363
CarAnox_mtb2_583	342
CarAnox_mtb2_530	8
CarAnox_mtb2_1194	484646
CarAnox_mtb2_560	36
CarAnox_mtb2_737	5
CarAnox_mtb2_302	1409
CarAnox_mtb2_1630	6
CarAnox_mtb2_1535	4379
CarAnox_mtb2_181	157319
CarAnox_mtb2_691	741
CarAnox_mtb2_669	11
CarAnox_mtb2_1441	3034
CarAnox_mtb2_721	130
CarAnox_mtb2_1655	126
CarAnox_mtb2_430	2126
CarAnox_mtb2_567	268
CarAnox_mtb2_931	55
CarAnox_mtb2_1288	98
CarAnox_mtb2_1201	1308
CarAnox_mtb2_1010	60830
CarAnox_mtb2_1618	90
CarAnox_mtb2_970	188
