Genome	D3a314B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	25412
CarAnox_mtb2_1542	1349
CarAnox_mtb2_1515	642
CarAnox_mtb2_211	17318690
CarAnox_mtb2_485	94
CarAnox_mtb2_46	57642
CarAnox_mtb2_1170	1297449
CarAnox_mtb2_293	381
CarAnox_mtb2_638	74
CarAnox_mtb2_1548	3535
CarAnox_mtb2_1024	1969
CarAnox_mtb2_1251	33893
CarAnox_mtb2_1113	66
CarAnox_mtb2_1099	78
CarAnox_mtb2_921	757
CarAnox_mtb2_103	18177
CarAnox_mtb2_952	1538
CarAnox_mtb2_1151	15800
CarAnox_mtb2_1243	7502
CarAnox_mtb2_646	756
CarAnox_mtb2_974	1623
CarAnox_mtb2_670	685
CarAnox_mtb2_1504	34782
CarAnox_mtb2_933	360
CarAnox_mtb2_861	242
CarAnox_mtb2_1037	147849
CarAnox_mtb2_648	336
CarAnox_mtb2_1224	15248
CarAnox_mtb2_45	20641
CarAnox_mtb2_982	266
CarAnox_mtb2_1588	4749
CarAnox_mtb2_422	64882
CarAnox_mtb2_163	1445
CarAnox_mtb2_289	169836
CarAnox_mtb2_1148	14113
CarAnox_mtb2_1262	29164
CarAnox_mtb2_254	602
CarAnox_mtb2_28	4659
CarAnox_mtb2_1301	1097
CarAnox_mtb2_1289	7957
CarAnox_mtb2_395	8679
CarAnox_mtb2_1305	140
CarAnox_mtb2_81	2691212
CarAnox_mtb2_724	378
CarAnox_mtb2_331	4001
CarAnox_mtb2_758	376
CarAnox_mtb2_1566	78892
CarAnox_mtb2_723	49460
CarAnox_mtb2_1469	8784
CarAnox_mtb2_1276	320
CarAnox_mtb2_1526	60808
CarAnox_mtb2_529	173
CarAnox_mtb2_1100	20714
CarAnox_mtb2_239	73
CarAnox_mtb2_589	319
CarAnox_mtb2_826	1020
CarAnox_mtb2_1610	1045
CarAnox_mtb2_656	127
CarAnox_mtb2_1540	21993
CarAnox_mtb2_1036	85
CarAnox_mtb2_1014	4240
CarAnox_mtb2_1544	33
CarAnox_mtb2_1584	33
CarAnox_mtb2_1502	141
CarAnox_mtb2_729	51628
CarAnox_mtb2_927	430
CarAnox_mtb2_315	14230
CarAnox_mtb2_102	773
CarAnox_mtb2_1173	40
CarAnox_mtb2_1215	715
CarAnox_mtb2_245	81
CarAnox_mtb2_1108	770
CarAnox_mtb2_34	1101
CarAnox_mtb2_815	17017
CarAnox_mtb2_1121	84
CarAnox_mtb2_1583	38373
CarAnox_mtb2_1636	38879
CarAnox_mtb2_1252	163
CarAnox_mtb2_507	223
CarAnox_mtb2_1463	77
CarAnox_mtb2_554	2726
CarAnox_mtb2_1365	5280
CarAnox_mtb2_564	6844
CarAnox_mtb2_774	72116
CarAnox_mtb2_486	19786
CarAnox_mtb2_811	39
CarAnox_mtb2_661	456
CarAnox_mtb2_1208	1340777
CarAnox_mtb2_1369	5151
CarAnox_mtb2_2	137
CarAnox_mtb2_1188	57395
CarAnox_mtb2_790	166285
CarAnox_mtb2_1389	2491
CarAnox_mtb2_186	48
