Genome	D3a198B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	1085
CarAnox_mtb2_1542	138
CarAnox_mtb2_1515	116
CarAnox_mtb2_211	287881
CarAnox_mtb2_485	99
CarAnox_mtb2_46	109
CarAnox_mtb2_1170	253215
CarAnox_mtb2_293	775753
CarAnox_mtb2_638	47
CarAnox_mtb2_1548	4568
CarAnox_mtb2_1024	74
CarAnox_mtb2_1251	47
CarAnox_mtb2_1113	6
CarAnox_mtb2_1099	71
CarAnox_mtb2_921	474
CarAnox_mtb2_103	32
CarAnox_mtb2_952	270996
CarAnox_mtb2_1151	357
CarAnox_mtb2_1243	51
CarAnox_mtb2_646	34
CarAnox_mtb2_974	23
CarAnox_mtb2_670	195
CarAnox_mtb2_1504	186
CarAnox_mtb2_933	31
CarAnox_mtb2_861	3
CarAnox_mtb2_1037	706
CarAnox_mtb2_648	54
CarAnox_mtb2_1224	65
CarAnox_mtb2_45	81
CarAnox_mtb2_982	47
CarAnox_mtb2_1588	17
CarAnox_mtb2_422	284
CarAnox_mtb2_163	16
CarAnox_mtb2_289	480
CarAnox_mtb2_1148	2654
CarAnox_mtb2_1262	57
CarAnox_mtb2_254	341
CarAnox_mtb2_28	115
CarAnox_mtb2_1301	299
CarAnox_mtb2_1289	68
CarAnox_mtb2_395	1222192
CarAnox_mtb2_1305	10
CarAnox_mtb2_81	46506
CarAnox_mtb2_724	41
CarAnox_mtb2_331	1275
CarAnox_mtb2_758	18
CarAnox_mtb2_1566	232
CarAnox_mtb2_723	103
CarAnox_mtb2_1469	39
CarAnox_mtb2_1276	3
CarAnox_mtb2_1526	354
CarAnox_mtb2_529	62
CarAnox_mtb2_1100	74
CarAnox_mtb2_239	10
CarAnox_mtb2_589	56
CarAnox_mtb2_826	89
CarAnox_mtb2_1610	12
CarAnox_mtb2_656	3
CarAnox_mtb2_1540	19951
CarAnox_mtb2_1036	281
CarAnox_mtb2_1014	168
CarAnox_mtb2_1544	38
CarAnox_mtb2_1584	15
CarAnox_mtb2_1502	3
CarAnox_mtb2_729	69
CarAnox_mtb2_927	71679
CarAnox_mtb2_315	20114
CarAnox_mtb2_102	3187
CarAnox_mtb2_1173	109
CarAnox_mtb2_1215	95
CarAnox_mtb2_245	22
CarAnox_mtb2_1108	15
CarAnox_mtb2_34	114
CarAnox_mtb2_815	68
CarAnox_mtb2_1121	20
CarAnox_mtb2_1583	844883
CarAnox_mtb2_1636	117
CarAnox_mtb2_1252	26
CarAnox_mtb2_507	2
CarAnox_mtb2_1463	84
CarAnox_mtb2_554	44
CarAnox_mtb2_1365	36
CarAnox_mtb2_564	2938
CarAnox_mtb2_774	27868
CarAnox_mtb2_486	98
CarAnox_mtb2_811	107
CarAnox_mtb2_661	12
CarAnox_mtb2_1208	9071
CarAnox_mtb2_1369	728783
CarAnox_mtb2_2	1283440
CarAnox_mtb2_1188	703
CarAnox_mtb2_790	640
CarAnox_mtb2_1389	35
CarAnox_mtb2_186	335
CarAnox_mtb2_268	166
CarAnox_mtb2_68	72
CarAnox_mtb2_1039	19
CarAnox_mtb2_215	248
CarAnox_mtb2_782	12844
CarAnox_mtb2_1285	53
CarAnox_mtb2_1408	113
CarAnox_mtb2_122	115
CarAnox_mtb2_791	18
CarAnox_mtb2_1279	226
CarAnox_mtb2_120	14
CarAnox_mtb2_375	54
CarAnox_mtb2_1071	15
CarAnox_mtb2_1499	27
CarAnox_mtb2_1178	4
CarAnox_mtb2_171	119
CarAnox_mtb2_620	9438
CarAnox_mtb2_48	12
CarAnox_mtb2_435	12
CarAnox_mtb2_1454	3408
CarAnox_mtb2_190	80
CarAnox_mtb2_890	53
CarAnox_mtb2_304	4
CarAnox_mtb2_1607	45
CarAnox_mtb2_16	1026576
CarAnox_mtb2_912	158
CarAnox_mtb2_1016	47
CarAnox_mtb2_265	236
CarAnox_mtb2_857	63
CarAnox_mtb2_755	368
CarAnox_mtb2_1167	12
CarAnox_mtb2_341	36
CarAnox_mtb2_1374	17
CarAnox_mtb2_867	38
CarAnox_mtb2_18	1
CarAnox_mtb2_101	12
CarAnox_mtb2_583	30
CarAnox_mtb2_530	42
CarAnox_mtb2_1194	4346
CarAnox_mtb2_560	29
CarAnox_mtb2_737	3
CarAnox_mtb2_302	48
CarAnox_mtb2_1630	1
CarAnox_mtb2_1535	97
CarAnox_mtb2_181	19763
CarAnox_mtb2_691	81
CarAnox_mtb2_669	20
CarAnox_mtb2_1441	1287
CarAnox_mtb2_721	73
CarAnox_mtb2_1655	43
CarAnox_mtb2_430	10
CarAnox_mtb2_567	29
CarAnox_mtb2_931	178
CarAnox_mtb2_1288	55
CarAnox_mtb2_1201	31
CarAnox_mtb2_1010	63027
CarAnox_mtb2_1618	166
CarAnox_mtb2_970	46
CarAnox_mtb2_1431	182
CarAnox_mtb2_671	96
CarAnox_mtb2_1601	9
CarAnox_mtb2_663	319
CarAnox_mtb2_1123	8
