Genome	D3a314A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	7266
CarAnox_mtb2_1542	346284
CarAnox_mtb2_1515	908910
CarAnox_mtb2_211	5768322
CarAnox_mtb2_485	34083
CarAnox_mtb2_46	10915
CarAnox_mtb2_1170	165065
CarAnox_mtb2_293	747
CarAnox_mtb2_638	1195
CarAnox_mtb2_1548	2028
CarAnox_mtb2_1024	449
CarAnox_mtb2_1251	199575
CarAnox_mtb2_1113	2615
CarAnox_mtb2_1099	106292
CarAnox_mtb2_921	15145
CarAnox_mtb2_103	10741
CarAnox_mtb2_952	235
CarAnox_mtb2_1151	29390
CarAnox_mtb2_1243	2856
CarAnox_mtb2_646	241103
CarAnox_mtb2_974	375
CarAnox_mtb2_670	90447
CarAnox_mtb2_1504	40018
CarAnox_mtb2_933	56969
CarAnox_mtb2_861	223
CarAnox_mtb2_1037	828173
CarAnox_mtb2_648	67639
CarAnox_mtb2_1224	11971
CarAnox_mtb2_45	6956
CarAnox_mtb2_982	4659
CarAnox_mtb2_1588	5530
CarAnox_mtb2_422	23871
CarAnox_mtb2_163	344
CarAnox_mtb2_289	133603
CarAnox_mtb2_1148	2163
CarAnox_mtb2_1262	5216
CarAnox_mtb2_254	25642
CarAnox_mtb2_28	1101752
CarAnox_mtb2_1301	322372
CarAnox_mtb2_1289	4852
CarAnox_mtb2_395	9755
CarAnox_mtb2_1305	1398
CarAnox_mtb2_81	1120571
CarAnox_mtb2_724	443
CarAnox_mtb2_331	134
CarAnox_mtb2_758	2332
CarAnox_mtb2_1566	38386
CarAnox_mtb2_723	36700
CarAnox_mtb2_1469	3519
CarAnox_mtb2_1276	893
CarAnox_mtb2_1526	52794
CarAnox_mtb2_529	68735
CarAnox_mtb2_1100	19061
CarAnox_mtb2_239	1258
CarAnox_mtb2_589	178878
CarAnox_mtb2_826	15883
CarAnox_mtb2_1610	1603
CarAnox_mtb2_656	30
CarAnox_mtb2_1540	1612
CarAnox_mtb2_1036	59745
CarAnox_mtb2_1014	2023
CarAnox_mtb2_1544	2058
CarAnox_mtb2_1584	20874
