Genome	D3a103A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1089	1634
CarAnox_mtb2_945	776
CarAnox_mtb2_697	186
CarAnox_mtb2_658	56
CarAnox_mtb2_403	579
CarAnox_mtb2_3	241
CarAnox_mtb2_598	470
CarAnox_mtb2_495	14
CarAnox_mtb2_220	119
CarAnox_mtb2_224	1004
CarAnox_mtb2_1628	9851
CarAnox_mtb2_262	842
CarAnox_mtb2_117	47
CarAnox_mtb2_810	58253
CarAnox_mtb2_685	7
CarAnox_mtb2_1056	1210
CarAnox_mtb2_1647	141
CarAnox_mtb2_22	2694
CarAnox_mtb2_291	755
CarAnox_mtb2_690	825
CarAnox_mtb2_538	44
CarAnox_mtb2_623	47
CarAnox_mtb2_207	75
CarAnox_mtb2_771	20445
CarAnox_mtb2_539	1194
CarAnox_mtb2_1421	7
CarAnox_mtb2_777	134
CarAnox_mtb2_27	458
CarAnox_mtb2_316	15
CarAnox_mtb2_114	153
CarAnox_mtb2_1098	103
CarAnox_mtb2_1316	52811
CarAnox_mtb2_1367	88
CarAnox_mtb2_662	96
CarAnox_mtb2_547	242
CarAnox_mtb2_24	2655
CarAnox_mtb2_611	188
CarAnox_mtb2_1524	745
CarAnox_mtb2_63	14
CarAnox_mtb2_1627	255
CarAnox_mtb2_1437	7
CarAnox_mtb2_657	1097
CarAnox_mtb2_1075	303
CarAnox_mtb2_573	25
CarAnox_mtb2_613	443
CarAnox_mtb2_651	855
CarAnox_mtb2_183	4
CarAnox_mtb2_772	328
CarAnox_mtb2_314	81
CarAnox_mtb2_1242	1144
CarAnox_mtb2_386	81
CarAnox_mtb2_503	628
CarAnox_mtb2_1219	757
CarAnox_mtb2_1576	164
CarAnox_mtb2_1299	305
CarAnox_mtb2_242	1111
CarAnox_mtb2_754	86
CarAnox_mtb2_236	449
CarAnox_mtb2_470	12
CarAnox_mtb2_1286	1255
CarAnox_mtb2_753	37
CarAnox_mtb2_604	984
CarAnox_mtb2_51	112
CarAnox_mtb2_335	264
CarAnox_mtb2_548	234
CarAnox_mtb2_652	1277
CarAnox_mtb2_757	39
CarAnox_mtb2_712	130
CarAnox_mtb2_1130	4
CarAnox_mtb2_1359	38
CarAnox_mtb2_916	411
CarAnox_mtb2_1050	76
CarAnox_mtb2_1155	337
CarAnox_mtb2_317	37
CarAnox_mtb2_544	41420
CarAnox_mtb2_1527	33
CarAnox_mtb2_1400	21
CarAnox_mtb2_1179	282
CarAnox_mtb2_1083	26
CarAnox_mtb2_78	252
CarAnox_mtb2_20	41
CarAnox_mtb2_379	6718
CarAnox_mtb2_955	58
CarAnox_mtb2_490	20
CarAnox_mtb2_841	639
CarAnox_mtb2_1250	477
CarAnox_mtb2_893	580
CarAnox_mtb2_601	24
CarAnox_mtb2_552	100
CarAnox_mtb2_832	288
CarAnox_mtb2_880	42
CarAnox_mtb2_1521	1058
CarAnox_mtb2_94	70
CarAnox_mtb2_226	52
CarAnox_mtb2_1117	332
CarAnox_mtb2_1388	79
CarAnox_mtb2_561	7
CarAnox_mtb2_453	1427
CarAnox_mtb2_1478	17
CarAnox_mtb2_21	991
CarAnox_mtb2_803	5686
CarAnox_mtb2_775	20
CarAnox_mtb2_606	53
CarAnox_mtb2_1681	36143
CarAnox_mtb2_748	7
CarAnox_mtb2_38	24
CarAnox_mtb2_180	708
CarAnox_mtb2_925	1099
CarAnox_mtb2_420	22
CarAnox_mtb2_1549	5859
CarAnox_mtb2_1684	47
CarAnox_mtb2_591	59
CarAnox_mtb2_1079	158
CarAnox_mtb2_983	1517
CarAnox_mtb2_1171	50
CarAnox_mtb2_62	91
CarAnox_mtb2_885	18
CarAnox_mtb2_563	1162
CarAnox_mtb2_1508	253
CarAnox_mtb2_1007	65
CarAnox_mtb2_1413	5
CarAnox_mtb2_923	6
CarAnox_mtb2_1033	55563
CarAnox_mtb2_628	242
CarAnox_mtb2_214	35
CarAnox_mtb2_1432	743
CarAnox_mtb2_32	6
CarAnox_mtb2_742	9
CarAnox_mtb2_864	43
CarAnox_mtb2_1554	280
CarAnox_mtb2_1372	182
CarAnox_mtb2_330	10
CarAnox_mtb2_1371	21
CarAnox_mtb2_1605	9127
CarAnox_mtb2_718	5
CarAnox_mtb2_751	1679
CarAnox_mtb2_1593	1609
CarAnox_mtb2_13	1103
CarAnox_mtb2_1414	139
CarAnox_mtb2_979	33
CarAnox_mtb2_688	830
CarAnox_mtb2_86	20
CarAnox_mtb2_198	575
CarAnox_mtb2_522	252
CarAnox_mtb2_504	25
CarAnox_mtb2_732	3542
CarAnox_mtb2_975	145
CarAnox_mtb2_692	53
CarAnox_mtb2_895	162
CarAnox_mtb2_1322	27
CarAnox_mtb2_1003	2523
CarAnox_mtb2_1433	134
CarAnox_mtb2_854	8
CarAnox_mtb2_1067	44
CarAnox_mtb2_1254	304
CarAnox_mtb2_109	12768
CarAnox_mtb2_1131	23
CarAnox_mtb2_956	1
CarAnox_mtb2_1507	930
CarAnox_mtb2_862	772
CarAnox_mtb2_907	33
CarAnox_mtb2_1569	77
CarAnox_mtb2_1015	35
CarAnox_mtb2_1428	38
CarAnox_mtb2_1226	222
CarAnox_mtb2_481	440
CarAnox_mtb2_151	1265
CarAnox_mtb2_334	230
CarAnox_mtb2_1465	17
CarAnox_mtb2_937	367
CarAnox_mtb2_76	23
CarAnox_mtb2_524	1934
CarAnox_mtb2_1334	299
CarAnox_mtb2_1183	1389
CarAnox_mtb2_459	14
CarAnox_mtb2_743	25356
CarAnox_mtb2_1429	20181
CarAnox_mtb2_14	198
CarAnox_mtb2_1320	2944
CarAnox_mtb2_336	62
CarAnox_mtb2_1562	80
CarAnox_mtb2_213	319
CarAnox_mtb2_83	358
CarAnox_mtb2_164	556
CarAnox_mtb2_313	215
CarAnox_mtb2_400	161
CarAnox_mtb2_421	25
CarAnox_mtb2_1600	13
CarAnox_mtb2_888	4288
CarAnox_mtb2_1536	3134
CarAnox_mtb2_1101	8
CarAnox_mtb2_707	115
CarAnox_mtb2_153	429
CarAnox_mtb2_786	1344
CarAnox_mtb2_206	872
CarAnox_mtb2_557	17
CarAnox_mtb2_349	499
CarAnox_mtb2_1053	1513
CarAnox_mtb2_301	63
CarAnox_mtb2_809	26
CarAnox_mtb2_1556	926
CarAnox_mtb2_128	42
CarAnox_mtb2_1446	11
CarAnox_mtb2_1552	35
CarAnox_mtb2_1559	189
CarAnox_mtb2_1679	98210
CarAnox_mtb2_1425	31
CarAnox_mtb2_516	1
CarAnox_mtb2_941	258
CarAnox_mtb2_828	726
CarAnox_mtb2_739	211
CarAnox_mtb2_1274	29
CarAnox_mtb2_30	25
CarAnox_mtb2_750	17
CarAnox_mtb2_608	68
CarAnox_mtb2_572	183
CarAnox_mtb2_1146	3520
CarAnox_mtb2_1398	76
CarAnox_mtb2_596	644
CarAnox_mtb2_243	1967
CarAnox_mtb2_1149	607
CarAnox_mtb2_361	36
CarAnox_mtb2_938	455
CarAnox_mtb2_908	141
CarAnox_mtb2_121	120
CarAnox_mtb2_713	29754
CarAnox_mtb2_1080	23
CarAnox_mtb2_781	131
CarAnox_mtb2_798	765
CarAnox_mtb2_1422	101
CarAnox_mtb2_996	1396
CarAnox_mtb2_535	134
CarAnox_mtb2_1253	118
CarAnox_mtb2_715	447
CarAnox_mtb2_621	253
CarAnox_mtb2_1042	107
CarAnox_mtb2_614	6
CarAnox_mtb2_1447	920
CarAnox_mtb2_116	72
CarAnox_mtb2_244	1239
CarAnox_mtb2_704	665
CarAnox_mtb2_492	418
CarAnox_mtb2_1352	128
CarAnox_mtb2_768	24
CarAnox_mtb2_853	45
CarAnox_mtb2_31	32
CarAnox_mtb2_464	972
CarAnox_mtb2_942	212
CarAnox_mtb2_1019	308
CarAnox_mtb2_1375	32826
CarAnox_mtb2_310	32
CarAnox_mtb2_1268	576
CarAnox_mtb2_636	53
CarAnox_mtb2_512	16
CarAnox_mtb2_595	74
CarAnox_mtb2_1284	85
CarAnox_mtb2_59	3839
CarAnox_mtb2_1105	6
CarAnox_mtb2_719	75
CarAnox_mtb2_1356	314
CarAnox_mtb2_1570	97
CarAnox_mtb2_1503	4
CarAnox_mtb2_1244	31
CarAnox_mtb2_1109	179
CarAnox_mtb2_216	72
CarAnox_mtb2_660	6
CarAnox_mtb2_820	721
CarAnox_mtb2_762	13
CarAnox_mtb2_1264	70
CarAnox_mtb2_997	149
CarAnox_mtb2_42	288
CarAnox_mtb2_1263	182
CarAnox_mtb2_292	2942
CarAnox_mtb2_1649	9
CarAnox_mtb2_1604	51
CarAnox_mtb2_1464	13
CarAnox_mtb2_1392	219
CarAnox_mtb2_1225	8413
CarAnox_mtb2_479	21
CarAnox_mtb2_740	10
CarAnox_mtb2_1220	1492
CarAnox_mtb2_616	187
