Genome	D3b103B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	294
CarAnox_mtb2_1542	168
CarAnox_mtb2_1515	30
CarAnox_mtb2_211	41512
CarAnox_mtb2_485	64
CarAnox_mtb2_46	21
CarAnox_mtb2_1170	13096
CarAnox_mtb2_293	172104
CarAnox_mtb2_638	52
CarAnox_mtb2_1548	3257
CarAnox_mtb2_1024	57
CarAnox_mtb2_1251	23
CarAnox_mtb2_1113	23
CarAnox_mtb2_1099	75
CarAnox_mtb2_921	586
CarAnox_mtb2_103	4
CarAnox_mtb2_952	71628
CarAnox_mtb2_1151	139
CarAnox_mtb2_1243	3
CarAnox_mtb2_646	15
CarAnox_mtb2_974	11
CarAnox_mtb2_670	216
CarAnox_mtb2_1504	159
CarAnox_mtb2_933	30
CarAnox_mtb2_861	7
CarAnox_mtb2_1037	2288
CarAnox_mtb2_648	102
CarAnox_mtb2_1224	37
CarAnox_mtb2_45	16
CarAnox_mtb2_982	249
CarAnox_mtb2_1588	7
CarAnox_mtb2_422	75
CarAnox_mtb2_163	2
CarAnox_mtb2_289	178
CarAnox_mtb2_1148	136
CarAnox_mtb2_1262	5
CarAnox_mtb2_254	428
CarAnox_mtb2_28	74
CarAnox_mtb2_1301	408
CarAnox_mtb2_1289	23
CarAnox_mtb2_395	147244
CarAnox_mtb2_1305	17
CarAnox_mtb2_81	3580
CarAnox_mtb2_724	58
CarAnox_mtb2_331	1335
CarAnox_mtb2_758	6
CarAnox_mtb2_1566	20
CarAnox_mtb2_723	51
CarAnox_mtb2_1469	11
CarAnox_mtb2_1276	5
CarAnox_mtb2_1526	128
CarAnox_mtb2_529	20
CarAnox_mtb2_1100	12
CarAnox_mtb2_239	11
CarAnox_mtb2_589	79
CarAnox_mtb2_826	205
CarAnox_mtb2_1610	12
CarAnox_mtb2_656	8
CarAnox_mtb2_1540	362
CarAnox_mtb2_1036	75
CarAnox_mtb2_1014	8
CarAnox_mtb2_1544	13
CarAnox_mtb2_1584	14
CarAnox_mtb2_1502	4
CarAnox_mtb2_729	95
CarAnox_mtb2_927	28243
CarAnox_mtb2_315	381
CarAnox_mtb2_102	90
CarAnox_mtb2_1173	203
CarAnox_mtb2_1215	89
CarAnox_mtb2_245	7
CarAnox_mtb2_1108	14
CarAnox_mtb2_34	73
CarAnox_mtb2_815	17
CarAnox_mtb2_1121	28
CarAnox_mtb2_1583	415968
CarAnox_mtb2_1636	53
CarAnox_mtb2_1252	10
CarAnox_mtb2_507	3
CarAnox_mtb2_1463	52
CarAnox_mtb2_554	26
CarAnox_mtb2_1365	59
CarAnox_mtb2_564	759
CarAnox_mtb2_774	373
CarAnox_mtb2_486	30
CarAnox_mtb2_811	80
CarAnox_mtb2_661	8
CarAnox_mtb2_1208	1201
CarAnox_mtb2_1369	601124
CarAnox_mtb2_2	613532
CarAnox_mtb2_1188	754
CarAnox_mtb2_790	176
CarAnox_mtb2_1389	16
CarAnox_mtb2_186	182
CarAnox_mtb2_268	195
CarAnox_mtb2_68	23
CarAnox_mtb2_1039	13
CarAnox_mtb2_215	293
CarAnox_mtb2_782	5383
CarAnox_mtb2_1285	10
CarAnox_mtb2_1408	34
CarAnox_mtb2_122	79
CarAnox_mtb2_791	12
CarAnox_mtb2_1279	37
CarAnox_mtb2_120	6
CarAnox_mtb2_375	6
CarAnox_mtb2_1071	29
CarAnox_mtb2_1499	20
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	33
CarAnox_mtb2_620	3923
CarAnox_mtb2_48	14
CarAnox_mtb2_435	5
CarAnox_mtb2_1454	173
CarAnox_mtb2_190	76
CarAnox_mtb2_890	36
CarAnox_mtb2_304	3
CarAnox_mtb2_1607	27
CarAnox_mtb2_16	637865
CarAnox_mtb2_912	52
CarAnox_mtb2_1016	16
CarAnox_mtb2_265	215
CarAnox_mtb2_857	41
CarAnox_mtb2_755	121
CarAnox_mtb2_1167	5
CarAnox_mtb2_341	17
CarAnox_mtb2_1374	12
CarAnox_mtb2_867	6
CarAnox_mtb2_18	2
CarAnox_mtb2_101	3
CarAnox_mtb2_583	21
CarAnox_mtb2_530	10
CarAnox_mtb2_1194	217
CarAnox_mtb2_560	5
CarAnox_mtb2_737	4
CarAnox_mtb2_302	4
CarAnox_mtb2_1630	1
CarAnox_mtb2_1535	32
CarAnox_mtb2_181	31154
CarAnox_mtb2_691	25
CarAnox_mtb2_669	11
CarAnox_mtb2_1441	1399
CarAnox_mtb2_721	64
CarAnox_mtb2_1655	20
CarAnox_mtb2_430	8
CarAnox_mtb2_567	11
CarAnox_mtb2_931	85
CarAnox_mtb2_1288	48
CarAnox_mtb2_1201	12
CarAnox_mtb2_1010	4507
CarAnox_mtb2_1618	143
CarAnox_mtb2_970	16
CarAnox_mtb2_1431	129
CarAnox_mtb2_671	25
CarAnox_mtb2_1601	1
CarAnox_mtb2_663	810
CarAnox_mtb2_1123	11
CarAnox_mtb2_972	65
CarAnox_mtb2_352	856
CarAnox_mtb2_722	32
CarAnox_mtb2_329	47
CarAnox_mtb2_1638	15
CarAnox_mtb2_599	19
CarAnox_mtb2_872	8
CarAnox_mtb2_1531	132
CarAnox_mtb2_779	3
CarAnox_mtb2_672	372216
CarAnox_mtb2_1249	76
CarAnox_mtb2_631	34
CarAnox_mtb2_756	492
CarAnox_mtb2_1366	134
CarAnox_mtb2_115	144
CarAnox_mtb2_193	326
CarAnox_mtb2_846	18
CarAnox_mtb2_189	29
CarAnox_mtb2_1190	5042
CarAnox_mtb2_957	435
CarAnox_mtb2_1506	105
CarAnox_mtb2_1606	413
CarAnox_mtb2_1350	113
CarAnox_mtb2_196	72
CarAnox_mtb2_610	24
CarAnox_mtb2_1384	38
CarAnox_mtb2_1543	8
CarAnox_mtb2_1116	282
CarAnox_mtb2_879	133
CarAnox_mtb2_15	4
CarAnox_mtb2_1271	15
CarAnox_mtb2_1239	2966
CarAnox_mtb2_770	386
CarAnox_mtb2_1534	68
CarAnox_mtb2_586	11
CarAnox_mtb2_545	3161940
CarAnox_mtb2_650	46
CarAnox_mtb2_112	62
CarAnox_mtb2_1363	54
CarAnox_mtb2_419	32
CarAnox_mtb2_629	10
CarAnox_mtb2_1512	17
CarAnox_mtb2_1092	993
CarAnox_mtb2_347	425
CarAnox_mtb2_914	11
CarAnox_mtb2_1089	62
CarAnox_mtb2_945	1333
CarAnox_mtb2_697	44
CarAnox_mtb2_658	11
CarAnox_mtb2_403	15
CarAnox_mtb2_3	27
CarAnox_mtb2_598	114
CarAnox_mtb2_495	9
CarAnox_mtb2_220	132
CarAnox_mtb2_224	78097
CarAnox_mtb2_1628	2778
CarAnox_mtb2_262	53
CarAnox_mtb2_117	46
CarAnox_mtb2_810	1194
CarAnox_mtb2_685	25
CarAnox_mtb2_1056	77
CarAnox_mtb2_1647	15
CarAnox_mtb2_22	19262
CarAnox_mtb2_291	31
CarAnox_mtb2_690	419
CarAnox_mtb2_538	27
CarAnox_mtb2_623	14
CarAnox_mtb2_207	21
CarAnox_mtb2_771	11058
CarAnox_mtb2_539	179
CarAnox_mtb2_1421	11
