Genome	D3b103A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	263
CarAnox_mtb2_1542	1810
CarAnox_mtb2_1515	3115
CarAnox_mtb2_211	65592
CarAnox_mtb2_485	527
CarAnox_mtb2_46	10
CarAnox_mtb2_1170	1946
CarAnox_mtb2_293	3995
CarAnox_mtb2_638	139
CarAnox_mtb2_1548	847
CarAnox_mtb2_1024	26
CarAnox_mtb2_1251	119
CarAnox_mtb2_1113	397
CarAnox_mtb2_1099	239
CarAnox_mtb2_921	5025
CarAnox_mtb2_103	81
CarAnox_mtb2_952	3044
CarAnox_mtb2_1151	5398
CarAnox_mtb2_1243	6
CarAnox_mtb2_646	544
CarAnox_mtb2_974	6
CarAnox_mtb2_670	2104
CarAnox_mtb2_1504	1731
CarAnox_mtb2_933	169
CarAnox_mtb2_861	8
CarAnox_mtb2_1037	2911
CarAnox_mtb2_648	184
CarAnox_mtb2_1224	191
CarAnox_mtb2_45	90
CarAnox_mtb2_982	785
CarAnox_mtb2_1588	8
CarAnox_mtb2_422	129
CarAnox_mtb2_163	47
CarAnox_mtb2_289	651
CarAnox_mtb2_1148	83
CarAnox_mtb2_1262	21
CarAnox_mtb2_254	498
CarAnox_mtb2_28	764
CarAnox_mtb2_1301	3817
CarAnox_mtb2_1289	173
CarAnox_mtb2_395	14438
CarAnox_mtb2_1305	81
CarAnox_mtb2_81	2359
CarAnox_mtb2_724	73
CarAnox_mtb2_331	915
CarAnox_mtb2_758	67
CarAnox_mtb2_1566	43
CarAnox_mtb2_723	606
CarAnox_mtb2_1469	71
CarAnox_mtb2_1276	2
CarAnox_mtb2_1526	496
CarAnox_mtb2_529	794
CarAnox_mtb2_1100	178
CarAnox_mtb2_239	37
CarAnox_mtb2_589	791
CarAnox_mtb2_826	669
CarAnox_mtb2_1610	115
CarAnox_mtb2_656	6
CarAnox_mtb2_1540	92
CarAnox_mtb2_1036	69
CarAnox_mtb2_1014	9
CarAnox_mtb2_1544	247
CarAnox_mtb2_1584	113
CarAnox_mtb2_1502	5
CarAnox_mtb2_729	69
CarAnox_mtb2_927	4658
CarAnox_mtb2_315	572
CarAnox_mtb2_102	3150
CarAnox_mtb2_1173	156
CarAnox_mtb2_1215	597
CarAnox_mtb2_245	127
CarAnox_mtb2_1108	11
CarAnox_mtb2_34	679
CarAnox_mtb2_815	57
CarAnox_mtb2_1121	57
CarAnox_mtb2_1583	127515
CarAnox_mtb2_1636	116
CarAnox_mtb2_1252	107
CarAnox_mtb2_507	7
CarAnox_mtb2_1463	540
CarAnox_mtb2_554	68
CarAnox_mtb2_1365	279
CarAnox_mtb2_564	232
CarAnox_mtb2_774	122
CarAnox_mtb2_486	50
CarAnox_mtb2_811	2856
CarAnox_mtb2_661	23
CarAnox_mtb2_1208	2589
CarAnox_mtb2_1369	316984
CarAnox_mtb2_2	25813
CarAnox_mtb2_1188	1413
CarAnox_mtb2_790	780
CarAnox_mtb2_1389	79
CarAnox_mtb2_186	4212
CarAnox_mtb2_268	1528
CarAnox_mtb2_68	87
CarAnox_mtb2_1039	13
CarAnox_mtb2_215	511
CarAnox_mtb2_782	1387
CarAnox_mtb2_1285	46
CarAnox_mtb2_1408	298
CarAnox_mtb2_122	484
CarAnox_mtb2_791	7
CarAnox_mtb2_1279	44
CarAnox_mtb2_120	33
CarAnox_mtb2_375	18
CarAnox_mtb2_1071	160
CarAnox_mtb2_1499	75
CarAnox_mtb2_1178	1
CarAnox_mtb2_171	101
CarAnox_mtb2_620	4489
CarAnox_mtb2_48	22
CarAnox_mtb2_435	150
CarAnox_mtb2_1454	11952
CarAnox_mtb2_190	337
CarAnox_mtb2_890	99
CarAnox_mtb2_304	5
CarAnox_mtb2_1607	114
CarAnox_mtb2_16	6045
CarAnox_mtb2_912	100
CarAnox_mtb2_1016	242
CarAnox_mtb2_265	5818
CarAnox_mtb2_857	116
CarAnox_mtb2_755	66
CarAnox_mtb2_1167	7
CarAnox_mtb2_341	68
CarAnox_mtb2_1374	23
CarAnox_mtb2_867	37
CarAnox_mtb2_18	19
CarAnox_mtb2_101	93
CarAnox_mtb2_583	22
CarAnox_mtb2_530	37
CarAnox_mtb2_1194	114
CarAnox_mtb2_560	210
CarAnox_mtb2_737	39
