Genome	D2b200B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	1713
CarAnox_mtb2_1542	134
CarAnox_mtb2_1515	64
CarAnox_mtb2_211	1070159
CarAnox_mtb2_485	198
CarAnox_mtb2_46	114
CarAnox_mtb2_1170	870793
CarAnox_mtb2_293	3185942
CarAnox_mtb2_638	74
CarAnox_mtb2_1548	24649
CarAnox_mtb2_1024	249
CarAnox_mtb2_1251	111
CarAnox_mtb2_1113	40
CarAnox_mtb2_1099	116
CarAnox_mtb2_921	387
CarAnox_mtb2_103	152
CarAnox_mtb2_952	1001083
CarAnox_mtb2_1151	154
CarAnox_mtb2_1243	103
CarAnox_mtb2_646	132
CarAnox_mtb2_974	40
CarAnox_mtb2_670	221
CarAnox_mtb2_1504	395
CarAnox_mtb2_933	58
CarAnox_mtb2_861	22
CarAnox_mtb2_1037	1083
CarAnox_mtb2_648	37
CarAnox_mtb2_1224	175
CarAnox_mtb2_45	267
CarAnox_mtb2_982	98
CarAnox_mtb2_1588	116
CarAnox_mtb2_422	191
CarAnox_mtb2_163	33
CarAnox_mtb2_289	325
CarAnox_mtb2_1148	31579
CarAnox_mtb2_1262	33
CarAnox_mtb2_254	710
CarAnox_mtb2_28	191
CarAnox_mtb2_1301	235
CarAnox_mtb2_1289	106
CarAnox_mtb2_395	1564181
CarAnox_mtb2_1305	45
CarAnox_mtb2_81	106596
CarAnox_mtb2_724	190
CarAnox_mtb2_331	735
CarAnox_mtb2_758	38
CarAnox_mtb2_1566	512
CarAnox_mtb2_723	179
CarAnox_mtb2_1469	200
CarAnox_mtb2_1276	62
CarAnox_mtb2_1526	383
CarAnox_mtb2_529	115
CarAnox_mtb2_1100	37
CarAnox_mtb2_239	20
CarAnox_mtb2_589	70
CarAnox_mtb2_826	169
CarAnox_mtb2_1610	55
CarAnox_mtb2_656	35
CarAnox_mtb2_1540	127572
CarAnox_mtb2_1036	349
CarAnox_mtb2_1014	74
CarAnox_mtb2_1544	33
CarAnox_mtb2_1584	46
CarAnox_mtb2_1502	10
CarAnox_mtb2_729	552
