Genome	D2b143B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_945	6704
CarAnox_mtb2_697	50
CarAnox_mtb2_658	8
CarAnox_mtb2_403	53
CarAnox_mtb2_3	48
CarAnox_mtb2_598	119
CarAnox_mtb2_495	33
CarAnox_mtb2_220	181
CarAnox_mtb2_224	291773
CarAnox_mtb2_1628	55390
CarAnox_mtb2_262	196
CarAnox_mtb2_117	94
CarAnox_mtb2_810	1833
CarAnox_mtb2_685	39
CarAnox_mtb2_1056	111
CarAnox_mtb2_1647	17
CarAnox_mtb2_22	1113669
CarAnox_mtb2_291	75
CarAnox_mtb2_690	1164
CarAnox_mtb2_538	105
CarAnox_mtb2_623	79
CarAnox_mtb2_207	46
CarAnox_mtb2_771	12563
CarAnox_mtb2_539	290
CarAnox_mtb2_1421	39
CarAnox_mtb2_777	65
CarAnox_mtb2_27	237
CarAnox_mtb2_316	18
CarAnox_mtb2_114	78
CarAnox_mtb2_1098	36
CarAnox_mtb2_1316	150680
CarAnox_mtb2_1367	72
CarAnox_mtb2_662	49
CarAnox_mtb2_547	25
CarAnox_mtb2_24	399
CarAnox_mtb2_611	391
CarAnox_mtb2_1524	1249
CarAnox_mtb2_63	106
CarAnox_mtb2_1627	488
CarAnox_mtb2_1437	19
CarAnox_mtb2_657	38
CarAnox_mtb2_1075	32
CarAnox_mtb2_573	37
CarAnox_mtb2_613	100
CarAnox_mtb2_651	27
CarAnox_mtb2_183	19
CarAnox_mtb2_772	160
CarAnox_mtb2_314	12
CarAnox_mtb2_1242	166
CarAnox_mtb2_386	28
CarAnox_mtb2_503	77
CarAnox_mtb2_1219	695
CarAnox_mtb2_1576	229370
CarAnox_mtb2_1299	869
CarAnox_mtb2_242	96
CarAnox_mtb2_754	37
CarAnox_mtb2_236	45
CarAnox_mtb2_470	14
CarAnox_mtb2_1286	887
CarAnox_mtb2_753	965
CarAnox_mtb2_604	1764
CarAnox_mtb2_51	46
CarAnox_mtb2_335	4349
CarAnox_mtb2_548	41
CarAnox_mtb2_652	839
CarAnox_mtb2_757	46
CarAnox_mtb2_712	263
CarAnox_mtb2_1130	3
CarAnox_mtb2_1359	283
CarAnox_mtb2_916	932
CarAnox_mtb2_1050	166
CarAnox_mtb2_1155	78
CarAnox_mtb2_317	123
CarAnox_mtb2_544	1382913
CarAnox_mtb2_1527	30
CarAnox_mtb2_1400	159
CarAnox_mtb2_1179	130
CarAnox_mtb2_1083	63
CarAnox_mtb2_78	865
CarAnox_mtb2_20	76
CarAnox_mtb2_379	289
CarAnox_mtb2_955	111
CarAnox_mtb2_490	134
CarAnox_mtb2_841	80
CarAnox_mtb2_1250	175
CarAnox_mtb2_893	89
CarAnox_mtb2_601	25
CarAnox_mtb2_552	165
CarAnox_mtb2_832	313
CarAnox_mtb2_880	49
CarAnox_mtb2_1521	29
CarAnox_mtb2_94	23
CarAnox_mtb2_226	117
CarAnox_mtb2_1117	44837
CarAnox_mtb2_1388	40
CarAnox_mtb2_561	4
CarAnox_mtb2_453	80
CarAnox_mtb2_1478	39
CarAnox_mtb2_21	4466
CarAnox_mtb2_803	53015
CarAnox_mtb2_775	137
CarAnox_mtb2_606	291
CarAnox_mtb2_1681	328046
CarAnox_mtb2_748	79
CarAnox_mtb2_38	224
CarAnox_mtb2_180	90
CarAnox_mtb2_925	303
CarAnox_mtb2_420	2
CarAnox_mtb2_1549	347
CarAnox_mtb2_1684	2057
CarAnox_mtb2_591	140
CarAnox_mtb2_1079	949
CarAnox_mtb2_983	1020400
CarAnox_mtb2_1171	48
CarAnox_mtb2_62	23
CarAnox_mtb2_885	91
CarAnox_mtb2_563	462
CarAnox_mtb2_1508	9
CarAnox_mtb2_1007	18
CarAnox_mtb2_1413	16
CarAnox_mtb2_923	14
CarAnox_mtb2_1033	473
CarAnox_mtb2_628	35
CarAnox_mtb2_214	96
CarAnox_mtb2_1432	115
CarAnox_mtb2_32	20
CarAnox_mtb2_742	91
CarAnox_mtb2_864	164
CarAnox_mtb2_1554	36
CarAnox_mtb2_1372	13
CarAnox_mtb2_330	12
CarAnox_mtb2_1371	149
CarAnox_mtb2_1605	7781
CarAnox_mtb2_718	23
CarAnox_mtb2_751	99
CarAnox_mtb2_1593	139
CarAnox_mtb2_13	66
CarAnox_mtb2_1414	96
CarAnox_mtb2_979	136
CarAnox_mtb2_688	115
CarAnox_mtb2_86	50
CarAnox_mtb2_198	92
CarAnox_mtb2_522	284
CarAnox_mtb2_504	88
CarAnox_mtb2_732	162
CarAnox_mtb2_975	123
CarAnox_mtb2_692	116
CarAnox_mtb2_895	1971
CarAnox_mtb2_1322	151
CarAnox_mtb2_1003	432
CarAnox_mtb2_1433	621
CarAnox_mtb2_854	47
CarAnox_mtb2_1067	10
CarAnox_mtb2_1254	99
CarAnox_mtb2_109	599101
CarAnox_mtb2_1131	42
CarAnox_mtb2_956	4
CarAnox_mtb2_1507	1595834
CarAnox_mtb2_862	97
CarAnox_mtb2_907	28
CarAnox_mtb2_1569	1409
CarAnox_mtb2_1015	8
CarAnox_mtb2_1428	63
