Genome	D2b237A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2726
CarAnox_mtb2_1542	2124
CarAnox_mtb2_1515	14174
CarAnox_mtb2_211	2607329
CarAnox_mtb2_485	1589
CarAnox_mtb2_46	460
CarAnox_mtb2_1170	2007416
CarAnox_mtb2_293	70002
CarAnox_mtb2_638	637
CarAnox_mtb2_1548	27050
CarAnox_mtb2_1024	49
CarAnox_mtb2_1251	1203
CarAnox_mtb2_1113	481
CarAnox_mtb2_1099	5410
CarAnox_mtb2_921	14533
CarAnox_mtb2_103	85
CarAnox_mtb2_952	33697
CarAnox_mtb2_1151	7865
CarAnox_mtb2_1243	23
CarAnox_mtb2_646	2426
CarAnox_mtb2_974	27
CarAnox_mtb2_670	1124
CarAnox_mtb2_1504	7795
CarAnox_mtb2_933	477
CarAnox_mtb2_861	30
CarAnox_mtb2_1037	56259
CarAnox_mtb2_648	448
CarAnox_mtb2_1224	535
CarAnox_mtb2_45	422
CarAnox_mtb2_982	384
CarAnox_mtb2_1588	131
CarAnox_mtb2_422	197
CarAnox_mtb2_163	155
CarAnox_mtb2_289	2101
CarAnox_mtb2_1148	23360
CarAnox_mtb2_1262	98
CarAnox_mtb2_254	918
CarAnox_mtb2_28	12947
CarAnox_mtb2_1301	30501
CarAnox_mtb2_1289	429
CarAnox_mtb2_395	695796
CarAnox_mtb2_1305	131
CarAnox_mtb2_81	188351
CarAnox_mtb2_724	68
CarAnox_mtb2_331	2728
CarAnox_mtb2_758	99
CarAnox_mtb2_1566	462
CarAnox_mtb2_723	4923
CarAnox_mtb2_1469	130
CarAnox_mtb2_1276	9
CarAnox_mtb2_1526	3839
CarAnox_mtb2_529	763
CarAnox_mtb2_1100	1094
CarAnox_mtb2_239	81
CarAnox_mtb2_589	5558
CarAnox_mtb2_826	741
CarAnox_mtb2_1610	123
CarAnox_mtb2_656	6
CarAnox_mtb2_1540	31281
CarAnox_mtb2_1036	948
CarAnox_mtb2_1014	27006
CarAnox_mtb2_1544	522
CarAnox_mtb2_1584	90
CarAnox_mtb2_1502	38
CarAnox_mtb2_729	316
CarAnox_mtb2_927	21487
CarAnox_mtb2_315	126154
CarAnox_mtb2_102	845622
CarAnox_mtb2_1173	1632
CarAnox_mtb2_1215	6583
CarAnox_mtb2_245	326
CarAnox_mtb2_1108	2
CarAnox_mtb2_34	2382
CarAnox_mtb2_815	329
CarAnox_mtb2_1121	385
CarAnox_mtb2_1583	412751
CarAnox_mtb2_1636	6153
CarAnox_mtb2_1252	435
CarAnox_mtb2_507	29
CarAnox_mtb2_1463	1658
CarAnox_mtb2_554	345
CarAnox_mtb2_1365	584
CarAnox_mtb2_564	752
CarAnox_mtb2_774	76196
CarAnox_mtb2_486	117
CarAnox_mtb2_811	19355
CarAnox_mtb2_661	39
CarAnox_mtb2_1208	299880
CarAnox_mtb2_1369	591703
CarAnox_mtb2_2	25853
CarAnox_mtb2_1188	3300
CarAnox_mtb2_790	1953
CarAnox_mtb2_1389	15809
CarAnox_mtb2_186	5912
CarAnox_mtb2_268	4602
CarAnox_mtb2_68	401
CarAnox_mtb2_1039	37
CarAnox_mtb2_215	2799
CarAnox_mtb2_782	18957
CarAnox_mtb2_1285	430
CarAnox_mtb2_1408	836
CarAnox_mtb2_122	223
CarAnox_mtb2_791	57
CarAnox_mtb2_1279	283
CarAnox_mtb2_120	8
CarAnox_mtb2_375	115
CarAnox_mtb2_1071	241
CarAnox_mtb2_1499	141
CarAnox_mtb2_1178	1
CarAnox_mtb2_171	1063
CarAnox_mtb2_620	3794
CarAnox_mtb2_48	61
CarAnox_mtb2_435	436
CarAnox_mtb2_1454	1446319
CarAnox_mtb2_190	12867
CarAnox_mtb2_890	407
CarAnox_mtb2_304	12
CarAnox_mtb2_1607	366
CarAnox_mtb2_16	92832
CarAnox_mtb2_912	10653
CarAnox_mtb2_1016	820
CarAnox_mtb2_265	18762
CarAnox_mtb2_857	239
CarAnox_mtb2_755	840
CarAnox_mtb2_1167	301
CarAnox_mtb2_341	78
CarAnox_mtb2_1374	18
CarAnox_mtb2_867	263
CarAnox_mtb2_18	95
CarAnox_mtb2_101	1068
CarAnox_mtb2_583	186
CarAnox_mtb2_530	55
CarAnox_mtb2_1194	82896
CarAnox_mtb2_560	147
CarAnox_mtb2_737	124
CarAnox_mtb2_302	73
CarAnox_mtb2_1630	54
CarAnox_mtb2_1535	258
CarAnox_mtb2_181	4528
CarAnox_mtb2_691	562
CarAnox_mtb2_669	863
CarAnox_mtb2_1441	28235
CarAnox_mtb2_721	1979
CarAnox_mtb2_1655	304
CarAnox_mtb2_430	231
CarAnox_mtb2_567	100
CarAnox_mtb2_931	4493
CarAnox_mtb2_1288	933
CarAnox_mtb2_1201	432
CarAnox_mtb2_1010	16893
CarAnox_mtb2_1618	8076
CarAnox_mtb2_970	18
CarAnox_mtb2_1431	973
CarAnox_mtb2_671	19739
CarAnox_mtb2_1601	50
CarAnox_mtb2_663	28742
CarAnox_mtb2_1123	134
CarAnox_mtb2_972	19192
CarAnox_mtb2_352	24931
CarAnox_mtb2_722	892
CarAnox_mtb2_329	169
CarAnox_mtb2_1638	56
CarAnox_mtb2_599	2200
CarAnox_mtb2_872	17
CarAnox_mtb2_1531	3143
CarAnox_mtb2_779	2
CarAnox_mtb2_672	343005
CarAnox_mtb2_1249	74959
CarAnox_mtb2_631	244
CarAnox_mtb2_756	43252
CarAnox_mtb2_1366	86599
CarAnox_mtb2_115	8583
CarAnox_mtb2_193	12344
CarAnox_mtb2_846	247
CarAnox_mtb2_189	6835
CarAnox_mtb2_1190	143731
CarAnox_mtb2_957	188312
CarAnox_mtb2_1506	635
CarAnox_mtb2_1606	1288
CarAnox_mtb2_1350	562
CarAnox_mtb2_196	996
CarAnox_mtb2_610	162
CarAnox_mtb2_1384	1226
CarAnox_mtb2_1543	531
CarAnox_mtb2_1116	18046
CarAnox_mtb2_879	29005
CarAnox_mtb2_15	58
CarAnox_mtb2_1271	486
CarAnox_mtb2_1239	437004
CarAnox_mtb2_770	2334
CarAnox_mtb2_1534	4807
CarAnox_mtb2_586	147
CarAnox_mtb2_545	849649
CarAnox_mtb2_650	12506
CarAnox_mtb2_112	248
CarAnox_mtb2_1363	1331
CarAnox_mtb2_419	1104
CarAnox_mtb2_629	341
CarAnox_mtb2_1512	849
CarAnox_mtb2_1092	112459
CarAnox_mtb2_347	26728
CarAnox_mtb2_914	81
CarAnox_mtb2_1089	237
CarAnox_mtb2_945	219467
CarAnox_mtb2_697	376
CarAnox_mtb2_658	138
CarAnox_mtb2_403	1074
CarAnox_mtb2_3	772
CarAnox_mtb2_598	500
CarAnox_mtb2_495	58
CarAnox_mtb2_220	156
CarAnox_mtb2_224	18713
CarAnox_mtb2_1628	3002
CarAnox_mtb2_262	1947
CarAnox_mtb2_117	159
CarAnox_mtb2_810	780
CarAnox_mtb2_685	3542
CarAnox_mtb2_1056	1639
CarAnox_mtb2_1647	317
CarAnox_mtb2_22	64247
CarAnox_mtb2_291	2619
CarAnox_mtb2_690	3081
CarAnox_mtb2_538	5970
CarAnox_mtb2_623	32
CarAnox_mtb2_207	2251
CarAnox_mtb2_771	11480
CarAnox_mtb2_539	4840
CarAnox_mtb2_1421	53
CarAnox_mtb2_777	599
CarAnox_mtb2_27	44588
CarAnox_mtb2_316	21
CarAnox_mtb2_114	388
CarAnox_mtb2_1098	352
CarAnox_mtb2_1316	1603646
CarAnox_mtb2_1367	339
CarAnox_mtb2_662	976
CarAnox_mtb2_547	2965
CarAnox_mtb2_24	20305
CarAnox_mtb2_611	494
CarAnox_mtb2_1524	18285
CarAnox_mtb2_63	103
CarAnox_mtb2_1627	292
CarAnox_mtb2_1437	202
CarAnox_mtb2_657	6593
CarAnox_mtb2_1075	886
CarAnox_mtb2_573	201
CarAnox_mtb2_613	428
CarAnox_mtb2_651	12131
CarAnox_mtb2_183	8
CarAnox_mtb2_772	20024
CarAnox_mtb2_314	201
CarAnox_mtb2_1242	22400
CarAnox_mtb2_386	1093
CarAnox_mtb2_503	972
CarAnox_mtb2_1219	1367
CarAnox_mtb2_1576	7275
CarAnox_mtb2_1299	5255
CarAnox_mtb2_242	2629
CarAnox_mtb2_754	278
CarAnox_mtb2_236	1091
CarAnox_mtb2_470	21
CarAnox_mtb2_1286	50984
CarAnox_mtb2_753	13049
CarAnox_mtb2_604	353444
CarAnox_mtb2_51	56
CarAnox_mtb2_335	97220
CarAnox_mtb2_548	517
CarAnox_mtb2_652	64572
CarAnox_mtb2_757	417
CarAnox_mtb2_712	321
CarAnox_mtb2_1130	16
CarAnox_mtb2_1359	4750
CarAnox_mtb2_916	206118
CarAnox_mtb2_1050	767
CarAnox_mtb2_1155	253
CarAnox_mtb2_317	118
CarAnox_mtb2_544	488474
CarAnox_mtb2_1527	369
CarAnox_mtb2_1400	49
CarAnox_mtb2_1179	1429
CarAnox_mtb2_1083	87
CarAnox_mtb2_78	1564
CarAnox_mtb2_20	5377
CarAnox_mtb2_379	11441
CarAnox_mtb2_955	195
CarAnox_mtb2_490	351
CarAnox_mtb2_841	13096
CarAnox_mtb2_1250	3156
CarAnox_mtb2_893	852
CarAnox_mtb2_601	158
CarAnox_mtb2_552	205
CarAnox_mtb2_832	4139
CarAnox_mtb2_880	872
CarAnox_mtb2_1521	1890
CarAnox_mtb2_94	4137
CarAnox_mtb2_226	90
CarAnox_mtb2_1117	159580
CarAnox_mtb2_1388	106
CarAnox_mtb2_561	56
CarAnox_mtb2_453	7580
CarAnox_mtb2_1478	21
CarAnox_mtb2_21	18613
CarAnox_mtb2_803	475693
CarAnox_mtb2_775	203
CarAnox_mtb2_606	161
CarAnox_mtb2_1681	85669
CarAnox_mtb2_748	30
CarAnox_mtb2_38	81
CarAnox_mtb2_180	8750
CarAnox_mtb2_925	5332
CarAnox_mtb2_420	70
CarAnox_mtb2_1549	12403
CarAnox_mtb2_1684	747
CarAnox_mtb2_591	486
CarAnox_mtb2_1079	422
CarAnox_mtb2_983	39450
CarAnox_mtb2_1171	115
CarAnox_mtb2_62	97
CarAnox_mtb2_885	6130
CarAnox_mtb2_563	2227
CarAnox_mtb2_1508	391
CarAnox_mtb2_1007	754
CarAnox_mtb2_1413	113
CarAnox_mtb2_923	642
CarAnox_mtb2_1033	174700
CarAnox_mtb2_628	1312
CarAnox_mtb2_214	104
CarAnox_mtb2_1432	6029
CarAnox_mtb2_32	158
CarAnox_mtb2_742	35
CarAnox_mtb2_864	3406
CarAnox_mtb2_1554	382
CarAnox_mtb2_1372	118
CarAnox_mtb2_330	11
CarAnox_mtb2_1371	79
CarAnox_mtb2_1605	41199
CarAnox_mtb2_718	6
CarAnox_mtb2_751	14944
CarAnox_mtb2_1593	7565
CarAnox_mtb2_13	1584
CarAnox_mtb2_1414	154
CarAnox_mtb2_979	18016
CarAnox_mtb2_688	3457
CarAnox_mtb2_86	48
CarAnox_mtb2_198	119956
