Genome	D3b198A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	385
CarAnox_mtb2_1542	2211
CarAnox_mtb2_1515	3579
CarAnox_mtb2_211	149871
CarAnox_mtb2_485	668
CarAnox_mtb2_46	82
CarAnox_mtb2_1170	22589
CarAnox_mtb2_293	10095
CarAnox_mtb2_638	171
CarAnox_mtb2_1548	1036
CarAnox_mtb2_1024	34
CarAnox_mtb2_1251	1816
CarAnox_mtb2_1113	457
CarAnox_mtb2_1099	299
CarAnox_mtb2_921	6673
CarAnox_mtb2_103	56
CarAnox_mtb2_952	12988
CarAnox_mtb2_1151	11410
CarAnox_mtb2_1243	33
CarAnox_mtb2_646	735
CarAnox_mtb2_974	7
CarAnox_mtb2_670	1824
CarAnox_mtb2_1504	2280
CarAnox_mtb2_933	381
CarAnox_mtb2_861	4
CarAnox_mtb2_1037	4892
CarAnox_mtb2_648	290
CarAnox_mtb2_1224	153
CarAnox_mtb2_45	110
CarAnox_mtb2_982	681
CarAnox_mtb2_1588	127
CarAnox_mtb2_422	104
CarAnox_mtb2_163	141
CarAnox_mtb2_289	964
CarAnox_mtb2_1148	400
CarAnox_mtb2_1262	42
CarAnox_mtb2_254	586
CarAnox_mtb2_28	2361
CarAnox_mtb2_1301	4697
CarAnox_mtb2_1289	125
CarAnox_mtb2_395	145589
CarAnox_mtb2_1305	67
CarAnox_mtb2_81	18839
CarAnox_mtb2_724	44
CarAnox_mtb2_331	900
CarAnox_mtb2_758	78
CarAnox_mtb2_1566	296
CarAnox_mtb2_723	1241
CarAnox_mtb2_1469	275
CarAnox_mtb2_1276	12
CarAnox_mtb2_1526	806
CarAnox_mtb2_529	750
CarAnox_mtb2_1100	323
CarAnox_mtb2_239	52
CarAnox_mtb2_589	653
CarAnox_mtb2_826	569
CarAnox_mtb2_1610	105
CarAnox_mtb2_656	3
CarAnox_mtb2_1540	1395
CarAnox_mtb2_1036	281
CarAnox_mtb2_1014	325
CarAnox_mtb2_1544	375
CarAnox_mtb2_1584	138
CarAnox_mtb2_1502	6
CarAnox_mtb2_729	284
CarAnox_mtb2_927	14270
CarAnox_mtb2_315	8794
CarAnox_mtb2_102	75008
CarAnox_mtb2_1173	164
CarAnox_mtb2_1215	1120
CarAnox_mtb2_245	122
CarAnox_mtb2_1108	41
CarAnox_mtb2_34	1060
CarAnox_mtb2_815	85
CarAnox_mtb2_1121	13
CarAnox_mtb2_1583	422713
CarAnox_mtb2_1636	1539
CarAnox_mtb2_1252	263
CarAnox_mtb2_507	4
CarAnox_mtb2_1463	800
CarAnox_mtb2_554	140
CarAnox_mtb2_1365	440
CarAnox_mtb2_564	437
CarAnox_mtb2_774	3559
CarAnox_mtb2_486	115
CarAnox_mtb2_811	3359
CarAnox_mtb2_661	31
CarAnox_mtb2_1208	5275
CarAnox_mtb2_1369	265242
CarAnox_mtb2_2	21599
CarAnox_mtb2_1188	1756
CarAnox_mtb2_790	374
CarAnox_mtb2_1389	128
CarAnox_mtb2_186	30905
CarAnox_mtb2_268	1997
CarAnox_mtb2_68	27
CarAnox_mtb2_1039	22
CarAnox_mtb2_215	1648
CarAnox_mtb2_782	2695
CarAnox_mtb2_1285	63
CarAnox_mtb2_1408	532
