Genome	D3b314B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	66872
CarAnox_mtb2_1542	2511
CarAnox_mtb2_1515	1753
CarAnox_mtb2_211	22635810
CarAnox_mtb2_485	161
CarAnox_mtb2_46	33163
CarAnox_mtb2_1170	1621439
CarAnox_mtb2_293	1527
CarAnox_mtb2_638	161
CarAnox_mtb2_1548	4671
CarAnox_mtb2_1024	1598
CarAnox_mtb2_1251	46851
CarAnox_mtb2_1113	228
CarAnox_mtb2_1099	369
CarAnox_mtb2_921	1042
CarAnox_mtb2_103	9917
CarAnox_mtb2_952	1923
CarAnox_mtb2_1151	6183
CarAnox_mtb2_1243	10027
CarAnox_mtb2_646	4044
CarAnox_mtb2_974	699
CarAnox_mtb2_670	1381
CarAnox_mtb2_1504	33483
CarAnox_mtb2_933	668
CarAnox_mtb2_861	180
CarAnox_mtb2_1037	255018
CarAnox_mtb2_648	816
CarAnox_mtb2_1224	6885
CarAnox_mtb2_45	14745
CarAnox_mtb2_982	418
CarAnox_mtb2_1588	13978
CarAnox_mtb2_422	32867
CarAnox_mtb2_163	639
CarAnox_mtb2_289	262933
CarAnox_mtb2_1148	20545
CarAnox_mtb2_1262	5182
CarAnox_mtb2_254	1200
CarAnox_mtb2_28	9341
CarAnox_mtb2_1301	5272
CarAnox_mtb2_1289	24241
CarAnox_mtb2_395	11645
CarAnox_mtb2_1305	203
CarAnox_mtb2_81	2641103
CarAnox_mtb2_724	355
CarAnox_mtb2_331	697
CarAnox_mtb2_758	489
CarAnox_mtb2_1566	72765
CarAnox_mtb2_723	73221
CarAnox_mtb2_1469	16593
CarAnox_mtb2_1276	511
CarAnox_mtb2_1526	88743
CarAnox_mtb2_529	253
CarAnox_mtb2_1100	11566
CarAnox_mtb2_239	88
CarAnox_mtb2_589	564
CarAnox_mtb2_826	1892
CarAnox_mtb2_1610	572
CarAnox_mtb2_656	590
CarAnox_mtb2_1540	30255
CarAnox_mtb2_1036	208
CarAnox_mtb2_1014	994
CarAnox_mtb2_1544	62
CarAnox_mtb2_1584	36
CarAnox_mtb2_1502	436
CarAnox_mtb2_729	58242
CarAnox_mtb2_927	742
CarAnox_mtb2_315	22600
CarAnox_mtb2_102	2900
CarAnox_mtb2_1173	64
CarAnox_mtb2_1215	835
CarAnox_mtb2_245	76
CarAnox_mtb2_1108	887
CarAnox_mtb2_34	3156
CarAnox_mtb2_815	15986
CarAnox_mtb2_1121	70
CarAnox_mtb2_1583	40229
CarAnox_mtb2_1636	71431
CarAnox_mtb2_1252	120
CarAnox_mtb2_507	117
CarAnox_mtb2_1463	226
CarAnox_mtb2_554	5543
CarAnox_mtb2_1365	6857
CarAnox_mtb2_564	1415
CarAnox_mtb2_774	80590
CarAnox_mtb2_486	44084
CarAnox_mtb2_811	48
CarAnox_mtb2_661	551
CarAnox_mtb2_1208	1421973
CarAnox_mtb2_1369	7635
CarAnox_mtb2_2	1432
CarAnox_mtb2_1188	67073
CarAnox_mtb2_790	64815
CarAnox_mtb2_1389	3832
CarAnox_mtb2_186	57
CarAnox_mtb2_268	6770
CarAnox_mtb2_68	3404
CarAnox_mtb2_1039	1296
CarAnox_mtb2_215	81724
CarAnox_mtb2_782	5034
CarAnox_mtb2_1285	7271
CarAnox_mtb2_1408	1668
CarAnox_mtb2_122	3009
CarAnox_mtb2_791	1737
CarAnox_mtb2_1279	6884
CarAnox_mtb2_120	1054
CarAnox_mtb2_375	12838
CarAnox_mtb2_1071	72
CarAnox_mtb2_1499	419
CarAnox_mtb2_1178	912
CarAnox_mtb2_171	116227
CarAnox_mtb2_620	3301
CarAnox_mtb2_48	672
CarAnox_mtb2_435	2092
CarAnox_mtb2_1454	1169
CarAnox_mtb2_190	361
CarAnox_mtb2_890	66
CarAnox_mtb2_304	975
CarAnox_mtb2_1607	12933
CarAnox_mtb2_16	3516774
CarAnox_mtb2_912	13131
CarAnox_mtb2_1016	634
CarAnox_mtb2_265	15721
CarAnox_mtb2_857	13939
CarAnox_mtb2_755	72688
CarAnox_mtb2_1167	561
CarAnox_mtb2_341	4179
CarAnox_mtb2_1374	38
CarAnox_mtb2_867	2471
CarAnox_mtb2_18	22
CarAnox_mtb2_101	4352
CarAnox_mtb2_583	20516
CarAnox_mtb2_530	111
CarAnox_mtb2_1194	103049
CarAnox_mtb2_560	103
CarAnox_mtb2_737	50
CarAnox_mtb2_302	10396
CarAnox_mtb2_1630	47
CarAnox_mtb2_1535	91013
CarAnox_mtb2_181	2184
CarAnox_mtb2_691	6474
CarAnox_mtb2_669	145
CarAnox_mtb2_1441	332572
CarAnox_mtb2_721	2969
CarAnox_mtb2_1655	1910
CarAnox_mtb2_430	339
CarAnox_mtb2_567	3518
CarAnox_mtb2_931	382
CarAnox_mtb2_1288	174
CarAnox_mtb2_1201	13814
CarAnox_mtb2_1010	1260
CarAnox_mtb2_1618	873
CarAnox_mtb2_970	4441
CarAnox_mtb2_1431	806
CarAnox_mtb2_671	377
CarAnox_mtb2_1601	50
CarAnox_mtb2_663	1939
CarAnox_mtb2_1123	200
CarAnox_mtb2_972	13527
CarAnox_mtb2_352	4242803
CarAnox_mtb2_722	25576
CarAnox_mtb2_329	12578
CarAnox_mtb2_1638	4369
CarAnox_mtb2_599	65381
CarAnox_mtb2_872	1869
CarAnox_mtb2_1531	1961
CarAnox_mtb2_779	340
CarAnox_mtb2_672	146595
CarAnox_mtb2_1249	1491
CarAnox_mtb2_631	52470
CarAnox_mtb2_756	6631
CarAnox_mtb2_1366	35
CarAnox_mtb2_115	66842
CarAnox_mtb2_193	19438
CarAnox_mtb2_846	89277
CarAnox_mtb2_189	108070
CarAnox_mtb2_1190	20284
CarAnox_mtb2_957	62575
CarAnox_mtb2_1506	4994
CarAnox_mtb2_1606	11974
CarAnox_mtb2_1350	21228
CarAnox_mtb2_196	48460
CarAnox_mtb2_610	7386
CarAnox_mtb2_1384	48032
CarAnox_mtb2_1543	104
CarAnox_mtb2_1116	2839
CarAnox_mtb2_879	2312
CarAnox_mtb2_15	4737
CarAnox_mtb2_1271	34773
CarAnox_mtb2_1239	737
CarAnox_mtb2_770	25
CarAnox_mtb2_1534	69850
CarAnox_mtb2_586	3566
CarAnox_mtb2_545	33189
CarAnox_mtb2_650	41274
CarAnox_mtb2_112	18107
CarAnox_mtb2_1363	42272
CarAnox_mtb2_419	2849
CarAnox_mtb2_629	16918
CarAnox_mtb2_1512	150036
CarAnox_mtb2_1092	1242262
CarAnox_mtb2_347	79204
CarAnox_mtb2_914	9108
CarAnox_mtb2_1089	13075
CarAnox_mtb2_945	2650215
CarAnox_mtb2_697	74
CarAnox_mtb2_658	456
CarAnox_mtb2_403	499
CarAnox_mtb2_3	32750
CarAnox_mtb2_598	116
CarAnox_mtb2_495	2543
CarAnox_mtb2_220	5834
CarAnox_mtb2_224	3839
CarAnox_mtb2_1628	2123
CarAnox_mtb2_262	494
CarAnox_mtb2_117	4867
CarAnox_mtb2_810	389106
CarAnox_mtb2_685	3762
CarAnox_mtb2_1056	133
CarAnox_mtb2_1647	7318
CarAnox_mtb2_22	15035
CarAnox_mtb2_291	47128
CarAnox_mtb2_690	8890
CarAnox_mtb2_538	194
CarAnox_mtb2_623	528
CarAnox_mtb2_207	44
CarAnox_mtb2_771	2290
CarAnox_mtb2_539	551
CarAnox_mtb2_1421	5345
CarAnox_mtb2_777	2455
CarAnox_mtb2_27	2583
CarAnox_mtb2_316	491
CarAnox_mtb2_114	1453
CarAnox_mtb2_1098	22140
CarAnox_mtb2_1316	101919
CarAnox_mtb2_1367	89227
CarAnox_mtb2_662	194
CarAnox_mtb2_547	4703
CarAnox_mtb2_24	95994
CarAnox_mtb2_611	7622
CarAnox_mtb2_1524	78978
CarAnox_mtb2_63	1255
CarAnox_mtb2_1627	6190
CarAnox_mtb2_1437	4993
CarAnox_mtb2_657	765
CarAnox_mtb2_1075	746
CarAnox_mtb2_573	20602
CarAnox_mtb2_613	149
CarAnox_mtb2_651	3901
CarAnox_mtb2_183	1148
CarAnox_mtb2_772	13573
CarAnox_mtb2_314	48603
CarAnox_mtb2_1242	9733
CarAnox_mtb2_386	79343
CarAnox_mtb2_503	372
CarAnox_mtb2_1219	583
CarAnox_mtb2_1576	92
CarAnox_mtb2_1299	308172
CarAnox_mtb2_242	3415
CarAnox_mtb2_754	12550
CarAnox_mtb2_236	4025
CarAnox_mtb2_470	257
CarAnox_mtb2_1286	6274
CarAnox_mtb2_753	45801
CarAnox_mtb2_604	1242
CarAnox_mtb2_51	3889
CarAnox_mtb2_335	178048
CarAnox_mtb2_548	1989
CarAnox_mtb2_652	694515
CarAnox_mtb2_757	45380
CarAnox_mtb2_712	21860
CarAnox_mtb2_1130	17
CarAnox_mtb2_1359	55989
CarAnox_mtb2_916	3671
CarAnox_mtb2_1050	4620
CarAnox_mtb2_1155	87
CarAnox_mtb2_317	3061
CarAnox_mtb2_544	1774229
CarAnox_mtb2_1527	3161
CarAnox_mtb2_1400	17811
CarAnox_mtb2_1179	94
CarAnox_mtb2_1083	1067
CarAnox_mtb2_78	80761
CarAnox_mtb2_20	30808
CarAnox_mtb2_379	3826
CarAnox_mtb2_955	24129
CarAnox_mtb2_490	5245
CarAnox_mtb2_841	198598
CarAnox_mtb2_1250	3876
CarAnox_mtb2_893	159
CarAnox_mtb2_601	18437
CarAnox_mtb2_552	5841
CarAnox_mtb2_832	10934
CarAnox_mtb2_880	189792
CarAnox_mtb2_1521	163
CarAnox_mtb2_94	2263
CarAnox_mtb2_226	11304
CarAnox_mtb2_1117	140035
CarAnox_mtb2_1388	39
CarAnox_mtb2_561	4278
CarAnox_mtb2_453	872
CarAnox_mtb2_1478	13349
CarAnox_mtb2_21	48582
CarAnox_mtb2_803	753373
CarAnox_mtb2_775	16383
CarAnox_mtb2_606	1576
CarAnox_mtb2_1681	2020
CarAnox_mtb2_748	2387
CarAnox_mtb2_38	6960
CarAnox_mtb2_180	410
CarAnox_mtb2_925	950
CarAnox_mtb2_420	25
CarAnox_mtb2_1549	76936
CarAnox_mtb2_1684	212233
CarAnox_mtb2_591	34109
CarAnox_mtb2_1079	13410
CarAnox_mtb2_983	30823
CarAnox_mtb2_1171	6499
CarAnox_mtb2_62	2215
CarAnox_mtb2_885	10086
CarAnox_mtb2_563	400
CarAnox_mtb2_1508	583
CarAnox_mtb2_1007	12400
CarAnox_mtb2_1413	1205
CarAnox_mtb2_923	19818
CarAnox_mtb2_1033	260
CarAnox_mtb2_628	3319
CarAnox_mtb2_214	447
CarAnox_mtb2_1432	545
CarAnox_mtb2_32	5826
CarAnox_mtb2_742	1108
CarAnox_mtb2_864	106803
CarAnox_mtb2_1554	25
CarAnox_mtb2_1372	25
CarAnox_mtb2_330	1256
CarAnox_mtb2_1371	4749
CarAnox_mtb2_1605	9217
CarAnox_mtb2_718	193
CarAnox_mtb2_751	1170
