Genome	D3b234B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2047
CarAnox_mtb2_1542	501
CarAnox_mtb2_1515	66
CarAnox_mtb2_211	1654625
CarAnox_mtb2_485	73
CarAnox_mtb2_46	1044
CarAnox_mtb2_1170	795589
CarAnox_mtb2_293	845204
CarAnox_mtb2_638	80
CarAnox_mtb2_1548	6982
CarAnox_mtb2_1024	387
CarAnox_mtb2_1251	497
CarAnox_mtb2_1113	78
CarAnox_mtb2_1099	80
CarAnox_mtb2_921	278
CarAnox_mtb2_103	283
CarAnox_mtb2_952	618090
CarAnox_mtb2_1151	1307
CarAnox_mtb2_1243	172
CarAnox_mtb2_646	123
CarAnox_mtb2_974	134
CarAnox_mtb2_670	295
CarAnox_mtb2_1504	776
CarAnox_mtb2_933	70
CarAnox_mtb2_861	13
CarAnox_mtb2_1037	2090
CarAnox_mtb2_648	133
CarAnox_mtb2_1224	715
CarAnox_mtb2_45	502
CarAnox_mtb2_982	873
CarAnox_mtb2_1588	124
CarAnox_mtb2_422	1462
CarAnox_mtb2_163	47
CarAnox_mtb2_289	958
CarAnox_mtb2_1148	11593
CarAnox_mtb2_1262	1199
CarAnox_mtb2_254	463
CarAnox_mtb2_28	158
CarAnox_mtb2_1301	304
CarAnox_mtb2_1289	79
CarAnox_mtb2_395	1660548
CarAnox_mtb2_1305	49
CarAnox_mtb2_81	170673
CarAnox_mtb2_724	235
CarAnox_mtb2_331	4593
CarAnox_mtb2_758	28
CarAnox_mtb2_1566	1472
CarAnox_mtb2_723	151
CarAnox_mtb2_1469	86
CarAnox_mtb2_1276	8
CarAnox_mtb2_1526	1603
CarAnox_mtb2_529	94
CarAnox_mtb2_1100	532
CarAnox_mtb2_239	70
CarAnox_mtb2_589	104
CarAnox_mtb2_826	977
CarAnox_mtb2_1610	57
CarAnox_mtb2_656	10
CarAnox_mtb2_1540	58135
CarAnox_mtb2_1036	183
CarAnox_mtb2_1014	3611
CarAnox_mtb2_1544	24
CarAnox_mtb2_1584	46
CarAnox_mtb2_1502	5
CarAnox_mtb2_729	313
CarAnox_mtb2_927	94398
CarAnox_mtb2_315	104403
CarAnox_mtb2_102	3216
CarAnox_mtb2_1173	127
CarAnox_mtb2_1215	67
CarAnox_mtb2_245	44
CarAnox_mtb2_1108	10
CarAnox_mtb2_34	89
CarAnox_mtb2_815	405
CarAnox_mtb2_1121	29
CarAnox_mtb2_1583	1084933
CarAnox_mtb2_1636	542
CarAnox_mtb2_1252	39
CarAnox_mtb2_507	12
CarAnox_mtb2_1463	92
CarAnox_mtb2_554	59
CarAnox_mtb2_1365	348
CarAnox_mtb2_564	2125
CarAnox_mtb2_774	143026
CarAnox_mtb2_486	219
CarAnox_mtb2_811	40
