Genome	D3a234A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	631
CarAnox_mtb2_1542	9076
CarAnox_mtb2_1515	18039
CarAnox_mtb2_211	353366
CarAnox_mtb2_485	1424
CarAnox_mtb2_46	48
CarAnox_mtb2_1170	90068
CarAnox_mtb2_293	31883
CarAnox_mtb2_638	302
CarAnox_mtb2_1548	2119
CarAnox_mtb2_1024	57
CarAnox_mtb2_1251	930
CarAnox_mtb2_1113	802
CarAnox_mtb2_1099	844
CarAnox_mtb2_921	10248
CarAnox_mtb2_103	128
CarAnox_mtb2_952	24135
CarAnox_mtb2_1151	12426
CarAnox_mtb2_1243	10
CarAnox_mtb2_646	3289
CarAnox_mtb2_974	21
CarAnox_mtb2_670	3696
CarAnox_mtb2_1504	2211
CarAnox_mtb2_933	1449
CarAnox_mtb2_861	11
CarAnox_mtb2_1037	11068
CarAnox_mtb2_648	1188
CarAnox_mtb2_1224	358
CarAnox_mtb2_45	229
CarAnox_mtb2_982	930
CarAnox_mtb2_1588	80
CarAnox_mtb2_422	131
CarAnox_mtb2_163	212
CarAnox_mtb2_289	1133
CarAnox_mtb2_1148	1851
CarAnox_mtb2_1262	53
CarAnox_mtb2_254	439
CarAnox_mtb2_28	5360
CarAnox_mtb2_1301	12314
CarAnox_mtb2_1289	149
CarAnox_mtb2_395	344595
CarAnox_mtb2_1305	117
CarAnox_mtb2_81	27852
CarAnox_mtb2_724	84
CarAnox_mtb2_331	1151
CarAnox_mtb2_758	143
CarAnox_mtb2_1566	163
CarAnox_mtb2_723	1482
CarAnox_mtb2_1469	115
CarAnox_mtb2_1276	11
CarAnox_mtb2_1526	1183
CarAnox_mtb2_529	2205
CarAnox_mtb2_1100	807
CarAnox_mtb2_239	70
CarAnox_mtb2_589	3543
CarAnox_mtb2_826	925
CarAnox_mtb2_1610	170
CarAnox_mtb2_656	4
CarAnox_mtb2_1540	6426
CarAnox_mtb2_1036	1589
CarAnox_mtb2_1014	1565
CarAnox_mtb2_1544	666
CarAnox_mtb2_1584	296
CarAnox_mtb2_1502	23
CarAnox_mtb2_729	256
CarAnox_mtb2_927	24799
CarAnox_mtb2_315	61736
CarAnox_mtb2_102	419513
CarAnox_mtb2_1173	437
CarAnox_mtb2_1215	2140
CarAnox_mtb2_245	129
CarAnox_mtb2_1108	4
CarAnox_mtb2_34	1912
CarAnox_mtb2_815	170
CarAnox_mtb2_1121	25
CarAnox_mtb2_1583	598616
CarAnox_mtb2_1636	1122
CarAnox_mtb2_1252	598
CarAnox_mtb2_507	6
CarAnox_mtb2_1463	2842
CarAnox_mtb2_554	210
CarAnox_mtb2_1365	803
CarAnox_mtb2_564	141
CarAnox_mtb2_774	14099
CarAnox_mtb2_486	61
CarAnox_mtb2_811	5221
CarAnox_mtb2_661	50
CarAnox_mtb2_1208	13744
CarAnox_mtb2_1369	430253
CarAnox_mtb2_2	65000
CarAnox_mtb2_1188	2371
CarAnox_mtb2_790	636
CarAnox_mtb2_1389	192
CarAnox_mtb2_186	18856
CarAnox_mtb2_268	8429
CarAnox_mtb2_68	54
CarAnox_mtb2_1039	22
CarAnox_mtb2_215	1811
CarAnox_mtb2_782	180690
CarAnox_mtb2_1285	135
CarAnox_mtb2_1408	675
CarAnox_mtb2_122	2641
CarAnox_mtb2_791	19
CarAnox_mtb2_1279	283
CarAnox_mtb2_120	55
CarAnox_mtb2_375	85
CarAnox_mtb2_1071	225
CarAnox_mtb2_1499	111
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	392
CarAnox_mtb2_620	2890
CarAnox_mtb2_48	31
CarAnox_mtb2_435	1167
CarAnox_mtb2_1454	364402
CarAnox_mtb2_190	1269
CarAnox_mtb2_890	266
CarAnox_mtb2_304	12
CarAnox_mtb2_1607	376
CarAnox_mtb2_16	22687
