Genome	D3a900BM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1092	20541640
CarAnox_mtb2_347	45
CarAnox_mtb2_914	1124
CarAnox_mtb2_1089	6727
CarAnox_mtb2_945	863
CarAnox_mtb2_697	212
CarAnox_mtb2_658	317
CarAnox_mtb2_403	7794
CarAnox_mtb2_3	64515
CarAnox_mtb2_598	6112
CarAnox_mtb2_495	5630
CarAnox_mtb2_220	93278
CarAnox_mtb2_224	1551
CarAnox_mtb2_1628	128972
CarAnox_mtb2_262	161
CarAnox_mtb2_117	33401
CarAnox_mtb2_810	37035
CarAnox_mtb2_685	10
CarAnox_mtb2_1056	288
CarAnox_mtb2_1647	4267
CarAnox_mtb2_22	205
CarAnox_mtb2_291	20
CarAnox_mtb2_690	15
CarAnox_mtb2_538	5
CarAnox_mtb2_623	4652
CarAnox_mtb2_207	21
CarAnox_mtb2_771	30893
CarAnox_mtb2_539	611
CarAnox_mtb2_1421	19497
CarAnox_mtb2_777	170
CarAnox_mtb2_27	45
CarAnox_mtb2_316	127205
CarAnox_mtb2_114	9042
CarAnox_mtb2_1098	156
CarAnox_mtb2_1316	2071
CarAnox_mtb2_1367	1541
CarAnox_mtb2_662	266
CarAnox_mtb2_547	8176
CarAnox_mtb2_24	34080
CarAnox_mtb2_611	521190
CarAnox_mtb2_1524	19096
CarAnox_mtb2_63	226165
CarAnox_mtb2_1627	144328
CarAnox_mtb2_1437	7
CarAnox_mtb2_657	46
CarAnox_mtb2_1075	901
CarAnox_mtb2_573	10299
CarAnox_mtb2_613	1242
CarAnox_mtb2_651	554
CarAnox_mtb2_183	160597
CarAnox_mtb2_772	50
CarAnox_mtb2_314	44
CarAnox_mtb2_1242	233
CarAnox_mtb2_386	10983
CarAnox_mtb2_503	662
CarAnox_mtb2_1219	23224
CarAnox_mtb2_1576	20
CarAnox_mtb2_1299	3248
CarAnox_mtb2_242	37
CarAnox_mtb2_754	26082
CarAnox_mtb2_236	3743
CarAnox_mtb2_470	27862
CarAnox_mtb2_1286	1644
CarAnox_mtb2_753	118
CarAnox_mtb2_604	82
CarAnox_mtb2_51	203891
CarAnox_mtb2_335	42
CarAnox_mtb2_548	114
CarAnox_mtb2_652	5146589
CarAnox_mtb2_757	178
CarAnox_mtb2_712	53821
CarAnox_mtb2_1130	2967
CarAnox_mtb2_1359	966
CarAnox_mtb2_916	155
CarAnox_mtb2_1050	1434
CarAnox_mtb2_1155	429
CarAnox_mtb2_317	3160
CarAnox_mtb2_544	8236
CarAnox_mtb2_1527	827
CarAnox_mtb2_1400	540350
CarAnox_mtb2_1179	34842
CarAnox_mtb2_1083	2288
CarAnox_mtb2_78	725
CarAnox_mtb2_20	444
CarAnox_mtb2_379	8661
CarAnox_mtb2_955	12423
CarAnox_mtb2_490	6
CarAnox_mtb2_841	5472
CarAnox_mtb2_1250	221
CarAnox_mtb2_893	140
CarAnox_mtb2_601	2229
CarAnox_mtb2_552	22785
CarAnox_mtb2_832	11049
CarAnox_mtb2_880	35455
CarAnox_mtb2_1521	146
CarAnox_mtb2_94	20
CarAnox_mtb2_226	13477
CarAnox_mtb2_1117	224
CarAnox_mtb2_1388	297
CarAnox_mtb2_561	1240
CarAnox_mtb2_453	101
CarAnox_mtb2_1478	98401
CarAnox_mtb2_21	128
CarAnox_mtb2_803	2408
CarAnox_mtb2_775	444567
CarAnox_mtb2_606	11563
CarAnox_mtb2_1681	609
CarAnox_mtb2_748	9921
CarAnox_mtb2_38	6924
CarAnox_mtb2_180	27
