Genome	D3a103B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	275
CarAnox_mtb2_1542	61
CarAnox_mtb2_1515	25
CarAnox_mtb2_211	16454
CarAnox_mtb2_485	56
CarAnox_mtb2_46	13
CarAnox_mtb2_1170	11013
CarAnox_mtb2_293	225539
CarAnox_mtb2_638	27
CarAnox_mtb2_1548	2575
CarAnox_mtb2_1024	43
CarAnox_mtb2_1251	23
CarAnox_mtb2_1113	11
CarAnox_mtb2_1099	62
CarAnox_mtb2_921	489
CarAnox_mtb2_103	17
CarAnox_mtb2_952	51494
CarAnox_mtb2_1151	143
CarAnox_mtb2_1243	4
CarAnox_mtb2_646	17
CarAnox_mtb2_974	16
CarAnox_mtb2_670	75
CarAnox_mtb2_1504	73
CarAnox_mtb2_933	5
CarAnox_mtb2_861	4
CarAnox_mtb2_1037	1393
CarAnox_mtb2_648	37
CarAnox_mtb2_1224	21
CarAnox_mtb2_45	23
CarAnox_mtb2_982	62
CarAnox_mtb2_1588	10
CarAnox_mtb2_422	67
CarAnox_mtb2_163	4
CarAnox_mtb2_289	135
CarAnox_mtb2_1148	156
CarAnox_mtb2_1262	10
CarAnox_mtb2_254	423
CarAnox_mtb2_28	66
CarAnox_mtb2_1301	235
CarAnox_mtb2_1289	15
CarAnox_mtb2_395	74774
CarAnox_mtb2_1305	12
CarAnox_mtb2_81	2349
CarAnox_mtb2_724	39
CarAnox_mtb2_331	1854
CarAnox_mtb2_758	8
CarAnox_mtb2_1566	27
CarAnox_mtb2_723	73
CarAnox_mtb2_1469	31
CarAnox_mtb2_1276	8
CarAnox_mtb2_1526	85
CarAnox_mtb2_529	28
CarAnox_mtb2_1100	6
CarAnox_mtb2_239	4
CarAnox_mtb2_589	61
CarAnox_mtb2_826	103
CarAnox_mtb2_1610	9
CarAnox_mtb2_656	8
CarAnox_mtb2_1540	405
CarAnox_mtb2_1036	76
CarAnox_mtb2_1014	10
CarAnox_mtb2_1544	23
CarAnox_mtb2_1584	12
CarAnox_mtb2_1502	1
CarAnox_mtb2_729	38
CarAnox_mtb2_927	24469
CarAnox_mtb2_315	446
CarAnox_mtb2_102	101
CarAnox_mtb2_1173	259
CarAnox_mtb2_1215	67
CarAnox_mtb2_245	8
CarAnox_mtb2_1108	11
CarAnox_mtb2_34	52
CarAnox_mtb2_815	39
CarAnox_mtb2_1121	40
CarAnox_mtb2_1583	507838
CarAnox_mtb2_1636	63
CarAnox_mtb2_1252	6
CarAnox_mtb2_507	3
CarAnox_mtb2_1463	44
CarAnox_mtb2_554	30
CarAnox_mtb2_1365	72
CarAnox_mtb2_564	2883
CarAnox_mtb2_774	327
CarAnox_mtb2_486	11
CarAnox_mtb2_811	48
CarAnox_mtb2_661	5
CarAnox_mtb2_1208	299
CarAnox_mtb2_1369	330126
CarAnox_mtb2_2	1055539
CarAnox_mtb2_1188	454
CarAnox_mtb2_790	122
CarAnox_mtb2_1389	10
CarAnox_mtb2_186	140
CarAnox_mtb2_268	118
CarAnox_mtb2_68	41
CarAnox_mtb2_1039	4
CarAnox_mtb2_215	216
CarAnox_mtb2_782	5768
CarAnox_mtb2_1285	18
CarAnox_mtb2_1408	22
CarAnox_mtb2_122	95
CarAnox_mtb2_791	7
CarAnox_mtb2_1279	14
CarAnox_mtb2_120	13
CarAnox_mtb2_375	13
CarAnox_mtb2_1071	11
CarAnox_mtb2_1499	19
CarAnox_mtb2_1178	5
CarAnox_mtb2_171	19
CarAnox_mtb2_620	32018
CarAnox_mtb2_48	9
CarAnox_mtb2_435	2
CarAnox_mtb2_1454	134
CarAnox_mtb2_190	69
CarAnox_mtb2_890	27
CarAnox_mtb2_304	7
CarAnox_mtb2_1607	42
CarAnox_mtb2_16	470384
CarAnox_mtb2_912	43
CarAnox_mtb2_1016	9
CarAnox_mtb2_265	128
CarAnox_mtb2_857	34
CarAnox_mtb2_755	17
