Genome	D3a234B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	919
CarAnox_mtb2_1542	300
CarAnox_mtb2_1515	244
CarAnox_mtb2_211	1388442
CarAnox_mtb2_485	98
CarAnox_mtb2_46	1286
CarAnox_mtb2_1170	1396576
CarAnox_mtb2_293	737628
CarAnox_mtb2_638	47
CarAnox_mtb2_1548	7496
CarAnox_mtb2_1024	322
CarAnox_mtb2_1251	298
CarAnox_mtb2_1113	27
CarAnox_mtb2_1099	45
CarAnox_mtb2_921	321
CarAnox_mtb2_103	259
CarAnox_mtb2_952	323269
CarAnox_mtb2_1151	1035
CarAnox_mtb2_1243	131
CarAnox_mtb2_646	581
CarAnox_mtb2_974	118
CarAnox_mtb2_670	162
CarAnox_mtb2_1504	912
CarAnox_mtb2_933	61
CarAnox_mtb2_861	16
CarAnox_mtb2_1037	4184
CarAnox_mtb2_648	101
CarAnox_mtb2_1224	519
CarAnox_mtb2_45	624
CarAnox_mtb2_982	55
CarAnox_mtb2_1588	43
CarAnox_mtb2_422	1501
CarAnox_mtb2_163	49
CarAnox_mtb2_289	1178
CarAnox_mtb2_1148	23202
CarAnox_mtb2_1262	1319
CarAnox_mtb2_254	330
CarAnox_mtb2_28	217
CarAnox_mtb2_1301	261
CarAnox_mtb2_1289	74
CarAnox_mtb2_395	1526309
CarAnox_mtb2_1305	15
CarAnox_mtb2_81	96393
CarAnox_mtb2_724	47
CarAnox_mtb2_331	4496
CarAnox_mtb2_758	13
CarAnox_mtb2_1566	1425
CarAnox_mtb2_723	217
CarAnox_mtb2_1469	59
CarAnox_mtb2_1276	6
CarAnox_mtb2_1526	1201
CarAnox_mtb2_529	81
CarAnox_mtb2_1100	442
CarAnox_mtb2_239	18
CarAnox_mtb2_589	89
CarAnox_mtb2_826	156
CarAnox_mtb2_1610	98
CarAnox_mtb2_656	5
CarAnox_mtb2_1540	106802
CarAnox_mtb2_1036	327
CarAnox_mtb2_1014	3353
CarAnox_mtb2_1544	15
CarAnox_mtb2_1584	3
CarAnox_mtb2_1502	3
CarAnox_mtb2_729	286
CarAnox_mtb2_927	218777
CarAnox_mtb2_315	58001
CarAnox_mtb2_102	4999
CarAnox_mtb2_1173	249
CarAnox_mtb2_1215	73
CarAnox_mtb2_245	20
CarAnox_mtb2_1108	17
CarAnox_mtb2_34	60
CarAnox_mtb2_815	383
CarAnox_mtb2_1121	11
CarAnox_mtb2_1583	1067383
CarAnox_mtb2_1636	404
CarAnox_mtb2_1252	36
CarAnox_mtb2_507	20
