Genome	D2a900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_419	513
CarAnox_mtb2_629	40735
CarAnox_mtb2_1512	504
CarAnox_mtb2_1092	1269699
CarAnox_mtb2_347	76
CarAnox_mtb2_914	3085
CarAnox_mtb2_1089	53115
CarAnox_mtb2_945	1444
CarAnox_mtb2_697	70445
CarAnox_mtb2_658	29294
CarAnox_mtb2_403	486559
CarAnox_mtb2_3	327190
CarAnox_mtb2_598	57815
CarAnox_mtb2_495	3801
CarAnox_mtb2_220	122536
CarAnox_mtb2_224	119
CarAnox_mtb2_1628	10575
CarAnox_mtb2_262	103507
CarAnox_mtb2_117	28682
CarAnox_mtb2_810	2357
CarAnox_mtb2_685	32
CarAnox_mtb2_1056	150907
CarAnox_mtb2_1647	20846
CarAnox_mtb2_22	187
CarAnox_mtb2_291	22
CarAnox_mtb2_690	28
CarAnox_mtb2_538	27
CarAnox_mtb2_623	60386
CarAnox_mtb2_207	9739
CarAnox_mtb2_771	1963
CarAnox_mtb2_539	211108
CarAnox_mtb2_1421	63430
CarAnox_mtb2_777	2929
CarAnox_mtb2_27	77
CarAnox_mtb2_316	5237
CarAnox_mtb2_114	13546
CarAnox_mtb2_1098	270
CarAnox_mtb2_1316	3747
CarAnox_mtb2_1367	179
CarAnox_mtb2_662	124
CarAnox_mtb2_547	454995
CarAnox_mtb2_24	362354
CarAnox_mtb2_611	204367
CarAnox_mtb2_1524	8736
CarAnox_mtb2_63	12394
CarAnox_mtb2_1627	316309
CarAnox_mtb2_1437	6
CarAnox_mtb2_657	164533
CarAnox_mtb2_1075	95587
CarAnox_mtb2_573	31134
CarAnox_mtb2_613	349685
CarAnox_mtb2_651	61095
CarAnox_mtb2_183	6856
CarAnox_mtb2_772	83
CarAnox_mtb2_314	86
CarAnox_mtb2_1242	19563
CarAnox_mtb2_386	11570
CarAnox_mtb2_503	164571
CarAnox_mtb2_1219	367355
CarAnox_mtb2_1576	305966
CarAnox_mtb2_1299	7587
CarAnox_mtb2_242	196
CarAnox_mtb2_754	178134
CarAnox_mtb2_236	215329
CarAnox_mtb2_470	23913
CarAnox_mtb2_1286	1155
CarAnox_mtb2_753	67
CarAnox_mtb2_604	1370
CarAnox_mtb2_51	313936
CarAnox_mtb2_335	68
CarAnox_mtb2_548	23471
CarAnox_mtb2_652	1971023
CarAnox_mtb2_757	336
CarAnox_mtb2_712	183904
CarAnox_mtb2_1130	26483
CarAnox_mtb2_1359	3542
CarAnox_mtb2_916	285
CarAnox_mtb2_1050	104233
CarAnox_mtb2_1155	187326
CarAnox_mtb2_317	11297
CarAnox_mtb2_544	1798
CarAnox_mtb2_1527	3135
CarAnox_mtb2_1400	50595
CarAnox_mtb2_1179	131585
CarAnox_mtb2_1083	13985
CarAnox_mtb2_78	4053
CarAnox_mtb2_20	9543
CarAnox_mtb2_379	13656
CarAnox_mtb2_955	50784
CarAnox_mtb2_490	8
CarAnox_mtb2_841	3398
CarAnox_mtb2_1250	702
CarAnox_mtb2_893	32586
CarAnox_mtb2_601	9457
CarAnox_mtb2_552	110965
CarAnox_mtb2_832	37010
CarAnox_mtb2_880	42092
CarAnox_mtb2_1521	1090788
CarAnox_mtb2_94	205
CarAnox_mtb2_226	2584
CarAnox_mtb2_1117	85
CarAnox_mtb2_1388	161067
CarAnox_mtb2_561	3333
CarAnox_mtb2_453	119060
CarAnox_mtb2_1478	3353
CarAnox_mtb2_21	160
CarAnox_mtb2_803	15041
CarAnox_mtb2_775	134287
CarAnox_mtb2_606	38605
CarAnox_mtb2_1681	635
CarAnox_mtb2_748	7417
CarAnox_mtb2_38	24521
CarAnox_mtb2_180	1258
CarAnox_mtb2_925	119291
CarAnox_mtb2_420	39630
CarAnox_mtb2_1549	90332
CarAnox_mtb2_1684	405712
CarAnox_mtb2_591	144765
CarAnox_mtb2_1079	79242
CarAnox_mtb2_983	449711
CarAnox_mtb2_1171	84273
CarAnox_mtb2_62	14055
CarAnox_mtb2_885	102
CarAnox_mtb2_563	426823
CarAnox_mtb2_1508	55495
CarAnox_mtb2_1007	3135
CarAnox_mtb2_1413	12941
CarAnox_mtb2_923	559
CarAnox_mtb2_1033	227960
CarAnox_mtb2_628	62
CarAnox_mtb2_214	18024
CarAnox_mtb2_1432	78681
CarAnox_mtb2_32	13682
CarAnox_mtb2_742	11950
CarAnox_mtb2_864	326
CarAnox_mtb2_1554	52338
CarAnox_mtb2_1372	70023
CarAnox_mtb2_330	14358
CarAnox_mtb2_1371	53561
CarAnox_mtb2_1605	13437
CarAnox_mtb2_718	9344
CarAnox_mtb2_751	84242
CarAnox_mtb2_1593	659725
CarAnox_mtb2_13	170
CarAnox_mtb2_1414	43295
CarAnox_mtb2_979	861
CarAnox_mtb2_688	303
CarAnox_mtb2_86	13303
CarAnox_mtb2_198	344
CarAnox_mtb2_522	184948
CarAnox_mtb2_504	194141
CarAnox_mtb2_732	61804
CarAnox_mtb2_975	66652
CarAnox_mtb2_692	141825
CarAnox_mtb2_895	171374
CarAnox_mtb2_1322	555
CarAnox_mtb2_1003	30549
CarAnox_mtb2_1433	664759
CarAnox_mtb2_854	21321
CarAnox_mtb2_1067	6958
CarAnox_mtb2_1254	5633
CarAnox_mtb2_109	329
CarAnox_mtb2_1131	8547
CarAnox_mtb2_956	4278
CarAnox_mtb2_1507	1134813
CarAnox_mtb2_862	161912
CarAnox_mtb2_907	38746
CarAnox_mtb2_1569	45
CarAnox_mtb2_1015	56387
CarAnox_mtb2_1428	6457
CarAnox_mtb2_1226	12643
CarAnox_mtb2_481	330863
CarAnox_mtb2_151	208908
CarAnox_mtb2_334	532326
CarAnox_mtb2_1465	44
CarAnox_mtb2_937	257768
CarAnox_mtb2_76	804
CarAnox_mtb2_524	622
CarAnox_mtb2_1334	23
CarAnox_mtb2_1183	10514
CarAnox_mtb2_459	8424
CarAnox_mtb2_743	1259
CarAnox_mtb2_1429	670
CarAnox_mtb2_14	851521
CarAnox_mtb2_1320	2390
CarAnox_mtb2_336	204581
CarAnox_mtb2_1562	20771
CarAnox_mtb2_213	4688
