Genome	D3b234A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	327
CarAnox_mtb2_1542	10053
CarAnox_mtb2_1515	4350
CarAnox_mtb2_211	170791
CarAnox_mtb2_485	1163
CarAnox_mtb2_46	29
CarAnox_mtb2_1170	63335
CarAnox_mtb2_293	13677
CarAnox_mtb2_638	504
CarAnox_mtb2_1548	1189
CarAnox_mtb2_1024	181
CarAnox_mtb2_1251	858
CarAnox_mtb2_1113	3099
CarAnox_mtb2_1099	602
CarAnox_mtb2_921	7618
CarAnox_mtb2_103	122
CarAnox_mtb2_952	6631
CarAnox_mtb2_1151	10247
CarAnox_mtb2_1243	24
CarAnox_mtb2_646	1472
CarAnox_mtb2_974	45
CarAnox_mtb2_670	6916
CarAnox_mtb2_1504	1496
CarAnox_mtb2_933	2564
CarAnox_mtb2_861	31
CarAnox_mtb2_1037	5862
CarAnox_mtb2_648	690
CarAnox_mtb2_1224	525
CarAnox_mtb2_45	204
CarAnox_mtb2_982	2282
CarAnox_mtb2_1588	76
CarAnox_mtb2_422	68
CarAnox_mtb2_163	215
CarAnox_mtb2_289	507
CarAnox_mtb2_1148	646
CarAnox_mtb2_1262	38
CarAnox_mtb2_254	321
CarAnox_mtb2_28	2246
CarAnox_mtb2_1301	6693
CarAnox_mtb2_1289	131
CarAnox_mtb2_395	162034
CarAnox_mtb2_1305	151
CarAnox_mtb2_81	26946
CarAnox_mtb2_724	367
CarAnox_mtb2_331	901
CarAnox_mtb2_758	140
CarAnox_mtb2_1566	95
CarAnox_mtb2_723	919
CarAnox_mtb2_1469	167
CarAnox_mtb2_1276	32
CarAnox_mtb2_1526	751
CarAnox_mtb2_529	2982
CarAnox_mtb2_1100	459
CarAnox_mtb2_239	123
CarAnox_mtb2_589	2105
CarAnox_mtb2_826	1452
CarAnox_mtb2_1610	163
CarAnox_mtb2_656	9
CarAnox_mtb2_1540	1123
CarAnox_mtb2_1036	775
CarAnox_mtb2_1014	3549
CarAnox_mtb2_1544	967
CarAnox_mtb2_1584	600
CarAnox_mtb2_1502	18
CarAnox_mtb2_729	256
CarAnox_mtb2_927	13023
CarAnox_mtb2_315	15992
CarAnox_mtb2_102	311012
CarAnox_mtb2_1173	176
CarAnox_mtb2_1215	1552
CarAnox_mtb2_245	390
CarAnox_mtb2_1108	11
CarAnox_mtb2_34	1729
CarAnox_mtb2_815	220
CarAnox_mtb2_1121	16
CarAnox_mtb2_1583	208448
CarAnox_mtb2_1636	308
CarAnox_mtb2_1252	554
CarAnox_mtb2_507	17
CarAnox_mtb2_1463	1293
CarAnox_mtb2_554	157
CarAnox_mtb2_1365	991
CarAnox_mtb2_564	232
CarAnox_mtb2_774	8366
CarAnox_mtb2_486	36
CarAnox_mtb2_811	3859
CarAnox_mtb2_661	209
CarAnox_mtb2_1208	4887
CarAnox_mtb2_1369	158493
CarAnox_mtb2_2	24197
CarAnox_mtb2_1188	1669
CarAnox_mtb2_790	367
CarAnox_mtb2_1389	135
CarAnox_mtb2_186	18949
CarAnox_mtb2_268	4126
CarAnox_mtb2_68	25
CarAnox_mtb2_1039	122
CarAnox_mtb2_215	1060
CarAnox_mtb2_782	45240
CarAnox_mtb2_1285	67
CarAnox_mtb2_1408	1019
CarAnox_mtb2_122	609
CarAnox_mtb2_791	28
CarAnox_mtb2_1279	58
CarAnox_mtb2_120	74
CarAnox_mtb2_375	130
CarAnox_mtb2_1071	353
CarAnox_mtb2_1499	270
CarAnox_mtb2_1178	13
CarAnox_mtb2_171	221
CarAnox_mtb2_620	2913
CarAnox_mtb2_48	171
CarAnox_mtb2_435	739
CarAnox_mtb2_1454	265143
CarAnox_mtb2_190	530
CarAnox_mtb2_890	360
CarAnox_mtb2_304	29
CarAnox_mtb2_1607	297
CarAnox_mtb2_16	22350
CarAnox_mtb2_912	663
CarAnox_mtb2_1016	2247
CarAnox_mtb2_265	11644
CarAnox_mtb2_857	163
CarAnox_mtb2_755	156
CarAnox_mtb2_1167	56
CarAnox_mtb2_341	70
CarAnox_mtb2_1374	29
CarAnox_mtb2_867	88
CarAnox_mtb2_18	48
CarAnox_mtb2_101	445
CarAnox_mtb2_583	88
CarAnox_mtb2_530	94
CarAnox_mtb2_1194	888
CarAnox_mtb2_560	1792
CarAnox_mtb2_737	107
CarAnox_mtb2_302	16
CarAnox_mtb2_1630	605
CarAnox_mtb2_1535	211
CarAnox_mtb2_181	726
CarAnox_mtb2_691	528
CarAnox_mtb2_669	568
CarAnox_mtb2_1441	4138
CarAnox_mtb2_721	1647
CarAnox_mtb2_1655	93
CarAnox_mtb2_430	12
CarAnox_mtb2_567	85
CarAnox_mtb2_931	4018
CarAnox_mtb2_1288	771
CarAnox_mtb2_1201	103
CarAnox_mtb2_1010	2226
CarAnox_mtb2_1618	1186
CarAnox_mtb2_970	34
CarAnox_mtb2_1431	435
CarAnox_mtb2_671	4313
CarAnox_mtb2_1601	163
CarAnox_mtb2_663	1375
CarAnox_mtb2_1123	62
CarAnox_mtb2_972	383
CarAnox_mtb2_352	5400
CarAnox_mtb2_722	159
CarAnox_mtb2_329	373
CarAnox_mtb2_1638	136
CarAnox_mtb2_599	421
CarAnox_mtb2_872	38
CarAnox_mtb2_1531	21255
CarAnox_mtb2_779	29
CarAnox_mtb2_672	125803
CarAnox_mtb2_1249	4577
CarAnox_mtb2_631	441
CarAnox_mtb2_756	5071
CarAnox_mtb2_1366	1014
CarAnox_mtb2_115	1715
CarAnox_mtb2_193	609
CarAnox_mtb2_846	162
CarAnox_mtb2_189	668
CarAnox_mtb2_1190	6633
CarAnox_mtb2_957	10788
CarAnox_mtb2_1506	352
CarAnox_mtb2_1606	249
CarAnox_mtb2_1350	103
CarAnox_mtb2_196	169
CarAnox_mtb2_610	39
CarAnox_mtb2_1384	3865
CarAnox_mtb2_1543	893
CarAnox_mtb2_1116	16543
CarAnox_mtb2_879	1459
CarAnox_mtb2_15	46
CarAnox_mtb2_1271	92
CarAnox_mtb2_1239	158322
CarAnox_mtb2_770	302
CarAnox_mtb2_1534	830
CarAnox_mtb2_586	19
CarAnox_mtb2_545	71478
CarAnox_mtb2_650	683
CarAnox_mtb2_112	1203
CarAnox_mtb2_1363	575
CarAnox_mtb2_419	36
CarAnox_mtb2_629	272
CarAnox_mtb2_1512	214
CarAnox_mtb2_1092	7624
CarAnox_mtb2_347	594
CarAnox_mtb2_914	47
CarAnox_mtb2_1089	197
CarAnox_mtb2_945	11045
CarAnox_mtb2_697	252
CarAnox_mtb2_658	146
CarAnox_mtb2_403	4752
CarAnox_mtb2_3	1165
CarAnox_mtb2_598	679
CarAnox_mtb2_495	19
CarAnox_mtb2_220	312
CarAnox_mtb2_224	4283
CarAnox_mtb2_1628	424
CarAnox_mtb2_262	3862
CarAnox_mtb2_117	121
CarAnox_mtb2_810	8685
CarAnox_mtb2_685	121
CarAnox_mtb2_1056	1402
CarAnox_mtb2_1647	325
CarAnox_mtb2_22	15259
CarAnox_mtb2_291	1049
CarAnox_mtb2_690	1169
CarAnox_mtb2_538	72
CarAnox_mtb2_623	205
CarAnox_mtb2_207	204
CarAnox_mtb2_771	84911
CarAnox_mtb2_539	4737
CarAnox_mtb2_1421	85
CarAnox_mtb2_777	138
CarAnox_mtb2_27	5024
CarAnox_mtb2_316	27
CarAnox_mtb2_114	192
CarAnox_mtb2_1098	190
CarAnox_mtb2_1316	684163
CarAnox_mtb2_1367	87
CarAnox_mtb2_662	156
CarAnox_mtb2_547	1339
CarAnox_mtb2_24	6550
CarAnox_mtb2_611	401
CarAnox_mtb2_1524	1095
CarAnox_mtb2_63	49
CarAnox_mtb2_1627	1005
CarAnox_mtb2_1437	22
CarAnox_mtb2_657	2946
CarAnox_mtb2_1075	474
CarAnox_mtb2_573	113
CarAnox_mtb2_613	1659
CarAnox_mtb2_651	2110
CarAnox_mtb2_183	24
CarAnox_mtb2_772	1636
CarAnox_mtb2_314	124
CarAnox_mtb2_1242	2858
CarAnox_mtb2_386	202
CarAnox_mtb2_503	1179
CarAnox_mtb2_1219	2610
CarAnox_mtb2_1576	100
CarAnox_mtb2_1299	590
CarAnox_mtb2_242	1076
CarAnox_mtb2_754	309
CarAnox_mtb2_236	1592
CarAnox_mtb2_470	68
CarAnox_mtb2_1286	3718
CarAnox_mtb2_753	360
CarAnox_mtb2_604	9950
CarAnox_mtb2_51	818
CarAnox_mtb2_335	1330
CarAnox_mtb2_548	524
CarAnox_mtb2_652	4684
CarAnox_mtb2_757	105
CarAnox_mtb2_712	1318
CarAnox_mtb2_1130	157
CarAnox_mtb2_1359	211
CarAnox_mtb2_916	3275
CarAnox_mtb2_1050	181
CarAnox_mtb2_1155	1660
CarAnox_mtb2_317	166
CarAnox_mtb2_544	26430
CarAnox_mtb2_1527	39
CarAnox_mtb2_1400	77
CarAnox_mtb2_1179	567
CarAnox_mtb2_1083	21
CarAnox_mtb2_78	270
CarAnox_mtb2_20	221
CarAnox_mtb2_379	8454
CarAnox_mtb2_955	73
CarAnox_mtb2_490	34
CarAnox_mtb2_841	764
CarAnox_mtb2_1250	878
CarAnox_mtb2_893	720
CarAnox_mtb2_601	60
CarAnox_mtb2_552	535
CarAnox_mtb2_832	954
CarAnox_mtb2_880	167
CarAnox_mtb2_1521	7917
CarAnox_mtb2_94	564
CarAnox_mtb2_226	66
CarAnox_mtb2_1117	5163
CarAnox_mtb2_1388	425
CarAnox_mtb2_561	18
CarAnox_mtb2_453	3666
CarAnox_mtb2_1478	17
CarAnox_mtb2_21	1578
CarAnox_mtb2_803	41781
CarAnox_mtb2_775	231
CarAnox_mtb2_606	165
CarAnox_mtb2_1681	73767
CarAnox_mtb2_748	26
CarAnox_mtb2_38	110
CarAnox_mtb2_180	832
CarAnox_mtb2_925	3371
CarAnox_mtb2_420	54
CarAnox_mtb2_1549	8801
CarAnox_mtb2_1684	1052
CarAnox_mtb2_591	365
CarAnox_mtb2_1079	1047
CarAnox_mtb2_983	10476
CarAnox_mtb2_1171	321
CarAnox_mtb2_62	292
CarAnox_mtb2_885	109
CarAnox_mtb2_563	5503
CarAnox_mtb2_1508	607
CarAnox_mtb2_1007	126
CarAnox_mtb2_1413	86
CarAnox_mtb2_923	22
CarAnox_mtb2_1033	67175
CarAnox_mtb2_628	251
CarAnox_mtb2_214	114
CarAnox_mtb2_1432	1873
CarAnox_mtb2_32	64
CarAnox_mtb2_742	78
CarAnox_mtb2_864	162
CarAnox_mtb2_1554	457
CarAnox_mtb2_1372	818
CarAnox_mtb2_330	25
CarAnox_mtb2_1371	200
CarAnox_mtb2_1605	18525
CarAnox_mtb2_718	35
CarAnox_mtb2_751	4004
CarAnox_mtb2_1593	4005
CarAnox_mtb2_13	1870
CarAnox_mtb2_1414	561
CarAnox_mtb2_979	198
CarAnox_mtb2_688	1175
CarAnox_mtb2_86	102
CarAnox_mtb2_198	4698
CarAnox_mtb2_522	1271
CarAnox_mtb2_504	153
CarAnox_mtb2_732	5780
CarAnox_mtb2_975	488
CarAnox_mtb2_692	307
CarAnox_mtb2_895	848
CarAnox_mtb2_1322	95
CarAnox_mtb2_1003	3258
CarAnox_mtb2_1433	614
CarAnox_mtb2_854	123
CarAnox_mtb2_1067	46
CarAnox_mtb2_1254	810
CarAnox_mtb2_109	15656
CarAnox_mtb2_1131	77
CarAnox_mtb2_956	8
CarAnox_mtb2_1507	1328
CarAnox_mtb2_862	2502
CarAnox_mtb2_907	163
CarAnox_mtb2_1569	275
CarAnox_mtb2_1015	339
CarAnox_mtb2_1428	624
CarAnox_mtb2_1226	650
CarAnox_mtb2_481	1169
CarAnox_mtb2_151	6893
CarAnox_mtb2_334	1003
CarAnox_mtb2_1465	24
CarAnox_mtb2_937	2843
CarAnox_mtb2_76	134
CarAnox_mtb2_524	2634
CarAnox_mtb2_1334	1414
CarAnox_mtb2_1183	2036
CarAnox_mtb2_459	33
CarAnox_mtb2_743	198029
CarAnox_mtb2_1429	38075
CarAnox_mtb2_14	536
CarAnox_mtb2_1320	3565
CarAnox_mtb2_336	471
CarAnox_mtb2_1562	638
CarAnox_mtb2_213	38681
CarAnox_mtb2_83	713
CarAnox_mtb2_164	425
CarAnox_mtb2_313	774
CarAnox_mtb2_400	265
CarAnox_mtb2_421	133
CarAnox_mtb2_1600	54
CarAnox_mtb2_888	6645
CarAnox_mtb2_1536	3449
CarAnox_mtb2_1101	25
CarAnox_mtb2_707	379
CarAnox_mtb2_153	4164
CarAnox_mtb2_786	5367
CarAnox_mtb2_206	4870
CarAnox_mtb2_557	13
CarAnox_mtb2_349	936
CarAnox_mtb2_1053	4695
CarAnox_mtb2_301	364
CarAnox_mtb2_809	31
CarAnox_mtb2_1556	2956
CarAnox_mtb2_128	132
CarAnox_mtb2_1446	54
CarAnox_mtb2_1552	192
CarAnox_mtb2_1559	209
CarAnox_mtb2_1679	36536
CarAnox_mtb2_1425	172
CarAnox_mtb2_516	26
CarAnox_mtb2_941	410
CarAnox_mtb2_828	1436
CarAnox_mtb2_739	197
CarAnox_mtb2_1274	76
CarAnox_mtb2_30	255
CarAnox_mtb2_750	52
CarAnox_mtb2_608	208
CarAnox_mtb2_572	374
CarAnox_mtb2_1146	408
CarAnox_mtb2_1398	1326
CarAnox_mtb2_596	1313
CarAnox_mtb2_243	3412
CarAnox_mtb2_1149	2261
CarAnox_mtb2_361	43
CarAnox_mtb2_938	1522
CarAnox_mtb2_908	554
CarAnox_mtb2_121	197
CarAnox_mtb2_713	168104
CarAnox_mtb2_1080	67
CarAnox_mtb2_781	2567
CarAnox_mtb2_798	6741
CarAnox_mtb2_1422	565
CarAnox_mtb2_996	15547
CarAnox_mtb2_535	766
CarAnox_mtb2_1253	163
CarAnox_mtb2_715	1299
CarAnox_mtb2_621	1332
CarAnox_mtb2_1042	685
CarAnox_mtb2_614	38
CarAnox_mtb2_1447	5567
CarAnox_mtb2_116	132
CarAnox_mtb2_244	2640
CarAnox_mtb2_704	1248
CarAnox_mtb2_492	4114
CarAnox_mtb2_1352	430
CarAnox_mtb2_768	66
CarAnox_mtb2_853	61
CarAnox_mtb2_31	313
CarAnox_mtb2_464	3462
CarAnox_mtb2_942	130
CarAnox_mtb2_1019	350
CarAnox_mtb2_1375	7357
CarAnox_mtb2_310	53
CarAnox_mtb2_1268	956
CarAnox_mtb2_636	229
CarAnox_mtb2_512	42
CarAnox_mtb2_595	230
CarAnox_mtb2_1284	200
CarAnox_mtb2_59	92926
CarAnox_mtb2_1105	20
CarAnox_mtb2_719	311
CarAnox_mtb2_1356	2179
CarAnox_mtb2_1570	284
CarAnox_mtb2_1503	65
CarAnox_mtb2_1244	308
CarAnox_mtb2_1109	544
CarAnox_mtb2_216	1757
CarAnox_mtb2_660	26
CarAnox_mtb2_820	976
CarAnox_mtb2_762	13
CarAnox_mtb2_1264	463
CarAnox_mtb2_997	171
CarAnox_mtb2_42	2716
CarAnox_mtb2_1263	584
CarAnox_mtb2_292	8707
CarAnox_mtb2_1649	31
CarAnox_mtb2_1604	147
CarAnox_mtb2_1464	56
CarAnox_mtb2_1392	1122
CarAnox_mtb2_1225	35732
CarAnox_mtb2_479	36
CarAnox_mtb2_740	52
CarAnox_mtb2_1220	9118
CarAnox_mtb2_616	768
CarAnox_mtb2_1419	360
CarAnox_mtb2_423	188
CarAnox_mtb2_358	91
CarAnox_mtb2_343	960
CarAnox_mtb2_920	544
CarAnox_mtb2_463	54
CarAnox_mtb2_1423	171
CarAnox_mtb2_633	2513
CarAnox_mtb2_868	23
CarAnox_mtb2_1650	4103
CarAnox_mtb2_1415	39
CarAnox_mtb2_877	5218
CarAnox_mtb2_147	286
CarAnox_mtb2_1518	5127
CarAnox_mtb2_1270	8531
CarAnox_mtb2_1438	79
CarAnox_mtb2_959	54
CarAnox_mtb2_1246	3889
CarAnox_mtb2_971	412
CarAnox_mtb2_1057	191
CarAnox_mtb2_645	2027
CarAnox_mtb2_501	29487
CarAnox_mtb2_43	3057
CarAnox_mtb2_1579	249
CarAnox_mtb2_99	66
CarAnox_mtb2_1538	297
CarAnox_mtb2_603	107232
CarAnox_mtb2_568	499
CarAnox_mtb2_1594	358
CarAnox_mtb2_154	5315
CarAnox_mtb2_944	486
CarAnox_mtb2_785	303
CarAnox_mtb2_741	561246
CarAnox_mtb2_954	4326
CarAnox_mtb2_1214	26
CarAnox_mtb2_218	598172
CarAnox_mtb2_428	395
CarAnox_mtb2_382	2652
CarAnox_mtb2_187	399
CarAnox_mtb2_275	10
CarAnox_mtb2_1312	51
CarAnox_mtb2_1002	307098
CarAnox_mtb2_281	33753
CarAnox_mtb2_1394	389
CarAnox_mtb2_1283	2258
CarAnox_mtb2_1221	48
CarAnox_mtb2_929	2896
CarAnox_mtb2_773	4154
CarAnox_mtb2_1620	766
CarAnox_mtb2_804	646
CarAnox_mtb2_1528	10515
CarAnox_mtb2_47	769
CarAnox_mtb2_418	67304
CarAnox_mtb2_1510	107
CarAnox_mtb2_205	1284
CarAnox_mtb2_919	87
CarAnox_mtb2_406	1554
CarAnox_mtb2_1509	116
CarAnox_mtb2_824	1983
CarAnox_mtb2_106	65
CarAnox_mtb2_1396	1099
CarAnox_mtb2_1551	606
CarAnox_mtb2_1199	4108
CarAnox_mtb2_451	117
CarAnox_mtb2_1564	49
CarAnox_mtb2_200	255
CarAnox_mtb2_110	3734
CarAnox_mtb2_1578	717
CarAnox_mtb2_769	225
CarAnox_mtb2_541	58230
CarAnox_mtb2_946	702
CarAnox_mtb2_699	518
CarAnox_mtb2_499	76
CarAnox_mtb2_1023	22
CarAnox_mtb2_209	1726
CarAnox_mtb2_654	158
CarAnox_mtb2_1261	578
CarAnox_mtb2_728	2251
CarAnox_mtb2_1162	484
CarAnox_mtb2_1302	8253
CarAnox_mtb2_259	514
CarAnox_mtb2_1353	54
CarAnox_mtb2_1424	548
CarAnox_mtb2_49	479
