Genome	D2b267A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	48281
CarAnox_mtb2_1542	131995
CarAnox_mtb2_1515	1150467
CarAnox_mtb2_211	23043004
CarAnox_mtb2_485	31647
CarAnox_mtb2_46	8398
CarAnox_mtb2_1170	4168828
CarAnox_mtb2_293	9733
CarAnox_mtb2_638	874
CarAnox_mtb2_1548	41366
CarAnox_mtb2_1024	481
CarAnox_mtb2_1251	73924
CarAnox_mtb2_1113	5186
CarAnox_mtb2_1099	321768
CarAnox_mtb2_921	585677
CarAnox_mtb2_103	2597
CarAnox_mtb2_952	2963
CarAnox_mtb2_1151	84671
CarAnox_mtb2_1243	980
CarAnox_mtb2_646	156823
CarAnox_mtb2_974	217
CarAnox_mtb2_670	15548
CarAnox_mtb2_1504	21668
CarAnox_mtb2_933	14076
CarAnox_mtb2_861	244
CarAnox_mtb2_1037	773910
CarAnox_mtb2_648	39336
CarAnox_mtb2_1224	9719
CarAnox_mtb2_45	2636
CarAnox_mtb2_982	3922
CarAnox_mtb2_1588	2409
CarAnox_mtb2_422	8087
CarAnox_mtb2_163	171
CarAnox_mtb2_289	74810
CarAnox_mtb2_1148	23548
CarAnox_mtb2_1262	3792
CarAnox_mtb2_254	18752
CarAnox_mtb2_28	1079612
CarAnox_mtb2_1301	1444472
CarAnox_mtb2_1289	8845
CarAnox_mtb2_395	68924
CarAnox_mtb2_1305	2366
CarAnox_mtb2_81	1167367
CarAnox_mtb2_724	311
CarAnox_mtb2_331	8390
CarAnox_mtb2_758	1096
CarAnox_mtb2_1566	12013
CarAnox_mtb2_723	92765
CarAnox_mtb2_1469	2418
CarAnox_mtb2_1276	130
CarAnox_mtb2_1526	45261
CarAnox_mtb2_529	30802
CarAnox_mtb2_1100	7566
CarAnox_mtb2_239	393
CarAnox_mtb2_589	362610
CarAnox_mtb2_826	8540
CarAnox_mtb2_1610	1370
CarAnox_mtb2_656	34
CarAnox_mtb2_1540	10300
CarAnox_mtb2_1036	28607
CarAnox_mtb2_1014	26232
CarAnox_mtb2_1544	716
CarAnox_mtb2_1584	4695
CarAnox_mtb2_1502	204
CarAnox_mtb2_729	9222
CarAnox_mtb2_927	1134
CarAnox_mtb2_315	35796
CarAnox_mtb2_102	107148
CarAnox_mtb2_1173	1835
CarAnox_mtb2_1215	798513
CarAnox_mtb2_245	829
CarAnox_mtb2_1108	10
CarAnox_mtb2_34	15690
CarAnox_mtb2_815	5185
CarAnox_mtb2_1121	131039
CarAnox_mtb2_1583	46239
CarAnox_mtb2_1636	432446
CarAnox_mtb2_1252	31526
CarAnox_mtb2_507	315
CarAnox_mtb2_1463	47481
CarAnox_mtb2_554	7639
CarAnox_mtb2_1365	5149
CarAnox_mtb2_564	10163
CarAnox_mtb2_774	38867
CarAnox_mtb2_486	4924
CarAnox_mtb2_811	126641
CarAnox_mtb2_661	356
CarAnox_mtb2_1208	857766
CarAnox_mtb2_1369	314969
CarAnox_mtb2_2	1171
CarAnox_mtb2_1188	487431
CarAnox_mtb2_790	58964
CarAnox_mtb2_1389	241345
CarAnox_mtb2_186	15062
CarAnox_mtb2_268	275989
CarAnox_mtb2_68	250560
CarAnox_mtb2_1039	263
CarAnox_mtb2_215	94811
CarAnox_mtb2_782	1783
CarAnox_mtb2_1285	13431
CarAnox_mtb2_1408	3739
CarAnox_mtb2_122	11976
CarAnox_mtb2_791	324
CarAnox_mtb2_1279	14993
CarAnox_mtb2_120	240
CarAnox_mtb2_375	723
CarAnox_mtb2_1071	1401
CarAnox_mtb2_1499	309
CarAnox_mtb2_1178	60
CarAnox_mtb2_171	24130
CarAnox_mtb2_620	7601
CarAnox_mtb2_48	1159
CarAnox_mtb2_435	39203
CarAnox_mtb2_1454	838388
CarAnox_mtb2_190	421858
CarAnox_mtb2_890	1082
CarAnox_mtb2_304	84
CarAnox_mtb2_1607	917
CarAnox_mtb2_16	336934
CarAnox_mtb2_912	192398
CarAnox_mtb2_1016	122829
CarAnox_mtb2_265	80893
CarAnox_mtb2_857	1282
CarAnox_mtb2_755	56094
CarAnox_mtb2_1167	2385
CarAnox_mtb2_341	1934
CarAnox_mtb2_1374	99
CarAnox_mtb2_867	8452
CarAnox_mtb2_18	361
CarAnox_mtb2_101	105226
CarAnox_mtb2_583	27328
CarAnox_mtb2_530	6191
CarAnox_mtb2_1194	71768
CarAnox_mtb2_560	8492
CarAnox_mtb2_737	70
CarAnox_mtb2_302	4958
CarAnox_mtb2_1630	2150
CarAnox_mtb2_1535	1933
CarAnox_mtb2_181	10640
CarAnox_mtb2_691	14162
CarAnox_mtb2_669	1752
CarAnox_mtb2_1441	457596
CarAnox_mtb2_721	2487
CarAnox_mtb2_1655	6443
CarAnox_mtb2_430	24878
CarAnox_mtb2_567	1038
CarAnox_mtb2_931	119611
CarAnox_mtb2_1288	492
CarAnox_mtb2_1201	31026
CarAnox_mtb2_1010	1451
CarAnox_mtb2_1618	258914
CarAnox_mtb2_970	213
CarAnox_mtb2_1431	81876
CarAnox_mtb2_671	163
CarAnox_mtb2_1601	2108
CarAnox_mtb2_663	238006
CarAnox_mtb2_1123	246
CarAnox_mtb2_972	49218
CarAnox_mtb2_352	1737933
CarAnox_mtb2_722	15729
CarAnox_mtb2_329	2083
CarAnox_mtb2_1638	1892
CarAnox_mtb2_599	4675
CarAnox_mtb2_872	546
CarAnox_mtb2_1531	160939
CarAnox_mtb2_779	112
CarAnox_mtb2_672	314064
CarAnox_mtb2_1249	1899658
CarAnox_mtb2_631	6715
CarAnox_mtb2_756	2516550
CarAnox_mtb2_1366	12070
CarAnox_mtb2_115	595138
CarAnox_mtb2_193	7679
CarAnox_mtb2_846	11341
CarAnox_mtb2_189	934787
CarAnox_mtb2_1190	269109
CarAnox_mtb2_957	94791
CarAnox_mtb2_1506	1444
CarAnox_mtb2_1606	148990
CarAnox_mtb2_1350	87054
CarAnox_mtb2_196	50529
CarAnox_mtb2_610	2862
CarAnox_mtb2_1384	106539
CarAnox_mtb2_1543	2702
CarAnox_mtb2_1116	156352
CarAnox_mtb2_879	45712
CarAnox_mtb2_15	1143
CarAnox_mtb2_1271	17244
CarAnox_mtb2_1239	174731
CarAnox_mtb2_770	212215
CarAnox_mtb2_1534	231153
CarAnox_mtb2_586	13200
CarAnox_mtb2_545	183993
CarAnox_mtb2_650	557314
CarAnox_mtb2_112	4401
CarAnox_mtb2_1363	9668
CarAnox_mtb2_419	17657
CarAnox_mtb2_629	2740
CarAnox_mtb2_1512	119344
CarAnox_mtb2_1092	1580780
CarAnox_mtb2_347	34152
CarAnox_mtb2_914	5437
CarAnox_mtb2_1089	5881
CarAnox_mtb2_945	3037287
CarAnox_mtb2_697	31767
CarAnox_mtb2_658	11649
CarAnox_mtb2_403	65819
CarAnox_mtb2_3	67644
CarAnox_mtb2_598	1082
CarAnox_mtb2_495	381
CarAnox_mtb2_220	2254
CarAnox_mtb2_224	8084
CarAnox_mtb2_1628	10889
CarAnox_mtb2_262	79649
CarAnox_mtb2_117	3532
CarAnox_mtb2_810	4226
CarAnox_mtb2_685	26036
CarAnox_mtb2_1056	6464
CarAnox_mtb2_1647	4173
CarAnox_mtb2_22	9236
CarAnox_mtb2_291	17188
CarAnox_mtb2_690	1805
CarAnox_mtb2_538	520879
CarAnox_mtb2_623	351
CarAnox_mtb2_207	47161
CarAnox_mtb2_771	2675
CarAnox_mtb2_539	223131
CarAnox_mtb2_1421	738
CarAnox_mtb2_777	33815
CarAnox_mtb2_27	65167
CarAnox_mtb2_316	43
CarAnox_mtb2_114	747
CarAnox_mtb2_1098	6463
CarAnox_mtb2_1316	764981
CarAnox_mtb2_1367	16736
CarAnox_mtb2_662	165410
CarAnox_mtb2_547	288147
CarAnox_mtb2_24	1466492
CarAnox_mtb2_611	9167
CarAnox_mtb2_1524	112315
CarAnox_mtb2_63	308
CarAnox_mtb2_1627	2095
CarAnox_mtb2_1437	15930
CarAnox_mtb2_657	386328
CarAnox_mtb2_1075	17324
CarAnox_mtb2_573	8263
CarAnox_mtb2_613	7200
CarAnox_mtb2_651	1039673
CarAnox_mtb2_183	53
CarAnox_mtb2_772	112477
CarAnox_mtb2_314	2343
CarAnox_mtb2_1242	888869
CarAnox_mtb2_386	36291
CarAnox_mtb2_503	8790
CarAnox_mtb2_1219	39415
CarAnox_mtb2_1576	2019
CarAnox_mtb2_1299	333489
CarAnox_mtb2_242	57883
CarAnox_mtb2_754	2249
CarAnox_mtb2_236	57772
CarAnox_mtb2_470	413
CarAnox_mtb2_1286	127446
CarAnox_mtb2_753	12470
CarAnox_mtb2_604	704174
CarAnox_mtb2_51	1418
CarAnox_mtb2_335	83097
CarAnox_mtb2_548	33509
CarAnox_mtb2_652	2444555
CarAnox_mtb2_757	22469
CarAnox_mtb2_712	4186
CarAnox_mtb2_1130	172
CarAnox_mtb2_1359	253117
CarAnox_mtb2_916	112325
CarAnox_mtb2_1050	19224
CarAnox_mtb2_1155	3423
CarAnox_mtb2_317	2570
CarAnox_mtb2_544	878012
CarAnox_mtb2_1527	13924
CarAnox_mtb2_1400	814
CarAnox_mtb2_1179	1335
CarAnox_mtb2_1083	3254
CarAnox_mtb2_78	166555
CarAnox_mtb2_20	180830
CarAnox_mtb2_379	1155
CarAnox_mtb2_955	5016
CarAnox_mtb2_490	48731
CarAnox_mtb2_841	40824
CarAnox_mtb2_1250	233124
CarAnox_mtb2_893	14483
CarAnox_mtb2_601	5275
CarAnox_mtb2_552	2854
CarAnox_mtb2_832	196884
CarAnox_mtb2_880	24382
CarAnox_mtb2_1521	249311
CarAnox_mtb2_94	95742
CarAnox_mtb2_226	700
CarAnox_mtb2_1117	124120
CarAnox_mtb2_1388	804
CarAnox_mtb2_561	1646
CarAnox_mtb2_453	560831
CarAnox_mtb2_1478	541
CarAnox_mtb2_21	13129
CarAnox_mtb2_803	1500255
CarAnox_mtb2_775	2507
CarAnox_mtb2_606	1449
CarAnox_mtb2_1681	7343
CarAnox_mtb2_748	525
CarAnox_mtb2_38	2128
CarAnox_mtb2_180	191051
CarAnox_mtb2_925	221329
CarAnox_mtb2_420	86
CarAnox_mtb2_1549	542131
CarAnox_mtb2_1684	26249
CarAnox_mtb2_591	18828
CarAnox_mtb2_1079	7277
CarAnox_mtb2_983	36474
CarAnox_mtb2_1171	671
CarAnox_mtb2_62	402
CarAnox_mtb2_885	48035
CarAnox_mtb2_563	65291
CarAnox_mtb2_1508	4665
CarAnox_mtb2_1007	61250
CarAnox_mtb2_1413	699
CarAnox_mtb2_923	8947
CarAnox_mtb2_1033	147185
CarAnox_mtb2_628	20132
CarAnox_mtb2_214	18750
CarAnox_mtb2_1432	307351
CarAnox_mtb2_32	1076
CarAnox_mtb2_742	839
CarAnox_mtb2_864	11176
CarAnox_mtb2_1554	2654
CarAnox_mtb2_1372	827
CarAnox_mtb2_330	448
CarAnox_mtb2_1371	1318
CarAnox_mtb2_1605	880209
CarAnox_mtb2_718	24
CarAnox_mtb2_751	329558
CarAnox_mtb2_1593	377781
CarAnox_mtb2_13	48168
CarAnox_mtb2_1414	2617
CarAnox_mtb2_979	343897
CarAnox_mtb2_688	299061
CarAnox_mtb2_86	589
CarAnox_mtb2_198	96082
CarAnox_mtb2_522	5781
CarAnox_mtb2_504	7365
CarAnox_mtb2_732	945
CarAnox_mtb2_975	94462
CarAnox_mtb2_692	4263
