Genome	D2b200A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	457
CarAnox_mtb2_1542	873
CarAnox_mtb2_1515	1163
CarAnox_mtb2_211	112023
CarAnox_mtb2_485	1016
CarAnox_mtb2_46	60
CarAnox_mtb2_1170	81641
CarAnox_mtb2_293	38696
CarAnox_mtb2_638	650
CarAnox_mtb2_1548	6150
CarAnox_mtb2_1024	38
CarAnox_mtb2_1251	184
CarAnox_mtb2_1113	561
CarAnox_mtb2_1099	263
CarAnox_mtb2_921	12725
CarAnox_mtb2_103	75
CarAnox_mtb2_952	12256
CarAnox_mtb2_1151	7225
CarAnox_mtb2_1243	2
CarAnox_mtb2_646	620
CarAnox_mtb2_974	14
CarAnox_mtb2_670	1057
CarAnox_mtb2_1504	4092
CarAnox_mtb2_933	391
CarAnox_mtb2_861	1
CarAnox_mtb2_1037	5056
CarAnox_mtb2_648	101
CarAnox_mtb2_1224	92
CarAnox_mtb2_45	164
CarAnox_mtb2_982	347
CarAnox_mtb2_1588	9
CarAnox_mtb2_422	54
CarAnox_mtb2_163	311
CarAnox_mtb2_289	498
CarAnox_mtb2_1148	1214
CarAnox_mtb2_1262	14
CarAnox_mtb2_254	151
CarAnox_mtb2_28	886
CarAnox_mtb2_1301	11327
CarAnox_mtb2_1289	67
CarAnox_mtb2_395	162462
CarAnox_mtb2_1305	100
CarAnox_mtb2_81	9994
CarAnox_mtb2_724	31
CarAnox_mtb2_331	918
CarAnox_mtb2_758	58
CarAnox_mtb2_1566	32
CarAnox_mtb2_723	1814
CarAnox_mtb2_1469	101
CarAnox_mtb2_1276	10
CarAnox_mtb2_1526	855
CarAnox_mtb2_529	501
CarAnox_mtb2_1100	581
CarAnox_mtb2_239	42
CarAnox_mtb2_589	501
CarAnox_mtb2_826	435
CarAnox_mtb2_1610	87
CarAnox_mtb2_656	8
CarAnox_mtb2_1540	3538
CarAnox_mtb2_1036	133
CarAnox_mtb2_1014	337
CarAnox_mtb2_1544	679
CarAnox_mtb2_1584	33
CarAnox_mtb2_1502	20
CarAnox_mtb2_729	61
CarAnox_mtb2_927	20045
CarAnox_mtb2_315	37275
CarAnox_mtb2_102	119018
CarAnox_mtb2_1173	622
CarAnox_mtb2_1215	2298
CarAnox_mtb2_245	267
CarAnox_mtb2_1108	9
CarAnox_mtb2_34	1811
CarAnox_mtb2_815	38
CarAnox_mtb2_1121	30
CarAnox_mtb2_1583	577397
CarAnox_mtb2_1636	165
CarAnox_mtb2_1252	151
CarAnox_mtb2_507	1
CarAnox_mtb2_1463	1137
CarAnox_mtb2_554	210
CarAnox_mtb2_1365	494
CarAnox_mtb2_564	329
CarAnox_mtb2_774	10349
CarAnox_mtb2_486	37
CarAnox_mtb2_811	4238
CarAnox_mtb2_661	12
CarAnox_mtb2_1208	9084
CarAnox_mtb2_1369	254766
CarAnox_mtb2_2	37362
CarAnox_mtb2_1188	2488
CarAnox_mtb2_790	464
CarAnox_mtb2_1389	328
CarAnox_mtb2_186	38932
CarAnox_mtb2_268	1710
CarAnox_mtb2_68	144
CarAnox_mtb2_1039	20
CarAnox_mtb2_215	1485
CarAnox_mtb2_782	5055
CarAnox_mtb2_1285	40
CarAnox_mtb2_1408	533
CarAnox_mtb2_122	33
CarAnox_mtb2_791	4
CarAnox_mtb2_1279	52
CarAnox_mtb2_120	28
CarAnox_mtb2_375	15
CarAnox_mtb2_1071	192
CarAnox_mtb2_1499	112
CarAnox_mtb2_1178	4
CarAnox_mtb2_171	304
CarAnox_mtb2_620	1193
CarAnox_mtb2_48	11
CarAnox_mtb2_435	204
CarAnox_mtb2_1454	261648
CarAnox_mtb2_190	810
CarAnox_mtb2_890	228
CarAnox_mtb2_304	15
CarAnox_mtb2_1607	315
CarAnox_mtb2_16	23635
CarAnox_mtb2_912	435
CarAnox_mtb2_1016	141
CarAnox_mtb2_265	20989
CarAnox_mtb2_857	98
CarAnox_mtb2_755	69
CarAnox_mtb2_1167	20
CarAnox_mtb2_341	47
CarAnox_mtb2_1374	9
CarAnox_mtb2_867	10
CarAnox_mtb2_18	60
CarAnox_mtb2_101	107
CarAnox_mtb2_583	40
CarAnox_mtb2_530	31
CarAnox_mtb2_1194	1225
CarAnox_mtb2_560	87
CarAnox_mtb2_737	117
CarAnox_mtb2_302	21
CarAnox_mtb2_1630	24
CarAnox_mtb2_1535	141
CarAnox_mtb2_181	637
CarAnox_mtb2_691	88
CarAnox_mtb2_669	709
