Genome	D3b295A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2601
CarAnox_mtb2_1542	73150
CarAnox_mtb2_1515	445355
CarAnox_mtb2_211	3840197
CarAnox_mtb2_485	10577
CarAnox_mtb2_46	1753
CarAnox_mtb2_1170	360194
CarAnox_mtb2_293	3704
CarAnox_mtb2_638	328
CarAnox_mtb2_1548	1933
CarAnox_mtb2_1024	70
CarAnox_mtb2_1251	19160
CarAnox_mtb2_1113	734
CarAnox_mtb2_1099	34887
CarAnox_mtb2_921	15507
CarAnox_mtb2_103	1461
CarAnox_mtb2_952	872
CarAnox_mtb2_1151	25550
CarAnox_mtb2_1243	336
CarAnox_mtb2_646	45185
CarAnox_mtb2_974	83
CarAnox_mtb2_670	10192
CarAnox_mtb2_1504	8449
CarAnox_mtb2_933	7695
CarAnox_mtb2_861	56
CarAnox_mtb2_1037	145781
CarAnox_mtb2_648	16467
CarAnox_mtb2_1224	1718
CarAnox_mtb2_45	858
CarAnox_mtb2_982	807
CarAnox_mtb2_1588	229
CarAnox_mtb2_422	2976
CarAnox_mtb2_163	109
CarAnox_mtb2_289	35590
CarAnox_mtb2_1148	2726
CarAnox_mtb2_1262	1470
CarAnox_mtb2_254	4829
CarAnox_mtb2_28	234351
CarAnox_mtb2_1301	307800
CarAnox_mtb2_1289	889
CarAnox_mtb2_395	43090
CarAnox_mtb2_1305	443
CarAnox_mtb2_81	352260
CarAnox_mtb2_724	86
CarAnox_mtb2_331	303
CarAnox_mtb2_758	805
CarAnox_mtb2_1566	4505
CarAnox_mtb2_723	37595
CarAnox_mtb2_1469	235
CarAnox_mtb2_1276	19
CarAnox_mtb2_1526	8094
CarAnox_mtb2_529	10963
CarAnox_mtb2_1100	4196
CarAnox_mtb2_239	156
CarAnox_mtb2_589	65704
CarAnox_mtb2_826	2410
CarAnox_mtb2_1610	253
CarAnox_mtb2_656	6
CarAnox_mtb2_1540	2290
CarAnox_mtb2_1036	13920
CarAnox_mtb2_1014	2287
CarAnox_mtb2_1544	238
CarAnox_mtb2_1584	2962
CarAnox_mtb2_1502	38
CarAnox_mtb2_729	580
CarAnox_mtb2_927	1789
CarAnox_mtb2_315	139735
CarAnox_mtb2_102	515523
CarAnox_mtb2_1173	87
CarAnox_mtb2_1215	14041
CarAnox_mtb2_245	450
CarAnox_mtb2_1108	7
CarAnox_mtb2_34	10510
CarAnox_mtb2_815	952
CarAnox_mtb2_1121	253
CarAnox_mtb2_1583	13782
CarAnox_mtb2_1636	40912
CarAnox_mtb2_1252	12442
CarAnox_mtb2_507	46
CarAnox_mtb2_1463	19947
CarAnox_mtb2_554	2905
CarAnox_mtb2_1365	1190
CarAnox_mtb2_564	890
CarAnox_mtb2_774	4261
CarAnox_mtb2_486	773
CarAnox_mtb2_811	5422
CarAnox_mtb2_661	57
CarAnox_mtb2_1208	95347
CarAnox_mtb2_1369	202067
CarAnox_mtb2_2	1513
CarAnox_mtb2_1188	48744
CarAnox_mtb2_790	10937
CarAnox_mtb2_1389	1608
CarAnox_mtb2_186	6193
CarAnox_mtb2_268	115376
CarAnox_mtb2_68	365
CarAnox_mtb2_1039	74
CarAnox_mtb2_215	17764
CarAnox_mtb2_782	39783
CarAnox_mtb2_1285	1184
CarAnox_mtb2_1408	1935
CarAnox_mtb2_122	34935
CarAnox_mtb2_791	99
CarAnox_mtb2_1279	6372
CarAnox_mtb2_120	62
CarAnox_mtb2_375	311
CarAnox_mtb2_1071	675
CarAnox_mtb2_1499	55
CarAnox_mtb2_1178	13
CarAnox_mtb2_171	3630
CarAnox_mtb2_620	931
CarAnox_mtb2_48	296
CarAnox_mtb2_435	30210
CarAnox_mtb2_1454	277668
CarAnox_mtb2_190	69259
CarAnox_mtb2_890	404
CarAnox_mtb2_304	24
CarAnox_mtb2_1607	462
CarAnox_mtb2_16	62480
CarAnox_mtb2_912	11625
CarAnox_mtb2_1016	34834
CarAnox_mtb2_265	10105
CarAnox_mtb2_857	759
CarAnox_mtb2_755	7583
CarAnox_mtb2_1167	507
CarAnox_mtb2_341	373
CarAnox_mtb2_1374	19
CarAnox_mtb2_867	3528
CarAnox_mtb2_18	317
CarAnox_mtb2_101	21883
CarAnox_mtb2_583	3386
CarAnox_mtb2_530	4270
CarAnox_mtb2_1194	8626
CarAnox_mtb2_560	3679
CarAnox_mtb2_737	44
CarAnox_mtb2_302	886
CarAnox_mtb2_1630	779
CarAnox_mtb2_1535	1326
CarAnox_mtb2_181	740
CarAnox_mtb2_691	914
CarAnox_mtb2_669	370
CarAnox_mtb2_1441	224961
CarAnox_mtb2_721	676
CarAnox_mtb2_1655	292
CarAnox_mtb2_430	415
CarAnox_mtb2_567	346
CarAnox_mtb2_931	59796
CarAnox_mtb2_1288	101
CarAnox_mtb2_1201	10408
CarAnox_mtb2_1010	306
CarAnox_mtb2_1618	71263
CarAnox_mtb2_970	41
CarAnox_mtb2_1431	26619
CarAnox_mtb2_671	1036
CarAnox_mtb2_1601	1351
CarAnox_mtb2_663	5391
CarAnox_mtb2_1123	71
CarAnox_mtb2_972	3329
CarAnox_mtb2_352	239196
CarAnox_mtb2_722	3722
CarAnox_mtb2_329	441
CarAnox_mtb2_1638	274
CarAnox_mtb2_599	3367
CarAnox_mtb2_872	68
CarAnox_mtb2_1531	95807
CarAnox_mtb2_779	11
CarAnox_mtb2_672	87068
CarAnox_mtb2_1249	413552
CarAnox_mtb2_631	963
CarAnox_mtb2_756	637175
CarAnox_mtb2_1366	3538
CarAnox_mtb2_115	102629
CarAnox_mtb2_193	1846
CarAnox_mtb2_846	1149
CarAnox_mtb2_189	100340
CarAnox_mtb2_1190	25347
CarAnox_mtb2_957	12066
CarAnox_mtb2_1506	321
CarAnox_mtb2_1606	3423
CarAnox_mtb2_1350	9604
CarAnox_mtb2_196	14178
CarAnox_mtb2_610	1018
CarAnox_mtb2_1384	23464
CarAnox_mtb2_1543	1381
CarAnox_mtb2_1116	1567336
CarAnox_mtb2_879	13476
CarAnox_mtb2_15	366
CarAnox_mtb2_1271	3684
CarAnox_mtb2_1239	87069
CarAnox_mtb2_770	195
CarAnox_mtb2_1534	48496
CarAnox_mtb2_586	265
CarAnox_mtb2_545	106553
CarAnox_mtb2_650	41640
CarAnox_mtb2_112	634
CarAnox_mtb2_1363	1803
CarAnox_mtb2_419	592
CarAnox_mtb2_629	577
CarAnox_mtb2_1512	2358
CarAnox_mtb2_1092	277608
CarAnox_mtb2_347	3737
CarAnox_mtb2_914	1714
CarAnox_mtb2_1089	1880
CarAnox_mtb2_945	344260
CarAnox_mtb2_697	1954
