Genome	D3b295B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	11428
CarAnox_mtb2_1542	587
CarAnox_mtb2_1515	500
CarAnox_mtb2_211	35304930
CarAnox_mtb2_485	36
CarAnox_mtb2_46	9522
CarAnox_mtb2_1170	4187404
CarAnox_mtb2_293	25045
CarAnox_mtb2_638	19
CarAnox_mtb2_1548	15221
CarAnox_mtb2_1024	363
CarAnox_mtb2_1251	9560
CarAnox_mtb2_1113	31
CarAnox_mtb2_1099	115
CarAnox_mtb2_921	204
CarAnox_mtb2_103	3360
CarAnox_mtb2_952	8029
CarAnox_mtb2_1151	8100
CarAnox_mtb2_1243	1494
CarAnox_mtb2_646	152
CarAnox_mtb2_974	342
CarAnox_mtb2_670	146
CarAnox_mtb2_1504	8958
CarAnox_mtb2_933	72
CarAnox_mtb2_861	31
CarAnox_mtb2_1037	48076
CarAnox_mtb2_648	277
CarAnox_mtb2_1224	2076
CarAnox_mtb2_45	3944
CarAnox_mtb2_982	103
CarAnox_mtb2_1588	1369
CarAnox_mtb2_422	10447
CarAnox_mtb2_163	151
CarAnox_mtb2_289	60308
CarAnox_mtb2_1148	41856
CarAnox_mtb2_1262	3601
CarAnox_mtb2_254	615
CarAnox_mtb2_28	6800
CarAnox_mtb2_1301	3254
CarAnox_mtb2_1289	4725
CarAnox_mtb2_395	260360
CarAnox_mtb2_1305	36
CarAnox_mtb2_81	1941942
CarAnox_mtb2_724	73
CarAnox_mtb2_331	958
CarAnox_mtb2_758	137
CarAnox_mtb2_1566	17251
CarAnox_mtb2_723	35627
CarAnox_mtb2_1469	1480
CarAnox_mtb2_1276	84
CarAnox_mtb2_1526	14399
CarAnox_mtb2_529	52
CarAnox_mtb2_1100	3570
CarAnox_mtb2_239	15
CarAnox_mtb2_589	170
CarAnox_mtb2_826	402
CarAnox_mtb2_1610	153
CarAnox_mtb2_656	89
CarAnox_mtb2_1540	47445
CarAnox_mtb2_1036	39
CarAnox_mtb2_1014	1394
CarAnox_mtb2_1544	10
CarAnox_mtb2_1584	22
CarAnox_mtb2_1502	62
CarAnox_mtb2_729	9060
CarAnox_mtb2_927	8563
CarAnox_mtb2_315	258274
CarAnox_mtb2_102	5474
CarAnox_mtb2_1173	36
CarAnox_mtb2_1215	257
CarAnox_mtb2_245	20
CarAnox_mtb2_1108	101
CarAnox_mtb2_34	636
CarAnox_mtb2_815	3345
CarAnox_mtb2_1121	114
CarAnox_mtb2_1583	98076
CarAnox_mtb2_1636	31288
CarAnox_mtb2_1252	47
CarAnox_mtb2_507	40
CarAnox_mtb2_1463	65
CarAnox_mtb2_554	758
CarAnox_mtb2_1365	922
CarAnox_mtb2_564	1060
CarAnox_mtb2_774	125715
CarAnox_mtb2_486	9939
CarAnox_mtb2_811	34
CarAnox_mtb2_661	93
CarAnox_mtb2_1208	1654458
CarAnox_mtb2_1369	230551
CarAnox_mtb2_2	13903
CarAnox_mtb2_1188	16074
CarAnox_mtb2_790	29799
CarAnox_mtb2_1389	5854
CarAnox_mtb2_186	22
CarAnox_mtb2_268	1841
CarAnox_mtb2_68	3826
CarAnox_mtb2_1039	447
CarAnox_mtb2_215	31303
CarAnox_mtb2_782	2004
CarAnox_mtb2_1285	2747
CarAnox_mtb2_1408	76
CarAnox_mtb2_122	995
CarAnox_mtb2_791	492
CarAnox_mtb2_1279	6952
CarAnox_mtb2_120	182
CarAnox_mtb2_375	3332
CarAnox_mtb2_1071	8
CarAnox_mtb2_1499	138
CarAnox_mtb2_1178	129
CarAnox_mtb2_171	25562
CarAnox_mtb2_620	2537
CarAnox_mtb2_48	127
CarAnox_mtb2_435	775
CarAnox_mtb2_1454	664
CarAnox_mtb2_190	537
CarAnox_mtb2_890	24
CarAnox_mtb2_304	121
CarAnox_mtb2_1607	1597
CarAnox_mtb2_16	2931526
CarAnox_mtb2_912	4704
CarAnox_mtb2_1016	208
CarAnox_mtb2_265	5509
CarAnox_mtb2_857	2804
CarAnox_mtb2_755	21367
CarAnox_mtb2_1167	360
CarAnox_mtb2_341	1157
CarAnox_mtb2_1374	12
CarAnox_mtb2_867	1777
CarAnox_mtb2_18	8
CarAnox_mtb2_101	1302
CarAnox_mtb2_583	4725
CarAnox_mtb2_530	31
CarAnox_mtb2_1194	160383
CarAnox_mtb2_560	23
CarAnox_mtb2_737	7
CarAnox_mtb2_302	3554
CarAnox_mtb2_1630	8
CarAnox_mtb2_1535	28967
CarAnox_mtb2_181	11262
CarAnox_mtb2_691	1263
CarAnox_mtb2_669	19
CarAnox_mtb2_1441	86094
CarAnox_mtb2_721	796
CarAnox_mtb2_1655	276
CarAnox_mtb2_430	287
CarAnox_mtb2_567	608
CarAnox_mtb2_931	205
CarAnox_mtb2_1288	84
CarAnox_mtb2_1201	3991
CarAnox_mtb2_1010	3869
CarAnox_mtb2_1618	327
CarAnox_mtb2_970	733
CarAnox_mtb2_1431	888
CarAnox_mtb2_671	120
CarAnox_mtb2_1601	9
CarAnox_mtb2_663	453
CarAnox_mtb2_1123	16
CarAnox_mtb2_972	40342
CarAnox_mtb2_352	994911
CarAnox_mtb2_722	12361
CarAnox_mtb2_329	1942
CarAnox_mtb2_1638	372
CarAnox_mtb2_599	23752
CarAnox_mtb2_872	513
CarAnox_mtb2_1531	334
CarAnox_mtb2_779	75
CarAnox_mtb2_672	158908
CarAnox_mtb2_1249	698
CarAnox_mtb2_631	5644
CarAnox_mtb2_756	3212
CarAnox_mtb2_1366	4412
CarAnox_mtb2_115	10355
CarAnox_mtb2_193	34912
CarAnox_mtb2_846	17073
CarAnox_mtb2_189	27218
CarAnox_mtb2_1190	67764
CarAnox_mtb2_957	84824
CarAnox_mtb2_1506	1268
CarAnox_mtb2_1606	5494
CarAnox_mtb2_1350	13459
CarAnox_mtb2_196	11638
CarAnox_mtb2_610	3991
CarAnox_mtb2_1384	6597
CarAnox_mtb2_1543	17
CarAnox_mtb2_1116	860
CarAnox_mtb2_879	4278
CarAnox_mtb2_15	1417
CarAnox_mtb2_1271	15064
CarAnox_mtb2_1239	2131
CarAnox_mtb2_770	26
CarAnox_mtb2_1534	51010
CarAnox_mtb2_586	1136
CarAnox_mtb2_545	652827
CarAnox_mtb2_650	11208
CarAnox_mtb2_112	2917
CarAnox_mtb2_1363	17042
CarAnox_mtb2_419	1671
CarAnox_mtb2_629	2589
CarAnox_mtb2_1512	38199
CarAnox_mtb2_1092	47964
CarAnox_mtb2_347	128773
CarAnox_mtb2_914	2120
CarAnox_mtb2_1089	4477
CarAnox_mtb2_945	4160954
CarAnox_mtb2_697	23
CarAnox_mtb2_658	119
CarAnox_mtb2_403	109
CarAnox_mtb2_3	7199
CarAnox_mtb2_598	67
CarAnox_mtb2_495	709
CarAnox_mtb2_220	826
CarAnox_mtb2_224	41534
CarAnox_mtb2_1628	1155
CarAnox_mtb2_262	138
CarAnox_mtb2_117	272
CarAnox_mtb2_810	7018
CarAnox_mtb2_685	5889
CarAnox_mtb2_1056	31
CarAnox_mtb2_1647	1755
CarAnox_mtb2_22	25835
CarAnox_mtb2_291	12708
CarAnox_mtb2_690	15040
CarAnox_mtb2_538	208
CarAnox_mtb2_623	82
CarAnox_mtb2_207	26
CarAnox_mtb2_771	5988
CarAnox_mtb2_539	271
CarAnox_mtb2_1421	1160
CarAnox_mtb2_777	2403
CarAnox_mtb2_27	16998
CarAnox_mtb2_316	73
CarAnox_mtb2_114	268
CarAnox_mtb2_1098	7527
CarAnox_mtb2_1316	145813
CarAnox_mtb2_1367	29308
CarAnox_mtb2_662	175
CarAnox_mtb2_547	3163
CarAnox_mtb2_24	5051
CarAnox_mtb2_611	702
CarAnox_mtb2_1524	48989
CarAnox_mtb2_63	165
CarAnox_mtb2_1627	970
CarAnox_mtb2_1437	2443
CarAnox_mtb2_657	189
CarAnox_mtb2_1075	139
CarAnox_mtb2_573	6177
CarAnox_mtb2_613	34
CarAnox_mtb2_651	760
CarAnox_mtb2_183	122
CarAnox_mtb2_772	12775
CarAnox_mtb2_314	17296
CarAnox_mtb2_1242	2641
CarAnox_mtb2_386	21111
CarAnox_mtb2_503	49
CarAnox_mtb2_1219	296
CarAnox_mtb2_1576	51
CarAnox_mtb2_1299	45859
CarAnox_mtb2_242	2255
CarAnox_mtb2_754	1161
CarAnox_mtb2_236	867
CarAnox_mtb2_470	68
CarAnox_mtb2_1286	14583
CarAnox_mtb2_753	75793
CarAnox_mtb2_604	2111
CarAnox_mtb2_51	259
CarAnox_mtb2_335	227144
CarAnox_mtb2_548	950
CarAnox_mtb2_652	72558
CarAnox_mtb2_757	17294
CarAnox_mtb2_712	6548
CarAnox_mtb2_1130	4
CarAnox_mtb2_1359	14211
CarAnox_mtb2_916	4839
CarAnox_mtb2_1050	1290
CarAnox_mtb2_1155	15
CarAnox_mtb2_317	721
CarAnox_mtb2_544	2555314
CarAnox_mtb2_1527	1657
CarAnox_mtb2_1400	3640
CarAnox_mtb2_1179	58
CarAnox_mtb2_1083	515
CarAnox_mtb2_78	33961
CarAnox_mtb2_20	20229
CarAnox_mtb2_379	786
CarAnox_mtb2_955	3535
CarAnox_mtb2_490	4614
CarAnox_mtb2_841	39950
CarAnox_mtb2_1250	3460
CarAnox_mtb2_893	46
CarAnox_mtb2_601	4874
CarAnox_mtb2_552	773
CarAnox_mtb2_832	3783
CarAnox_mtb2_880	36641
CarAnox_mtb2_1521	22
CarAnox_mtb2_94	3345
CarAnox_mtb2_226	1739
CarAnox_mtb2_1117	365127
CarAnox_mtb2_1388	8
CarAnox_mtb2_561	1179
CarAnox_mtb2_453	155
CarAnox_mtb2_1478	1984
CarAnox_mtb2_21	24625
CarAnox_mtb2_803	730094
CarAnox_mtb2_775	1311
CarAnox_mtb2_606	302
CarAnox_mtb2_1681	10688
CarAnox_mtb2_748	811
CarAnox_mtb2_38	1437
CarAnox_mtb2_180	292
CarAnox_mtb2_925	259
CarAnox_mtb2_420	3
CarAnox_mtb2_1549	38678
CarAnox_mtb2_1684	34475
CarAnox_mtb2_591	9727
CarAnox_mtb2_1079	3059
CarAnox_mtb2_983	951
CarAnox_mtb2_1171	929
CarAnox_mtb2_62	493
CarAnox_mtb2_885	19054
CarAnox_mtb2_563	250
CarAnox_mtb2_1508	156
CarAnox_mtb2_1007	2708
CarAnox_mtb2_1413	444
CarAnox_mtb2_923	6032
CarAnox_mtb2_1033	96
CarAnox_mtb2_628	2162
CarAnox_mtb2_214	95
CarAnox_mtb2_1432	102
CarAnox_mtb2_32	2028
CarAnox_mtb2_742	226
CarAnox_mtb2_864	147168
CarAnox_mtb2_1554	13
CarAnox_mtb2_1372	6
CarAnox_mtb2_330	166
CarAnox_mtb2_1371	1112
CarAnox_mtb2_1605	5607
CarAnox_mtb2_718	69
CarAnox_mtb2_751	462
CarAnox_mtb2_1593	7674
CarAnox_mtb2_13	9059
CarAnox_mtb2_1414	1249
CarAnox_mtb2_979	2657
CarAnox_mtb2_688	175
CarAnox_mtb2_86	31
CarAnox_mtb2_198	107
CarAnox_mtb2_522	1327
CarAnox_mtb2_504	735
CarAnox_mtb2_732	288
CarAnox_mtb2_975	153071
CarAnox_mtb2_692	8305
CarAnox_mtb2_895	5412
