Genome	D3b198B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	672
CarAnox_mtb2_1542	62
CarAnox_mtb2_1515	12
CarAnox_mtb2_211	233660
CarAnox_mtb2_485	59
CarAnox_mtb2_46	141
CarAnox_mtb2_1170	116897
CarAnox_mtb2_293	598961
CarAnox_mtb2_638	29
CarAnox_mtb2_1548	2344
CarAnox_mtb2_1024	180
CarAnox_mtb2_1251	124
CarAnox_mtb2_1113	5
CarAnox_mtb2_1099	47
CarAnox_mtb2_921	186
CarAnox_mtb2_103	96
CarAnox_mtb2_952	240408
CarAnox_mtb2_1151	315
CarAnox_mtb2_1243	55
CarAnox_mtb2_646	20
CarAnox_mtb2_974	71
CarAnox_mtb2_670	77
CarAnox_mtb2_1504	137
CarAnox_mtb2_933	14
CarAnox_mtb2_861	27
CarAnox_mtb2_1037	645
CarAnox_mtb2_648	46
CarAnox_mtb2_1224	262
CarAnox_mtb2_45	150
CarAnox_mtb2_982	35
CarAnox_mtb2_1588	144
CarAnox_mtb2_422	254
CarAnox_mtb2_163	32
CarAnox_mtb2_289	206
CarAnox_mtb2_1148	1736
CarAnox_mtb2_1262	139
CarAnox_mtb2_254	215
CarAnox_mtb2_28	52
CarAnox_mtb2_1301	148
CarAnox_mtb2_1289	129
CarAnox_mtb2_395	521490
CarAnox_mtb2_1305	9
CarAnox_mtb2_81	35128
CarAnox_mtb2_724	126
CarAnox_mtb2_331	1745
CarAnox_mtb2_758	9
CarAnox_mtb2_1566	305
CarAnox_mtb2_723	50
CarAnox_mtb2_1469	213
CarAnox_mtb2_1276	49
CarAnox_mtb2_1526	323
CarAnox_mtb2_529	26
CarAnox_mtb2_1100	103
CarAnox_mtb2_239	6
CarAnox_mtb2_589	39
CarAnox_mtb2_826	72
CarAnox_mtb2_1610	35
CarAnox_mtb2_656	55
CarAnox_mtb2_1540	12422
CarAnox_mtb2_1036	103
CarAnox_mtb2_1014	652
CarAnox_mtb2_1544	15
CarAnox_mtb2_1584	13
CarAnox_mtb2_1502	21
CarAnox_mtb2_729	312
CarAnox_mtb2_927	62222
CarAnox_mtb2_315	10939
CarAnox_mtb2_102	241
CarAnox_mtb2_1173	77
CarAnox_mtb2_1215	59
CarAnox_mtb2_245	12
CarAnox_mtb2_1108	40
CarAnox_mtb2_34	45
CarAnox_mtb2_815	165
CarAnox_mtb2_1121	21
CarAnox_mtb2_1583	546165
CarAnox_mtb2_1636	69
CarAnox_mtb2_1252	6
CarAnox_mtb2_507	10
CarAnox_mtb2_1463	33
CarAnox_mtb2_554	32
CarAnox_mtb2_1365	131
CarAnox_mtb2_564	5037
CarAnox_mtb2_774	18449
CarAnox_mtb2_486	90
CarAnox_mtb2_811	38
CarAnox_mtb2_661	92
CarAnox_mtb2_1208	6398
CarAnox_mtb2_1369	266985
CarAnox_mtb2_2	1085362
CarAnox_mtb2_1188	262
CarAnox_mtb2_790	558
CarAnox_mtb2_1389	18
CarAnox_mtb2_186	93
CarAnox_mtb2_268	75
CarAnox_mtb2_68	36
CarAnox_mtb2_1039	39
CarAnox_mtb2_215	284
CarAnox_mtb2_782	614
CarAnox_mtb2_1285	88
CarAnox_mtb2_1408	108
CarAnox_mtb2_122	84
CarAnox_mtb2_791	77
CarAnox_mtb2_1279	626
CarAnox_mtb2_120	32
CarAnox_mtb2_375	118
CarAnox_mtb2_1071	12
CarAnox_mtb2_1499	98
CarAnox_mtb2_1178	30
CarAnox_mtb2_171	128
CarAnox_mtb2_620	3793
CarAnox_mtb2_48	73
CarAnox_mtb2_435	8
CarAnox_mtb2_1454	142
CarAnox_mtb2_190	57
CarAnox_mtb2_890	24
CarAnox_mtb2_304	71
CarAnox_mtb2_1607	77
CarAnox_mtb2_16	660788
CarAnox_mtb2_912	346
CarAnox_mtb2_1016	4
CarAnox_mtb2_265	102
CarAnox_mtb2_857	89
CarAnox_mtb2_755	525
CarAnox_mtb2_1167	30
CarAnox_mtb2_341	44
CarAnox_mtb2_1374	17
CarAnox_mtb2_867	318
CarAnox_mtb2_18	2
CarAnox_mtb2_101	31
CarAnox_mtb2_583	38
CarAnox_mtb2_530	12
CarAnox_mtb2_1194	2059
CarAnox_mtb2_560	13
CarAnox_mtb2_737	20
CarAnox_mtb2_302	180
CarAnox_mtb2_1630	10
CarAnox_mtb2_1535	320
CarAnox_mtb2_181	19164
CarAnox_mtb2_691	185
CarAnox_mtb2_669	11
CarAnox_mtb2_1441	1285
CarAnox_mtb2_721	95
CarAnox_mtb2_1655	44
CarAnox_mtb2_430	43
CarAnox_mtb2_567	76
CarAnox_mtb2_931	46
CarAnox_mtb2_1288	57
CarAnox_mtb2_1201	32
CarAnox_mtb2_1010	49892
CarAnox_mtb2_1618	61
CarAnox_mtb2_970	77
CarAnox_mtb2_1431	110
CarAnox_mtb2_671	55
CarAnox_mtb2_1601	6
CarAnox_mtb2_663	224
CarAnox_mtb2_1123	22
CarAnox_mtb2_972	856
CarAnox_mtb2_352	11797
CarAnox_mtb2_722	135
CarAnox_mtb2_329	159
CarAnox_mtb2_1638	181
CarAnox_mtb2_599	134
CarAnox_mtb2_872	119
CarAnox_mtb2_1531	63
CarAnox_mtb2_779	31
CarAnox_mtb2_672	1776580
CarAnox_mtb2_1249	39
CarAnox_mtb2_631	733
CarAnox_mtb2_756	84
CarAnox_mtb2_1366	84
CarAnox_mtb2_115	397
CarAnox_mtb2_193	2879
CarAnox_mtb2_846	199
CarAnox_mtb2_189	29
CarAnox_mtb2_1190	13072
CarAnox_mtb2_957	8782
CarAnox_mtb2_1506	155
CarAnox_mtb2_1606	174
CarAnox_mtb2_1350	79
CarAnox_mtb2_196	230
CarAnox_mtb2_610	420
CarAnox_mtb2_1384	800
CarAnox_mtb2_1543	8
CarAnox_mtb2_1116	189
CarAnox_mtb2_879	237
CarAnox_mtb2_15	98
CarAnox_mtb2_1271	202
CarAnox_mtb2_1239	1269
CarAnox_mtb2_770	148
CarAnox_mtb2_1534	110
CarAnox_mtb2_586	48
CarAnox_mtb2_545	342678
CarAnox_mtb2_650	27
CarAnox_mtb2_112	330
CarAnox_mtb2_1363	183
CarAnox_mtb2_419	178
CarAnox_mtb2_629	136
CarAnox_mtb2_1512	55
CarAnox_mtb2_1092	12464
CarAnox_mtb2_347	3183
CarAnox_mtb2_914	46
CarAnox_mtb2_1089	152
