Genome	D2b267B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	40805
CarAnox_mtb2_1542	247
CarAnox_mtb2_1515	85
CarAnox_mtb2_211	43373120
CarAnox_mtb2_485	28
CarAnox_mtb2_46	7497
CarAnox_mtb2_1170	2936765
CarAnox_mtb2_293	3398
CarAnox_mtb2_638	31
CarAnox_mtb2_1548	43892
CarAnox_mtb2_1024	427
CarAnox_mtb2_1251	7771
CarAnox_mtb2_1113	33
CarAnox_mtb2_1099	215
CarAnox_mtb2_921	1427
CarAnox_mtb2_103	3247
CarAnox_mtb2_952	4780
CarAnox_mtb2_1151	10908
CarAnox_mtb2_1243	1565
CarAnox_mtb2_646	1537
CarAnox_mtb2_974	195
CarAnox_mtb2_670	106
CarAnox_mtb2_1504	13813
CarAnox_mtb2_933	28
CarAnox_mtb2_861	36
CarAnox_mtb2_1037	45925
CarAnox_mtb2_648	73
CarAnox_mtb2_1224	1090
CarAnox_mtb2_45	2579
CarAnox_mtb2_982	227
CarAnox_mtb2_1588	1048
CarAnox_mtb2_422	12498
CarAnox_mtb2_163	90
CarAnox_mtb2_289	61783
CarAnox_mtb2_1148	96411
CarAnox_mtb2_1262	2103
CarAnox_mtb2_254	756
CarAnox_mtb2_28	4986
CarAnox_mtb2_1301	7990
CarAnox_mtb2_1289	13047
CarAnox_mtb2_395	13292
CarAnox_mtb2_1305	60
CarAnox_mtb2_81	1683388
CarAnox_mtb2_724	73
CarAnox_mtb2_331	1254
CarAnox_mtb2_758	274
CarAnox_mtb2_1566	16251
CarAnox_mtb2_723	17813
CarAnox_mtb2_1469	1119
CarAnox_mtb2_1276	36
CarAnox_mtb2_1526	8138
CarAnox_mtb2_529	35
CarAnox_mtb2_1100	4072
CarAnox_mtb2_239	12
CarAnox_mtb2_589	258
CarAnox_mtb2_826	444
CarAnox_mtb2_1610	161
CarAnox_mtb2_656	21
CarAnox_mtb2_1540	102442
CarAnox_mtb2_1036	23
CarAnox_mtb2_1014	3023
CarAnox_mtb2_1544	18
CarAnox_mtb2_1584	35
CarAnox_mtb2_1502	37
CarAnox_mtb2_729	4298
CarAnox_mtb2_927	1263
CarAnox_mtb2_315	1595
CarAnox_mtb2_102	74
CarAnox_mtb2_1173	444
CarAnox_mtb2_1215	216
CarAnox_mtb2_245	29
CarAnox_mtb2_1108	56
CarAnox_mtb2_34	120
CarAnox_mtb2_815	2658
CarAnox_mtb2_1121	23848
CarAnox_mtb2_1583	50433
CarAnox_mtb2_1636	57578
CarAnox_mtb2_1252	26
CarAnox_mtb2_507	53
CarAnox_mtb2_1463	19
CarAnox_mtb2_554	600
CarAnox_mtb2_1365	1274
CarAnox_mtb2_564	1080
CarAnox_mtb2_774	90044
CarAnox_mtb2_486	10635
CarAnox_mtb2_811	13
CarAnox_mtb2_661	49
CarAnox_mtb2_1208	4315126
CarAnox_mtb2_1369	77188
CarAnox_mtb2_2	2299
CarAnox_mtb2_1188	70195
CarAnox_mtb2_790	69956
CarAnox_mtb2_1389	32704
CarAnox_mtb2_186	20
CarAnox_mtb2_268	768
CarAnox_mtb2_68	151355
CarAnox_mtb2_1039	296
CarAnox_mtb2_215	32092
CarAnox_mtb2_782	640
CarAnox_mtb2_1285	2570
CarAnox_mtb2_1408	109
CarAnox_mtb2_122	55
CarAnox_mtb2_791	524
CarAnox_mtb2_1279	6239
CarAnox_mtb2_120	135
CarAnox_mtb2_375	3427
CarAnox_mtb2_1071	20
CarAnox_mtb2_1499	170
CarAnox_mtb2_1178	47
CarAnox_mtb2_171	44426
CarAnox_mtb2_620	4052
CarAnox_mtb2_48	295
CarAnox_mtb2_435	144
CarAnox_mtb2_1454	28
CarAnox_mtb2_190	797
CarAnox_mtb2_890	23
CarAnox_mtb2_304	69
CarAnox_mtb2_1607	1567
CarAnox_mtb2_16	5732222
CarAnox_mtb2_912	9694
CarAnox_mtb2_1016	291
CarAnox_mtb2_265	912
CarAnox_mtb2_857	2221
CarAnox_mtb2_755	19129
CarAnox_mtb2_1167	237
CarAnox_mtb2_341	872
CarAnox_mtb2_1374	20
CarAnox_mtb2_867	2030
CarAnox_mtb2_18	5
CarAnox_mtb2_101	495
CarAnox_mtb2_583	3419
CarAnox_mtb2_530	11
CarAnox_mtb2_1194	344454
CarAnox_mtb2_560	70
CarAnox_mtb2_737	8
CarAnox_mtb2_302	1290
CarAnox_mtb2_1630	9
CarAnox_mtb2_1535	26257
CarAnox_mtb2_181	35268
CarAnox_mtb2_691	2647
CarAnox_mtb2_669	30
CarAnox_mtb2_1441	76045
CarAnox_mtb2_721	905
CarAnox_mtb2_1655	1990
CarAnox_mtb2_430	3350
CarAnox_mtb2_567	572
CarAnox_mtb2_931	78
CarAnox_mtb2_1288	136
CarAnox_mtb2_1201	2581
CarAnox_mtb2_1010	6600
CarAnox_mtb2_1618	312
CarAnox_mtb2_970	633
CarAnox_mtb2_1431	1129
CarAnox_mtb2_671	91
CarAnox_mtb2_1601	4
CarAnox_mtb2_663	462
CarAnox_mtb2_1123	40
