Genome	D2a247B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	16749
CarAnox_mtb2_1542	325
CarAnox_mtb2_1515	846
CarAnox_mtb2_211	35725492
CarAnox_mtb2_485	64
CarAnox_mtb2_46	12969
CarAnox_mtb2_1170	3315851
CarAnox_mtb2_293	3609
CarAnox_mtb2_638	31
CarAnox_mtb2_1548	41712
CarAnox_mtb2_1024	348
CarAnox_mtb2_1251	5996
CarAnox_mtb2_1113	77
CarAnox_mtb2_1099	383
CarAnox_mtb2_921	5512
CarAnox_mtb2_103	3153
CarAnox_mtb2_952	5288
CarAnox_mtb2_1151	15080
CarAnox_mtb2_1243	815
CarAnox_mtb2_646	1468
CarAnox_mtb2_974	322
CarAnox_mtb2_670	80
CarAnox_mtb2_1504	13877
CarAnox_mtb2_933	91
CarAnox_mtb2_861	89
CarAnox_mtb2_1037	97029
CarAnox_mtb2_648	187
CarAnox_mtb2_1224	2712
CarAnox_mtb2_45	4205
CarAnox_mtb2_982	118
CarAnox_mtb2_1588	1171
CarAnox_mtb2_422	12184
CarAnox_mtb2_163	212
CarAnox_mtb2_289	25965
CarAnox_mtb2_1148	106801
CarAnox_mtb2_1262	5899
CarAnox_mtb2_254	513
CarAnox_mtb2_28	10427
CarAnox_mtb2_1301	18881
CarAnox_mtb2_1289	5084
CarAnox_mtb2_395	38846
CarAnox_mtb2_1305	46
CarAnox_mtb2_81	1645450
CarAnox_mtb2_724	70
CarAnox_mtb2_331	9800
CarAnox_mtb2_758	194
CarAnox_mtb2_1566	13253
CarAnox_mtb2_723	25068
CarAnox_mtb2_1469	1643
CarAnox_mtb2_1276	43
CarAnox_mtb2_1526	8075
CarAnox_mtb2_529	73
CarAnox_mtb2_1100	3692
CarAnox_mtb2_239	9
CarAnox_mtb2_589	733
CarAnox_mtb2_826	687
CarAnox_mtb2_1610	266
CarAnox_mtb2_656	26
CarAnox_mtb2_1540	82781
CarAnox_mtb2_1036	44
CarAnox_mtb2_1014	8429
CarAnox_mtb2_1544	23
CarAnox_mtb2_1584	29
CarAnox_mtb2_1502	49
CarAnox_mtb2_729	4848
CarAnox_mtb2_927	1268
CarAnox_mtb2_315	5148
CarAnox_mtb2_102	243
CarAnox_mtb2_1173	247
CarAnox_mtb2_1215	12162
CarAnox_mtb2_245	19
CarAnox_mtb2_1108	50
CarAnox_mtb2_34	470
CarAnox_mtb2_815	2550
CarAnox_mtb2_1121	43625
CarAnox_mtb2_1583	90277
CarAnox_mtb2_1636	39264
CarAnox_mtb2_1252	32
CarAnox_mtb2_507	100
CarAnox_mtb2_1463	105
CarAnox_mtb2_554	445
CarAnox_mtb2_1365	813
CarAnox_mtb2_564	5107
CarAnox_mtb2_774	118379
CarAnox_mtb2_486	8498
CarAnox_mtb2_811	57
CarAnox_mtb2_661	41
CarAnox_mtb2_1208	3982064
CarAnox_mtb2_1369	180079
CarAnox_mtb2_2	1451
CarAnox_mtb2_1188	133473
CarAnox_mtb2_790	64898
CarAnox_mtb2_1389	98951
CarAnox_mtb2_186	47
CarAnox_mtb2_268	1104
CarAnox_mtb2_68	114666
CarAnox_mtb2_1039	609
CarAnox_mtb2_215	50414
CarAnox_mtb2_782	2353
CarAnox_mtb2_1285	5658
CarAnox_mtb2_1408	145
CarAnox_mtb2_122	73
CarAnox_mtb2_791	1290
CarAnox_mtb2_1279	17093
CarAnox_mtb2_120	176
CarAnox_mtb2_375	3673
CarAnox_mtb2_1071	12
CarAnox_mtb2_1499	171
CarAnox_mtb2_1178	81
CarAnox_mtb2_171	26494
CarAnox_mtb2_620	3810
CarAnox_mtb2_48	578
CarAnox_mtb2_435	346
CarAnox_mtb2_1454	550
CarAnox_mtb2_190	5653
CarAnox_mtb2_890	22
CarAnox_mtb2_304	73
CarAnox_mtb2_1607	1726
CarAnox_mtb2_16	7328553
CarAnox_mtb2_912	52748
CarAnox_mtb2_1016	417
CarAnox_mtb2_265	7360
CarAnox_mtb2_857	1494
CarAnox_mtb2_755	19997
CarAnox_mtb2_1167	666
CarAnox_mtb2_341	1582
CarAnox_mtb2_1374	37
CarAnox_mtb2_867	4470
CarAnox_mtb2_18	9
CarAnox_mtb2_101	1673
CarAnox_mtb2_583	7978
CarAnox_mtb2_530	16
CarAnox_mtb2_1194	220807
CarAnox_mtb2_560	55
CarAnox_mtb2_737	8
CarAnox_mtb2_302	3987
CarAnox_mtb2_1630	7
CarAnox_mtb2_1535	59724
CarAnox_mtb2_181	30818
CarAnox_mtb2_691	1735
CarAnox_mtb2_669	45
CarAnox_mtb2_1441	32905
CarAnox_mtb2_721	1517
CarAnox_mtb2_1655	2194
CarAnox_mtb2_430	6963
CarAnox_mtb2_567	446
CarAnox_mtb2_931	178
CarAnox_mtb2_1288	151
CarAnox_mtb2_1201	6664
CarAnox_mtb2_1010	5027
CarAnox_mtb2_1618	1877
CarAnox_mtb2_970	548
CarAnox_mtb2_1431	1069
CarAnox_mtb2_671	65
CarAnox_mtb2_1601	6
CarAnox_mtb2_663	984
CarAnox_mtb2_1123	28
CarAnox_mtb2_972	10856
CarAnox_mtb2_352	865718
CarAnox_mtb2_722	5561
CarAnox_mtb2_329	1380
CarAnox_mtb2_1638	332
CarAnox_mtb2_599	86761
CarAnox_mtb2_872	319
CarAnox_mtb2_1531	440
CarAnox_mtb2_779	41
CarAnox_mtb2_672	291796
CarAnox_mtb2_1249	2704
CarAnox_mtb2_631	3933
CarAnox_mtb2_756	6421
CarAnox_mtb2_1366	1635
CarAnox_mtb2_115	37447
CarAnox_mtb2_193	57401
CarAnox_mtb2_846	27959
CarAnox_mtb2_189	106463
CarAnox_mtb2_1190	47717
CarAnox_mtb2_957	251607
CarAnox_mtb2_1506	1398
CarAnox_mtb2_1606	43842
CarAnox_mtb2_1350	25209
CarAnox_mtb2_196	14627
CarAnox_mtb2_610	13746
CarAnox_mtb2_1384	14032
CarAnox_mtb2_1543	56
CarAnox_mtb2_1116	153
CarAnox_mtb2_879	3208
CarAnox_mtb2_15	587
CarAnox_mtb2_1271	16010
CarAnox_mtb2_1239	1012
CarAnox_mtb2_770	353
CarAnox_mtb2_1534	167346
CarAnox_mtb2_586	2561
CarAnox_mtb2_545	149150
CarAnox_mtb2_650	28689
CarAnox_mtb2_112	1955
CarAnox_mtb2_1363	10411
CarAnox_mtb2_419	6279
CarAnox_mtb2_629	1709
CarAnox_mtb2_1512	141790
CarAnox_mtb2_1092	104899
CarAnox_mtb2_347	225735
CarAnox_mtb2_914	1571
CarAnox_mtb2_1089	5576
CarAnox_mtb2_945	3623708
CarAnox_mtb2_697	60
CarAnox_mtb2_658	44
CarAnox_mtb2_403	98
CarAnox_mtb2_3	4285
CarAnox_mtb2_598	111
CarAnox_mtb2_495	1968
CarAnox_mtb2_220	509
CarAnox_mtb2_224	13099
CarAnox_mtb2_1628	7577
CarAnox_mtb2_262	181
CarAnox_mtb2_117	787
CarAnox_mtb2_810	1107
CarAnox_mtb2_685	22272
CarAnox_mtb2_1056	70
CarAnox_mtb2_1647	2184
CarAnox_mtb2_22	19511
CarAnox_mtb2_291	49980
CarAnox_mtb2_690	12537
CarAnox_mtb2_538	142378
CarAnox_mtb2_623	102
CarAnox_mtb2_207	53
CarAnox_mtb2_771	632
CarAnox_mtb2_539	360
CarAnox_mtb2_1421	813
CarAnox_mtb2_777	546
CarAnox_mtb2_27	1305
CarAnox_mtb2_316	41
CarAnox_mtb2_114	175
CarAnox_mtb2_1098	1631
CarAnox_mtb2_1316	490194
CarAnox_mtb2_1367	18479
CarAnox_mtb2_662	12463
CarAnox_mtb2_547	3178
CarAnox_mtb2_24	22090
CarAnox_mtb2_611	701
CarAnox_mtb2_1524	10482
CarAnox_mtb2_63	163
CarAnox_mtb2_1627	986
CarAnox_mtb2_1437	18477
CarAnox_mtb2_657	265
CarAnox_mtb2_1075	200
CarAnox_mtb2_573	3922
CarAnox_mtb2_613	68
CarAnox_mtb2_651	1533
CarAnox_mtb2_183	81
CarAnox_mtb2_772	11459
CarAnox_mtb2_314	11568
CarAnox_mtb2_1242	7918
CarAnox_mtb2_386	18058
CarAnox_mtb2_503	66
CarAnox_mtb2_1219	429
CarAnox_mtb2_1576	106803
CarAnox_mtb2_1299	115756
CarAnox_mtb2_242	40633
CarAnox_mtb2_754	763
CarAnox_mtb2_236	849
CarAnox_mtb2_470	70
CarAnox_mtb2_1286	3303
CarAnox_mtb2_753	113016
CarAnox_mtb2_604	1472
CarAnox_mtb2_51	67
CarAnox_mtb2_335	394118
CarAnox_mtb2_548	431
CarAnox_mtb2_652	255293
CarAnox_mtb2_757	10721
CarAnox_mtb2_712	6086
CarAnox_mtb2_1130	4
CarAnox_mtb2_1359	29078
CarAnox_mtb2_916	10126
CarAnox_mtb2_1050	2903
CarAnox_mtb2_1155	28
CarAnox_mtb2_317	1608
CarAnox_mtb2_544	3880209
CarAnox_mtb2_1527	9236
CarAnox_mtb2_1400	1625
CarAnox_mtb2_1179	77
CarAnox_mtb2_1083	1452
CarAnox_mtb2_78	83128
CarAnox_mtb2_20	151933
CarAnox_mtb2_379	660
CarAnox_mtb2_955	2813
CarAnox_mtb2_490	12891
CarAnox_mtb2_841	95832
CarAnox_mtb2_1250	16800
CarAnox_mtb2_893	57
CarAnox_mtb2_601	3245
CarAnox_mtb2_552	1304
CarAnox_mtb2_832	2969
CarAnox_mtb2_880	31863
CarAnox_mtb2_1521	81
CarAnox_mtb2_94	14234
CarAnox_mtb2_226	704
CarAnox_mtb2_1117	907488
CarAnox_mtb2_1388	19
CarAnox_mtb2_561	1124
CarAnox_mtb2_453	365
CarAnox_mtb2_1478	584
CarAnox_mtb2_21	7851
CarAnox_mtb2_803	1748341
CarAnox_mtb2_775	1170
CarAnox_mtb2_606	261
CarAnox_mtb2_1681	3317
CarAnox_mtb2_748	484
CarAnox_mtb2_38	1722
CarAnox_mtb2_180	33125
CarAnox_mtb2_925	434
CarAnox_mtb2_420	0
CarAnox_mtb2_1549	49195
CarAnox_mtb2_1684	28796
CarAnox_mtb2_591	10338
CarAnox_mtb2_1079	4312
CarAnox_mtb2_983	553259
CarAnox_mtb2_1171	409
CarAnox_mtb2_62	725
CarAnox_mtb2_885	104828
CarAnox_mtb2_563	483
CarAnox_mtb2_1508	554
CarAnox_mtb2_1007	3949
CarAnox_mtb2_1413	439
CarAnox_mtb2_923	8217
CarAnox_mtb2_1033	104
CarAnox_mtb2_628	10717
CarAnox_mtb2_214	98
CarAnox_mtb2_1432	306
CarAnox_mtb2_32	3435
CarAnox_mtb2_742	209
CarAnox_mtb2_864	169974
CarAnox_mtb2_1554	36
CarAnox_mtb2_1372	6
CarAnox_mtb2_330	160
CarAnox_mtb2_1371	2143
CarAnox_mtb2_1605	17054
CarAnox_mtb2_718	112
CarAnox_mtb2_751	432
CarAnox_mtb2_1593	33389
CarAnox_mtb2_13	42825
CarAnox_mtb2_1414	1405
CarAnox_mtb2_979	77077
CarAnox_mtb2_688	17878
CarAnox_mtb2_86	46
CarAnox_mtb2_198	1775
CarAnox_mtb2_522	945
CarAnox_mtb2_504	542
CarAnox_mtb2_732	353
CarAnox_mtb2_975	162521
CarAnox_mtb2_692	18903
CarAnox_mtb2_895	3066
CarAnox_mtb2_1322	51973
CarAnox_mtb2_1003	1846
CarAnox_mtb2_1433	7061
CarAnox_mtb2_854	281
CarAnox_mtb2_1067	170
CarAnox_mtb2_1254	194
CarAnox_mtb2_109	251746
CarAnox_mtb2_1131	3298
CarAnox_mtb2_956	95
CarAnox_mtb2_1507	2505117
CarAnox_mtb2_862	121
CarAnox_mtb2_907	1304
CarAnox_mtb2_1569	198401
CarAnox_mtb2_1015	102
CarAnox_mtb2_1428	13463
CarAnox_mtb2_1226	393
CarAnox_mtb2_481	28
CarAnox_mtb2_151	864
CarAnox_mtb2_334	4047
CarAnox_mtb2_1465	30247
CarAnox_mtb2_937	100
CarAnox_mtb2_76	4327
CarAnox_mtb2_524	874
CarAnox_mtb2_1334	818
CarAnox_mtb2_1183	255
CarAnox_mtb2_459	1203
CarAnox_mtb2_743	855
CarAnox_mtb2_1429	7349
CarAnox_mtb2_14	9656
CarAnox_mtb2_1320	187617
CarAnox_mtb2_336	132346
CarAnox_mtb2_1562	10991
CarAnox_mtb2_213	340100
CarAnox_mtb2_83	149
CarAnox_mtb2_164	1546
CarAnox_mtb2_313	50923
CarAnox_mtb2_400	1191
CarAnox_mtb2_421	209
CarAnox_mtb2_1600	84346
CarAnox_mtb2_888	2250
CarAnox_mtb2_1536	813
CarAnox_mtb2_1101	74
CarAnox_mtb2_707	222950
CarAnox_mtb2_153	48
CarAnox_mtb2_786	10507
CarAnox_mtb2_206	8087
CarAnox_mtb2_557	35
CarAnox_mtb2_349	23071
CarAnox_mtb2_1053	487
CarAnox_mtb2_301	941
CarAnox_mtb2_809	42025
CarAnox_mtb2_1556	3089
CarAnox_mtb2_128	3283
CarAnox_mtb2_1446	605
CarAnox_mtb2_1552	9631
CarAnox_mtb2_1559	49612
CarAnox_mtb2_1679	15726
CarAnox_mtb2_1425	1654
CarAnox_mtb2_516	151
CarAnox_mtb2_941	9911
CarAnox_mtb2_828	838
CarAnox_mtb2_739	15498
CarAnox_mtb2_1274	12932
CarAnox_mtb2_30	472
CarAnox_mtb2_750	11561
CarAnox_mtb2_608	1684
CarAnox_mtb2_572	2902
CarAnox_mtb2_1146	4282
CarAnox_mtb2_1398	14234
CarAnox_mtb2_596	50
CarAnox_mtb2_243	4192
CarAnox_mtb2_1149	861
CarAnox_mtb2_361	134
CarAnox_mtb2_938	221
CarAnox_mtb2_908	332805
CarAnox_mtb2_121	6519
CarAnox_mtb2_713	38
CarAnox_mtb2_1080	149
CarAnox_mtb2_781	30003
CarAnox_mtb2_798	3643
CarAnox_mtb2_1422	379
CarAnox_mtb2_996	115123
CarAnox_mtb2_535	80
CarAnox_mtb2_1253	552
CarAnox_mtb2_715	49
CarAnox_mtb2_621	3427
CarAnox_mtb2_1042	719
CarAnox_mtb2_614	32843
CarAnox_mtb2_1447	128516
CarAnox_mtb2_116	77109
CarAnox_mtb2_244	38
CarAnox_mtb2_704	319
CarAnox_mtb2_492	1730034
CarAnox_mtb2_1352	76
CarAnox_mtb2_768	37
CarAnox_mtb2_853	15545
CarAnox_mtb2_31	646
CarAnox_mtb2_464	228
