Genome	D2b900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1363	112
CarAnox_mtb2_419	766
CarAnox_mtb2_629	45967
CarAnox_mtb2_1512	945
CarAnox_mtb2_1092	1390209
CarAnox_mtb2_347	80
CarAnox_mtb2_914	4346
CarAnox_mtb2_1089	69054
CarAnox_mtb2_945	1744
CarAnox_mtb2_697	141034
CarAnox_mtb2_658	42333
CarAnox_mtb2_403	859038
CarAnox_mtb2_3	570420
CarAnox_mtb2_598	108369
CarAnox_mtb2_495	4915
CarAnox_mtb2_220	191455
CarAnox_mtb2_224	112
CarAnox_mtb2_1628	37979
CarAnox_mtb2_262	154072
CarAnox_mtb2_117	36714
CarAnox_mtb2_810	1156
CarAnox_mtb2_685	52
CarAnox_mtb2_1056	239832
CarAnox_mtb2_1647	22680
CarAnox_mtb2_22	385
CarAnox_mtb2_291	46
CarAnox_mtb2_690	37
CarAnox_mtb2_538	37
CarAnox_mtb2_623	93666
CarAnox_mtb2_207	13124
CarAnox_mtb2_771	6087
CarAnox_mtb2_539	296056
CarAnox_mtb2_1421	84461
CarAnox_mtb2_777	4316
CarAnox_mtb2_27	103
CarAnox_mtb2_316	4523
CarAnox_mtb2_114	19192
CarAnox_mtb2_1098	303
CarAnox_mtb2_1316	5525
CarAnox_mtb2_1367	264
CarAnox_mtb2_662	230
CarAnox_mtb2_547	599186
CarAnox_mtb2_24	542595
CarAnox_mtb2_611	353836
CarAnox_mtb2_1524	13781
CarAnox_mtb2_63	13775
CarAnox_mtb2_1627	467040
CarAnox_mtb2_1437	29
CarAnox_mtb2_657	250854
CarAnox_mtb2_1075	137124
CarAnox_mtb2_573	39815
CarAnox_mtb2_613	507674
CarAnox_mtb2_651	98839
CarAnox_mtb2_183	7374
CarAnox_mtb2_772	134
CarAnox_mtb2_314	92
CarAnox_mtb2_1242	28899
CarAnox_mtb2_386	18589
CarAnox_mtb2_503	226619
CarAnox_mtb2_1219	650872
CarAnox_mtb2_1576	12960
CarAnox_mtb2_1299	9450
CarAnox_mtb2_242	349
CarAnox_mtb2_754	215620
CarAnox_mtb2_236	302087
CarAnox_mtb2_470	48155
CarAnox_mtb2_1286	1664
CarAnox_mtb2_753	80
CarAnox_mtb2_604	2195
CarAnox_mtb2_51	376525
CarAnox_mtb2_335	109
CarAnox_mtb2_548	31593
CarAnox_mtb2_652	3607939
CarAnox_mtb2_757	448
CarAnox_mtb2_712	239440
CarAnox_mtb2_1130	34258
CarAnox_mtb2_1359	5058
CarAnox_mtb2_916	370
CarAnox_mtb2_1050	149335
CarAnox_mtb2_1155	259395
CarAnox_mtb2_317	17132
CarAnox_mtb2_544	2545
CarAnox_mtb2_1527	4687
CarAnox_mtb2_1400	43511
CarAnox_mtb2_1179	171061
CarAnox_mtb2_1083	31001
CarAnox_mtb2_78	5040
CarAnox_mtb2_20	9873
CarAnox_mtb2_379	19107
CarAnox_mtb2_955	49918
CarAnox_mtb2_490	18
CarAnox_mtb2_841	3675
CarAnox_mtb2_1250	1121
CarAnox_mtb2_893	44315
CarAnox_mtb2_601	11224
CarAnox_mtb2_552	158948
CarAnox_mtb2_832	54475
CarAnox_mtb2_880	55908
CarAnox_mtb2_1521	1774036
CarAnox_mtb2_94	360
CarAnox_mtb2_226	1963
CarAnox_mtb2_1117	184
CarAnox_mtb2_1388	162690
CarAnox_mtb2_561	4853
CarAnox_mtb2_453	178306
CarAnox_mtb2_1478	3388
CarAnox_mtb2_21	358
CarAnox_mtb2_803	21364
CarAnox_mtb2_775	171831
CarAnox_mtb2_606	60861
CarAnox_mtb2_1681	625
CarAnox_mtb2_748	10315
CarAnox_mtb2_38	35519
CarAnox_mtb2_180	1816
CarAnox_mtb2_925	175668
CarAnox_mtb2_420	49482
CarAnox_mtb2_1549	138407
CarAnox_mtb2_1684	436632
CarAnox_mtb2_591	190388
CarAnox_mtb2_1079	126389
CarAnox_mtb2_983	26111
CarAnox_mtb2_1171	115243
CarAnox_mtb2_62	22291
CarAnox_mtb2_885	164
CarAnox_mtb2_563	702349
CarAnox_mtb2_1508	89093
CarAnox_mtb2_1007	4553
CarAnox_mtb2_1413	23790
CarAnox_mtb2_923	834
CarAnox_mtb2_1033	316178
CarAnox_mtb2_628	88
CarAnox_mtb2_214	27226
CarAnox_mtb2_1432	116199
CarAnox_mtb2_32	17680
CarAnox_mtb2_742	34922
CarAnox_mtb2_864	357
CarAnox_mtb2_1554	76010
CarAnox_mtb2_1372	103353
CarAnox_mtb2_330	20595
CarAnox_mtb2_1371	72514
CarAnox_mtb2_1605	26414
CarAnox_mtb2_718	10754
CarAnox_mtb2_751	134713
CarAnox_mtb2_1593	1170438
CarAnox_mtb2_13	192
CarAnox_mtb2_1414	64546
CarAnox_mtb2_979	1038
CarAnox_mtb2_688	482
CarAnox_mtb2_86	58958
CarAnox_mtb2_198	706
CarAnox_mtb2_522	273393
