Genome	D2a143B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	1098
CarAnox_mtb2_1542	130
CarAnox_mtb2_1515	45
CarAnox_mtb2_211	138629
CarAnox_mtb2_485	215
CarAnox_mtb2_46	45
CarAnox_mtb2_1170	116415
CarAnox_mtb2_293	1266771
CarAnox_mtb2_638	60
CarAnox_mtb2_1548	6842
CarAnox_mtb2_1024	965
CarAnox_mtb2_1251	28
CarAnox_mtb2_1113	38
CarAnox_mtb2_1099	169
CarAnox_mtb2_921	549
CarAnox_mtb2_103	28
CarAnox_mtb2_952	1224875
CarAnox_mtb2_1151	661
CarAnox_mtb2_1243	23
CarAnox_mtb2_646	59
CarAnox_mtb2_974	38
CarAnox_mtb2_670	136
CarAnox_mtb2_1504	307
CarAnox_mtb2_933	40
CarAnox_mtb2_861	5
CarAnox_mtb2_1037	1529
CarAnox_mtb2_648	82
CarAnox_mtb2_1224	64
CarAnox_mtb2_45	78
CarAnox_mtb2_982	83
CarAnox_mtb2_1588	44
CarAnox_mtb2_422	215
CarAnox_mtb2_163	5
CarAnox_mtb2_289	266
CarAnox_mtb2_1148	2200
CarAnox_mtb2_1262	4
CarAnox_mtb2_254	863
CarAnox_mtb2_28	136
CarAnox_mtb2_1301	485
CarAnox_mtb2_1289	56
CarAnox_mtb2_395	1496903
CarAnox_mtb2_1305	32
CarAnox_mtb2_81	28643
CarAnox_mtb2_724	73
CarAnox_mtb2_331	1574
CarAnox_mtb2_758	26
CarAnox_mtb2_1566	63
CarAnox_mtb2_723	169
CarAnox_mtb2_1469	26
CarAnox_mtb2_1276	17
CarAnox_mtb2_1526	301
CarAnox_mtb2_529	64
CarAnox_mtb2_1100	17
CarAnox_mtb2_239	19
CarAnox_mtb2_589	83
CarAnox_mtb2_826	176
CarAnox_mtb2_1610	74
CarAnox_mtb2_656	10
CarAnox_mtb2_1540	8718
CarAnox_mtb2_1036	284
CarAnox_mtb2_1014	20
CarAnox_mtb2_1544	46
CarAnox_mtb2_1584	21
CarAnox_mtb2_1502	5
CarAnox_mtb2_729	329
CarAnox_mtb2_927	187936
CarAnox_mtb2_315	33444
CarAnox_mtb2_102	217
CarAnox_mtb2_1173	363
CarAnox_mtb2_1215	275
CarAnox_mtb2_245	40
CarAnox_mtb2_1108	28
CarAnox_mtb2_34	143
CarAnox_mtb2_815	122
CarAnox_mtb2_1121	112
CarAnox_mtb2_1583	3020316
CarAnox_mtb2_1636	80
CarAnox_mtb2_1252	18
CarAnox_mtb2_507	9
CarAnox_mtb2_1463	83
CarAnox_mtb2_554	85
CarAnox_mtb2_1365	114
CarAnox_mtb2_564	2254
CarAnox_mtb2_774	22473
CarAnox_mtb2_486	28
CarAnox_mtb2_811	137
CarAnox_mtb2_661	29
CarAnox_mtb2_1208	3387
CarAnox_mtb2_1369	628129
CarAnox_mtb2_2	5159250
CarAnox_mtb2_1188	781
CarAnox_mtb2_790	92
CarAnox_mtb2_1389	23
CarAnox_mtb2_186	335
CarAnox_mtb2_268	175
CarAnox_mtb2_68	110
CarAnox_mtb2_1039	15
CarAnox_mtb2_215	1378
CarAnox_mtb2_782	5263
CarAnox_mtb2_1285	26
CarAnox_mtb2_1408	46
CarAnox_mtb2_122	16
CarAnox_mtb2_791	23
CarAnox_mtb2_1279	35
CarAnox_mtb2_120	18
CarAnox_mtb2_375	32
CarAnox_mtb2_1071	23
CarAnox_mtb2_1499	100
CarAnox_mtb2_1178	7
CarAnox_mtb2_171	67
CarAnox_mtb2_620	11642
CarAnox_mtb2_48	14
CarAnox_mtb2_435	2
CarAnox_mtb2_1454	943
CarAnox_mtb2_190	197
CarAnox_mtb2_890	81
CarAnox_mtb2_304	11
CarAnox_mtb2_1607	143
CarAnox_mtb2_16	1799269
CarAnox_mtb2_912	97
CarAnox_mtb2_1016	37
CarAnox_mtb2_265	193
CarAnox_mtb2_857	65
CarAnox_mtb2_755	632
CarAnox_mtb2_1167	0
CarAnox_mtb2_341	69
CarAnox_mtb2_1374	39
CarAnox_mtb2_867	11
CarAnox_mtb2_18	1
CarAnox_mtb2_101	14
CarAnox_mtb2_583	64
CarAnox_mtb2_530	41
CarAnox_mtb2_1194	1148
CarAnox_mtb2_560	40
CarAnox_mtb2_737	10
CarAnox_mtb2_302	5
CarAnox_mtb2_1630	7
CarAnox_mtb2_1535	44
CarAnox_mtb2_181	68727
CarAnox_mtb2_691	81
CarAnox_mtb2_669	22
CarAnox_mtb2_1441	648
CarAnox_mtb2_721	221
CarAnox_mtb2_1655	52
CarAnox_mtb2_430	18
CarAnox_mtb2_567	39
CarAnox_mtb2_931	157
CarAnox_mtb2_1288	77
CarAnox_mtb2_1201	34
CarAnox_mtb2_1010	113075
CarAnox_mtb2_1618	187
CarAnox_mtb2_970	56
CarAnox_mtb2_1431	548
CarAnox_mtb2_671	30
CarAnox_mtb2_1601	12
CarAnox_mtb2_663	807
CarAnox_mtb2_1123	29
CarAnox_mtb2_972	485
CarAnox_mtb2_352	1268
CarAnox_mtb2_722	50
CarAnox_mtb2_329	656
