Genome	D2a200A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	465
CarAnox_mtb2_1542	814
CarAnox_mtb2_1515	934
CarAnox_mtb2_211	106631
CarAnox_mtb2_485	823
CarAnox_mtb2_46	27
CarAnox_mtb2_1170	57297
CarAnox_mtb2_293	43823
CarAnox_mtb2_638	536
CarAnox_mtb2_1548	6380
CarAnox_mtb2_1024	34
CarAnox_mtb2_1251	170
CarAnox_mtb2_1113	486
CarAnox_mtb2_1099	251
CarAnox_mtb2_921	11320
CarAnox_mtb2_103	73
CarAnox_mtb2_952	18664
CarAnox_mtb2_1151	7092
CarAnox_mtb2_1243	5
CarAnox_mtb2_646	533
CarAnox_mtb2_974	15
CarAnox_mtb2_670	691
CarAnox_mtb2_1504	4308
CarAnox_mtb2_933	355
CarAnox_mtb2_861	1
CarAnox_mtb2_1037	4580
CarAnox_mtb2_648	103
CarAnox_mtb2_1224	149
CarAnox_mtb2_45	145
CarAnox_mtb2_982	321
CarAnox_mtb2_1588	8
CarAnox_mtb2_422	66
CarAnox_mtb2_163	288
CarAnox_mtb2_289	443
CarAnox_mtb2_1148	1255
CarAnox_mtb2_1262	12
CarAnox_mtb2_254	170
CarAnox_mtb2_28	800
CarAnox_mtb2_1301	9569
CarAnox_mtb2_1289	61
CarAnox_mtb2_395	126608
CarAnox_mtb2_1305	107
CarAnox_mtb2_81	11319
CarAnox_mtb2_724	19
CarAnox_mtb2_331	943
CarAnox_mtb2_758	42
CarAnox_mtb2_1566	33
CarAnox_mtb2_723	1569
CarAnox_mtb2_1469	118
CarAnox_mtb2_1276	8
CarAnox_mtb2_1526	838
CarAnox_mtb2_529	401
CarAnox_mtb2_1100	543
CarAnox_mtb2_239	52
CarAnox_mtb2_589	612
CarAnox_mtb2_826	354
CarAnox_mtb2_1610	103
CarAnox_mtb2_656	4
CarAnox_mtb2_1540	4147
CarAnox_mtb2_1036	95
CarAnox_mtb2_1014	333
CarAnox_mtb2_1544	747
CarAnox_mtb2_1584	43
CarAnox_mtb2_1502	14
CarAnox_mtb2_729	86
CarAnox_mtb2_927	20678
CarAnox_mtb2_315	46303
CarAnox_mtb2_102	105350
CarAnox_mtb2_1173	565
CarAnox_mtb2_1215	1980
CarAnox_mtb2_245	250
CarAnox_mtb2_1108	7
CarAnox_mtb2_34	1782
CarAnox_mtb2_815	37
CarAnox_mtb2_1121	65
CarAnox_mtb2_1583	616068
CarAnox_mtb2_1636	227
CarAnox_mtb2_1252	109
CarAnox_mtb2_507	8
CarAnox_mtb2_1463	1089
CarAnox_mtb2_554	176
CarAnox_mtb2_1365	518
CarAnox_mtb2_564	368
CarAnox_mtb2_774	10208
CarAnox_mtb2_486	24
CarAnox_mtb2_811	3591
CarAnox_mtb2_661	9
CarAnox_mtb2_1208	6733
CarAnox_mtb2_1369	203298
CarAnox_mtb2_2	39788
CarAnox_mtb2_1188	2062
CarAnox_mtb2_790	383
CarAnox_mtb2_1389	311
CarAnox_mtb2_186	38436
CarAnox_mtb2_268	1392
CarAnox_mtb2_68	188
CarAnox_mtb2_1039	18
CarAnox_mtb2_215	1392
CarAnox_mtb2_782	3438
CarAnox_mtb2_1285	29
CarAnox_mtb2_1408	489
CarAnox_mtb2_122	38
CarAnox_mtb2_791	2
CarAnox_mtb2_1279	38
CarAnox_mtb2_120	38
CarAnox_mtb2_375	20
CarAnox_mtb2_1071	137
CarAnox_mtb2_1499	105
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	262
CarAnox_mtb2_620	926
CarAnox_mtb2_48	21
CarAnox_mtb2_435	161
CarAnox_mtb2_1454	189364
CarAnox_mtb2_190	723
CarAnox_mtb2_890	180
CarAnox_mtb2_304	6
CarAnox_mtb2_1607	220
CarAnox_mtb2_16	22105
CarAnox_mtb2_912	403
CarAnox_mtb2_1016	164
CarAnox_mtb2_265	18876
CarAnox_mtb2_857	90
CarAnox_mtb2_755	70
CarAnox_mtb2_1167	15
CarAnox_mtb2_341	45
CarAnox_mtb2_1374	7
CarAnox_mtb2_867	32
CarAnox_mtb2_18	52
CarAnox_mtb2_101	111
CarAnox_mtb2_583	24
CarAnox_mtb2_530	27
CarAnox_mtb2_1194	1126
CarAnox_mtb2_560	93
CarAnox_mtb2_737	103
CarAnox_mtb2_302	18
CarAnox_mtb2_1630	11
CarAnox_mtb2_1535	126
CarAnox_mtb2_181	889
CarAnox_mtb2_691	92
CarAnox_mtb2_669	718
CarAnox_mtb2_1441	983
CarAnox_mtb2_721	2943
CarAnox_mtb2_1655	118
CarAnox_mtb2_430	27
CarAnox_mtb2_567	10
CarAnox_mtb2_931	1945
CarAnox_mtb2_1288	679
CarAnox_mtb2_1201	35
CarAnox_mtb2_1010	7358
CarAnox_mtb2_1618	1301
CarAnox_mtb2_970	7
CarAnox_mtb2_1431	380
CarAnox_mtb2_671	6967
CarAnox_mtb2_1601	34
CarAnox_mtb2_663	1904
CarAnox_mtb2_1123	44
CarAnox_mtb2_972	731
CarAnox_mtb2_352	909
CarAnox_mtb2_722	237
CarAnox_mtb2_329	50
CarAnox_mtb2_1638	12
CarAnox_mtb2_599	508
CarAnox_mtb2_872	7
CarAnox_mtb2_1531	1415
CarAnox_mtb2_779	5
CarAnox_mtb2_672	211418
CarAnox_mtb2_1249	2274
CarAnox_mtb2_631	43
CarAnox_mtb2_756	2344
CarAnox_mtb2_1366	1896
CarAnox_mtb2_115	1408
CarAnox_mtb2_193	1164
CarAnox_mtb2_846	50
CarAnox_mtb2_189	281
CarAnox_mtb2_1190	12529
CarAnox_mtb2_957	9965
CarAnox_mtb2_1506	323
CarAnox_mtb2_1606	358
CarAnox_mtb2_1350	110
CarAnox_mtb2_196	86
CarAnox_mtb2_610	30
CarAnox_mtb2_1384	288
CarAnox_mtb2_1543	332
CarAnox_mtb2_1116	6009
CarAnox_mtb2_879	1300
CarAnox_mtb2_15	10
CarAnox_mtb2_1271	49
CarAnox_mtb2_1239	202614
CarAnox_mtb2_770	867
CarAnox_mtb2_1534	919
CarAnox_mtb2_586	15
CarAnox_mtb2_545	91460
CarAnox_mtb2_650	438
CarAnox_mtb2_112	126
CarAnox_mtb2_1363	804
CarAnox_mtb2_419	45
CarAnox_mtb2_629	357
CarAnox_mtb2_1512	278
CarAnox_mtb2_1092	4259
CarAnox_mtb2_347	1139
CarAnox_mtb2_914	10
CarAnox_mtb2_1089	106
CarAnox_mtb2_945	10348
CarAnox_mtb2_697	144
CarAnox_mtb2_658	29
CarAnox_mtb2_403	443
CarAnox_mtb2_3	168
CarAnox_mtb2_598	429
CarAnox_mtb2_495	14
CarAnox_mtb2_220	75
CarAnox_mtb2_224	4716
CarAnox_mtb2_1628	5461
CarAnox_mtb2_262	640
CarAnox_mtb2_117	79
CarAnox_mtb2_810	333
CarAnox_mtb2_685	83
CarAnox_mtb2_1056	1413
CarAnox_mtb2_1647	361
CarAnox_mtb2_22	68243
CarAnox_mtb2_291	883
CarAnox_mtb2_690	1192
CarAnox_mtb2_538	201
CarAnox_mtb2_623	47
CarAnox_mtb2_207	188
CarAnox_mtb2_771	9859
CarAnox_mtb2_539	1319
CarAnox_mtb2_1421	15
CarAnox_mtb2_777	36
CarAnox_mtb2_27	1107
CarAnox_mtb2_316	19
CarAnox_mtb2_114	207
CarAnox_mtb2_1098	203
CarAnox_mtb2_1316	675124
CarAnox_mtb2_1367	54
CarAnox_mtb2_662	377
CarAnox_mtb2_547	349
CarAnox_mtb2_24	1720
CarAnox_mtb2_611	114
CarAnox_mtb2_1524	1410
CarAnox_mtb2_63	42
CarAnox_mtb2_1627	218
CarAnox_mtb2_1437	29
CarAnox_mtb2_657	459
CarAnox_mtb2_1075	432
CarAnox_mtb2_573	13
CarAnox_mtb2_613	453
CarAnox_mtb2_651	601
CarAnox_mtb2_183	0
CarAnox_mtb2_772	1310
CarAnox_mtb2_314	185
CarAnox_mtb2_1242	1242
CarAnox_mtb2_386	79
CarAnox_mtb2_503	581
CarAnox_mtb2_1219	894
CarAnox_mtb2_1576	85149
CarAnox_mtb2_1299	482
CarAnox_mtb2_242	1296
CarAnox_mtb2_754	84
CarAnox_mtb2_236	587
CarAnox_mtb2_470	9
CarAnox_mtb2_1286	1326
CarAnox_mtb2_753	480
CarAnox_mtb2_604	9473
CarAnox_mtb2_51	52
CarAnox_mtb2_335	2985
CarAnox_mtb2_548	111
CarAnox_mtb2_652	1442
CarAnox_mtb2_757	53
CarAnox_mtb2_712	64
CarAnox_mtb2_1130	12
CarAnox_mtb2_1359	201
CarAnox_mtb2_916	11409
CarAnox_mtb2_1050	152
CarAnox_mtb2_1155	167
CarAnox_mtb2_317	49
CarAnox_mtb2_544	35908
CarAnox_mtb2_1527	22
CarAnox_mtb2_1400	10
CarAnox_mtb2_1179	909
CarAnox_mtb2_1083	34
CarAnox_mtb2_78	225
CarAnox_mtb2_20	263
CarAnox_mtb2_379	11622
CarAnox_mtb2_955	50
CarAnox_mtb2_490	15
CarAnox_mtb2_841	2419
CarAnox_mtb2_1250	1539
CarAnox_mtb2_893	525
CarAnox_mtb2_601	23
CarAnox_mtb2_552	55
CarAnox_mtb2_832	315
CarAnox_mtb2_880	60
CarAnox_mtb2_1521	438
CarAnox_mtb2_94	200
CarAnox_mtb2_226	53
CarAnox_mtb2_1117	5667
CarAnox_mtb2_1388	79
CarAnox_mtb2_561	4
CarAnox_mtb2_453	770
CarAnox_mtb2_1478	8
CarAnox_mtb2_21	1665
CarAnox_mtb2_803	54231
CarAnox_mtb2_775	55
CarAnox_mtb2_606	53
CarAnox_mtb2_1681	109721
CarAnox_mtb2_748	16
CarAnox_mtb2_38	26
CarAnox_mtb2_180	914
CarAnox_mtb2_925	1773
CarAnox_mtb2_420	39
CarAnox_mtb2_1549	18852
CarAnox_mtb2_1684	76
CarAnox_mtb2_591	67
CarAnox_mtb2_1079	157
CarAnox_mtb2_983	93907
CarAnox_mtb2_1171	200
CarAnox_mtb2_62	85
CarAnox_mtb2_885	260
CarAnox_mtb2_563	1728
CarAnox_mtb2_1508	208
CarAnox_mtb2_1007	136
CarAnox_mtb2_1413	14
CarAnox_mtb2_923	30
CarAnox_mtb2_1033	181209
CarAnox_mtb2_628	330
CarAnox_mtb2_214	25
CarAnox_mtb2_1432	1154
CarAnox_mtb2_32	23
CarAnox_mtb2_742	19
CarAnox_mtb2_864	252
CarAnox_mtb2_1554	230
CarAnox_mtb2_1372	349
CarAnox_mtb2_330	3
CarAnox_mtb2_1371	27
CarAnox_mtb2_1605	24068
CarAnox_mtb2_718	3
CarAnox_mtb2_751	2463
CarAnox_mtb2_1593	836
CarAnox_mtb2_13	990
CarAnox_mtb2_1414	381
CarAnox_mtb2_979	174
CarAnox_mtb2_688	3295
CarAnox_mtb2_86	21
CarAnox_mtb2_198	5324
CarAnox_mtb2_522	115
CarAnox_mtb2_504	34
CarAnox_mtb2_732	7100
CarAnox_mtb2_975	252
CarAnox_mtb2_692	55
CarAnox_mtb2_895	104
CarAnox_mtb2_1322	157
CarAnox_mtb2_1003	5207
CarAnox_mtb2_1433	109
CarAnox_mtb2_854	6
CarAnox_mtb2_1067	40
CarAnox_mtb2_1254	651
CarAnox_mtb2_109	30308
CarAnox_mtb2_1131	24
CarAnox_mtb2_956	7
CarAnox_mtb2_1507	1274784
CarAnox_mtb2_862	4273
CarAnox_mtb2_907	32
CarAnox_mtb2_1569	269
CarAnox_mtb2_1015	8
CarAnox_mtb2_1428	236
CarAnox_mtb2_1226	528
CarAnox_mtb2_481	506
CarAnox_mtb2_151	461
CarAnox_mtb2_334	175
CarAnox_mtb2_1465	120
