Genome	D3a900AM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_419	277
CarAnox_mtb2_629	12952
CarAnox_mtb2_1512	1584
CarAnox_mtb2_1092	96390
CarAnox_mtb2_347	69
CarAnox_mtb2_914	2820
CarAnox_mtb2_1089	31297
CarAnox_mtb2_945	1380
CarAnox_mtb2_697	69965
CarAnox_mtb2_658	57438
CarAnox_mtb2_403	855531
CarAnox_mtb2_3	379630
CarAnox_mtb2_598	61096
CarAnox_mtb2_495	2191
CarAnox_mtb2_220	82192
CarAnox_mtb2_224	126
CarAnox_mtb2_1628	4521
CarAnox_mtb2_262	242496
CarAnox_mtb2_117	7833
CarAnox_mtb2_810	355595
CarAnox_mtb2_685	13
CarAnox_mtb2_1056	327550
CarAnox_mtb2_1647	15064
CarAnox_mtb2_22	146
CarAnox_mtb2_291	23
CarAnox_mtb2_690	37
CarAnox_mtb2_538	2
CarAnox_mtb2_623	37663
CarAnox_mtb2_207	4355
CarAnox_mtb2_771	132603
CarAnox_mtb2_539	436605
CarAnox_mtb2_1421	40973
CarAnox_mtb2_777	1854
CarAnox_mtb2_27	478
CarAnox_mtb2_316	2702
CarAnox_mtb2_114	7779
CarAnox_mtb2_1098	265
CarAnox_mtb2_1316	2024
CarAnox_mtb2_1367	102
CarAnox_mtb2_662	53
CarAnox_mtb2_547	421968
CarAnox_mtb2_24	376267
CarAnox_mtb2_611	111918
CarAnox_mtb2_1524	4898
CarAnox_mtb2_63	8884
CarAnox_mtb2_1627	264338
CarAnox_mtb2_1437	5
CarAnox_mtb2_657	232909
CarAnox_mtb2_1075	55938
CarAnox_mtb2_573	32944
CarAnox_mtb2_613	567109
CarAnox_mtb2_651	71730
CarAnox_mtb2_183	3161
CarAnox_mtb2_772	324
CarAnox_mtb2_314	58
CarAnox_mtb2_1242	20382
CarAnox_mtb2_386	6796
CarAnox_mtb2_503	335957
CarAnox_mtb2_1219	741343
CarAnox_mtb2_1576	192
CarAnox_mtb2_1299	2331
CarAnox_mtb2_242	98
CarAnox_mtb2_754	59963
CarAnox_mtb2_236	214388
CarAnox_mtb2_470	33966
CarAnox_mtb2_1286	722
CarAnox_mtb2_753	79
CarAnox_mtb2_604	2764
CarAnox_mtb2_51	172270
CarAnox_mtb2_335	93
CarAnox_mtb2_548	39996
CarAnox_mtb2_652	801460
CarAnox_mtb2_757	248
CarAnox_mtb2_712	177637
CarAnox_mtb2_1130	15338
CarAnox_mtb2_1359	1557
CarAnox_mtb2_916	69
CarAnox_mtb2_1050	13605
CarAnox_mtb2_1155	279568
CarAnox_mtb2_317	8461
CarAnox_mtb2_544	1493
CarAnox_mtb2_1527	2036
CarAnox_mtb2_1400	25114
CarAnox_mtb2_1179	12567
CarAnox_mtb2_1083	2324
CarAnox_mtb2_78	1265
CarAnox_mtb2_20	4266
CarAnox_mtb2_379	7325
