Genome	D2a237A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	1050
CarAnox_mtb2_1542	932
CarAnox_mtb2_1515	5106
CarAnox_mtb2_211	1118574
CarAnox_mtb2_485	927
CarAnox_mtb2_46	201
CarAnox_mtb2_1170	625537
CarAnox_mtb2_293	16251
CarAnox_mtb2_638	429
CarAnox_mtb2_1548	10878
CarAnox_mtb2_1024	24
CarAnox_mtb2_1251	472
CarAnox_mtb2_1113	297
CarAnox_mtb2_1099	1989
CarAnox_mtb2_921	9009
CarAnox_mtb2_103	56
CarAnox_mtb2_952	16142
CarAnox_mtb2_1151	5006
CarAnox_mtb2_1243	11
CarAnox_mtb2_646	1033
CarAnox_mtb2_974	11
CarAnox_mtb2_670	672
CarAnox_mtb2_1504	4968
CarAnox_mtb2_933	298
CarAnox_mtb2_861	13
CarAnox_mtb2_1037	25884
CarAnox_mtb2_648	192
CarAnox_mtb2_1224	256
CarAnox_mtb2_45	276
CarAnox_mtb2_982	310
CarAnox_mtb2_1588	58
CarAnox_mtb2_422	127
CarAnox_mtb2_163	111
CarAnox_mtb2_289	919
CarAnox_mtb2_1148	10518
CarAnox_mtb2_1262	87
CarAnox_mtb2_254	355
CarAnox_mtb2_28	5206
CarAnox_mtb2_1301	14259
CarAnox_mtb2_1289	240
CarAnox_mtb2_395	268956
CarAnox_mtb2_1305	86
CarAnox_mtb2_81	80042
CarAnox_mtb2_724	39
CarAnox_mtb2_331	1293
CarAnox_mtb2_758	58
CarAnox_mtb2_1566	254
CarAnox_mtb2_723	2537
CarAnox_mtb2_1469	62
CarAnox_mtb2_1276	5
CarAnox_mtb2_1526	1989
CarAnox_mtb2_529	396
CarAnox_mtb2_1100	693
CarAnox_mtb2_239	36
CarAnox_mtb2_589	1966
CarAnox_mtb2_826	392
CarAnox_mtb2_1610	63
CarAnox_mtb2_656	7
CarAnox_mtb2_1540	11374
CarAnox_mtb2_1036	360
CarAnox_mtb2_1014	9685
CarAnox_mtb2_1544	327
CarAnox_mtb2_1584	29
CarAnox_mtb2_1502	18
