Genome	D2a267A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	27523
CarAnox_mtb2_1542	141189
CarAnox_mtb2_1515	1244499
CarAnox_mtb2_211	8251078
CarAnox_mtb2_485	31269
CarAnox_mtb2_46	2936
CarAnox_mtb2_1170	311802
CarAnox_mtb2_293	6659
CarAnox_mtb2_638	449
CarAnox_mtb2_1548	19068
CarAnox_mtb2_1024	117
CarAnox_mtb2_1251	68885
CarAnox_mtb2_1113	2314
CarAnox_mtb2_1099	231732
CarAnox_mtb2_921	347014
CarAnox_mtb2_103	2750
CarAnox_mtb2_952	905
CarAnox_mtb2_1151	78463
CarAnox_mtb2_1243	770
CarAnox_mtb2_646	177388
CarAnox_mtb2_974	96
CarAnox_mtb2_670	12908
CarAnox_mtb2_1504	23431
CarAnox_mtb2_933	14877
CarAnox_mtb2_861	152
CarAnox_mtb2_1037	668753
CarAnox_mtb2_648	45568
CarAnox_mtb2_1224	6167
CarAnox_mtb2_45	2109
CarAnox_mtb2_982	2162
CarAnox_mtb2_1588	1308
CarAnox_mtb2_422	6452
CarAnox_mtb2_163	114
CarAnox_mtb2_289	53247
CarAnox_mtb2_1148	10582
CarAnox_mtb2_1262	1598
CarAnox_mtb2_254	22110
CarAnox_mtb2_28	1256003
CarAnox_mtb2_1301	1265969
CarAnox_mtb2_1289	2319
CarAnox_mtb2_395	23245
CarAnox_mtb2_1305	2143
CarAnox_mtb2_81	571698
CarAnox_mtb2_724	105
CarAnox_mtb2_331	10267
CarAnox_mtb2_758	1160
CarAnox_mtb2_1566	9166
CarAnox_mtb2_723	45629
CarAnox_mtb2_1469	1157
CarAnox_mtb2_1276	37
CarAnox_mtb2_1526	29984
CarAnox_mtb2_529	30015
CarAnox_mtb2_1100	7877
CarAnox_mtb2_239	416
CarAnox_mtb2_589	472779
CarAnox_mtb2_826	6556
CarAnox_mtb2_1610	982
CarAnox_mtb2_656	10
CarAnox_mtb2_1540	4046
CarAnox_mtb2_1036	32377
CarAnox_mtb2_1014	19234
CarAnox_mtb2_1544	356
CarAnox_mtb2_1584	4997
CarAnox_mtb2_1502	27
CarAnox_mtb2_729	1397
CarAnox_mtb2_927	977
CarAnox_mtb2_315	21234
CarAnox_mtb2_102	126490
CarAnox_mtb2_1173	417
CarAnox_mtb2_1215	816081
CarAnox_mtb2_245	815
CarAnox_mtb2_1108	9
CarAnox_mtb2_34	12223
CarAnox_mtb2_815	3896
CarAnox_mtb2_1121	92633
CarAnox_mtb2_1583	25082
CarAnox_mtb2_1636	418644
CarAnox_mtb2_1252	34232
CarAnox_mtb2_507	154
CarAnox_mtb2_1463	50202
CarAnox_mtb2_554	7883
CarAnox_mtb2_1365	4305
CarAnox_mtb2_564	11837
CarAnox_mtb2_774	3025
CarAnox_mtb2_486	1377
CarAnox_mtb2_811	132078
CarAnox_mtb2_661	123
CarAnox_mtb2_1208	354558
CarAnox_mtb2_1369	194205
CarAnox_mtb2_2	819
CarAnox_mtb2_1188	194162
CarAnox_mtb2_790	53378
CarAnox_mtb2_1389	137049
CarAnox_mtb2_186	18169
CarAnox_mtb2_268	309787
CarAnox_mtb2_68	73672
CarAnox_mtb2_1039	129
CarAnox_mtb2_215	47495
CarAnox_mtb2_782	1852
CarAnox_mtb2_1285	3628
CarAnox_mtb2_1408	2660
