Genome	D2b237B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	8730
CarAnox_mtb2_1542	24
CarAnox_mtb2_1515	24
CarAnox_mtb2_211	9277212
CarAnox_mtb2_485	37
CarAnox_mtb2_46	3779
CarAnox_mtb2_1170	6180779
CarAnox_mtb2_293	905235
CarAnox_mtb2_638	30
CarAnox_mtb2_1548	139297
CarAnox_mtb2_1024	223
CarAnox_mtb2_1251	182
CarAnox_mtb2_1113	5
CarAnox_mtb2_1099	53
CarAnox_mtb2_921	216
CarAnox_mtb2_103	519
CarAnox_mtb2_952	401213
CarAnox_mtb2_1151	1727
CarAnox_mtb2_1243	231
CarAnox_mtb2_646	55
CarAnox_mtb2_974	98
CarAnox_mtb2_670	16
CarAnox_mtb2_1504	2552
CarAnox_mtb2_933	16
CarAnox_mtb2_861	26
CarAnox_mtb2_1037	2528
CarAnox_mtb2_648	26
CarAnox_mtb2_1224	1878
CarAnox_mtb2_45	1539
CarAnox_mtb2_982	40
CarAnox_mtb2_1588	45
CarAnox_mtb2_422	2395
CarAnox_mtb2_163	87
CarAnox_mtb2_289	842
CarAnox_mtb2_1148	172237
CarAnox_mtb2_1262	1090
CarAnox_mtb2_254	274
CarAnox_mtb2_28	244
CarAnox_mtb2_1301	406
CarAnox_mtb2_1289	275
CarAnox_mtb2_395	1083234
CarAnox_mtb2_1305	15
CarAnox_mtb2_81	460633
CarAnox_mtb2_724	46
CarAnox_mtb2_331	6333
CarAnox_mtb2_758	27
CarAnox_mtb2_1566	4039
CarAnox_mtb2_723	251
CarAnox_mtb2_1469	53
CarAnox_mtb2_1276	6
CarAnox_mtb2_1526	1821
CarAnox_mtb2_529	25
CarAnox_mtb2_1100	854
CarAnox_mtb2_239	7
CarAnox_mtb2_589	111
CarAnox_mtb2_826	75
CarAnox_mtb2_1610	107
CarAnox_mtb2_656	9
CarAnox_mtb2_1540	266336
CarAnox_mtb2_1036	47
CarAnox_mtb2_1014	6927
CarAnox_mtb2_1544	15
CarAnox_mtb2_1584	12
CarAnox_mtb2_1502	6
CarAnox_mtb2_729	223
CarAnox_mtb2_927	121534
CarAnox_mtb2_315	118054
CarAnox_mtb2_102	1604
CarAnox_mtb2_1173	76
CarAnox_mtb2_1215	79
CarAnox_mtb2_245	19
CarAnox_mtb2_1108	9
CarAnox_mtb2_34	19
CarAnox_mtb2_815	684
CarAnox_mtb2_1121	126
CarAnox_mtb2_1583	949100
CarAnox_mtb2_1636	822
CarAnox_mtb2_1252	5
CarAnox_mtb2_507	27
CarAnox_mtb2_1463	72
CarAnox_mtb2_554	31
CarAnox_mtb2_1365	64
CarAnox_mtb2_564	1584
CarAnox_mtb2_774	326067
CarAnox_mtb2_486	515
CarAnox_mtb2_811	28
CarAnox_mtb2_661	17
CarAnox_mtb2_1208	1155505
CarAnox_mtb2_1369	817435
CarAnox_mtb2_2	893523
CarAnox_mtb2_1188	348
CarAnox_mtb2_790	13480
CarAnox_mtb2_1389	8218
CarAnox_mtb2_186	121
CarAnox_mtb2_268	59
CarAnox_mtb2_68	94
CarAnox_mtb2_1039	291
CarAnox_mtb2_215	678
CarAnox_mtb2_782	2860
CarAnox_mtb2_1285	1983
CarAnox_mtb2_1408	14
CarAnox_mtb2_122	11
CarAnox_mtb2_791	558
CarAnox_mtb2_1279	6382
CarAnox_mtb2_120	46
CarAnox_mtb2_375	997
CarAnox_mtb2_1071	5
CarAnox_mtb2_1499	47
CarAnox_mtb2_1178	2
CarAnox_mtb2_171	1066
CarAnox_mtb2_620	2575
CarAnox_mtb2_48	76
CarAnox_mtb2_435	9
CarAnox_mtb2_1454	1154
CarAnox_mtb2_190	101
CarAnox_mtb2_890	30
CarAnox_mtb2_304	7
CarAnox_mtb2_1607	154
CarAnox_mtb2_16	3442025
CarAnox_mtb2_912	3656
CarAnox_mtb2_1016	68
CarAnox_mtb2_265	73
CarAnox_mtb2_857	396
CarAnox_mtb2_755	5938
CarAnox_mtb2_1167	170
CarAnox_mtb2_341	442
CarAnox_mtb2_1374	21
CarAnox_mtb2_867	340
CarAnox_mtb2_18	3
CarAnox_mtb2_101	21
CarAnox_mtb2_583	42
CarAnox_mtb2_530	20
CarAnox_mtb2_1194	233899
CarAnox_mtb2_560	29
CarAnox_mtb2_737	1
CarAnox_mtb2_302	616
CarAnox_mtb2_1630	2
CarAnox_mtb2_1535	1127
CarAnox_mtb2_181	160191
CarAnox_mtb2_691	317
CarAnox_mtb2_669	16
CarAnox_mtb2_1441	1337
CarAnox_mtb2_721	101
CarAnox_mtb2_1655	64
CarAnox_mtb2_430	838
CarAnox_mtb2_567	117
CarAnox_mtb2_931	38
CarAnox_mtb2_1288	66
CarAnox_mtb2_1201	548
CarAnox_mtb2_1010	111842
CarAnox_mtb2_1618	49
CarAnox_mtb2_970	53
CarAnox_mtb2_1431	435
CarAnox_mtb2_671	25
CarAnox_mtb2_1601	4
CarAnox_mtb2_663	154
CarAnox_mtb2_1123	21
CarAnox_mtb2_972	48691
CarAnox_mtb2_352	25292
CarAnox_mtb2_722	1119
CarAnox_mtb2_329	309
CarAnox_mtb2_1638	26
CarAnox_mtb2_599	1586
CarAnox_mtb2_872	49
CarAnox_mtb2_1531	81
CarAnox_mtb2_779	16
CarAnox_mtb2_672	535737
CarAnox_mtb2_1249	127
CarAnox_mtb2_631	169
CarAnox_mtb2_756	89
CarAnox_mtb2_1366	44315
CarAnox_mtb2_115	1038
CarAnox_mtb2_193	108093
CarAnox_mtb2_846	947
CarAnox_mtb2_189	87
CarAnox_mtb2_1190	262417
CarAnox_mtb2_957	301877
CarAnox_mtb2_1506	440
CarAnox_mtb2_1606	538
CarAnox_mtb2_1350	307
CarAnox_mtb2_196	2021
CarAnox_mtb2_610	2117
CarAnox_mtb2_1384	262
CarAnox_mtb2_1543	7
CarAnox_mtb2_1116	112
CarAnox_mtb2_879	2364
CarAnox_mtb2_15	137
CarAnox_mtb2_1271	1259
CarAnox_mtb2_1239	1602
CarAnox_mtb2_770	224
CarAnox_mtb2_1534	1671
CarAnox_mtb2_586	602
CarAnox_mtb2_545	1621972
CarAnox_mtb2_650	198
CarAnox_mtb2_112	588
CarAnox_mtb2_1363	1216
CarAnox_mtb2_419	453
CarAnox_mtb2_629	89
CarAnox_mtb2_1512	4622
CarAnox_mtb2_1092	20515
CarAnox_mtb2_347	227165
CarAnox_mtb2_914	376
CarAnox_mtb2_1089	1466
CarAnox_mtb2_945	482630
CarAnox_mtb2_697	23
CarAnox_mtb2_658	9
CarAnox_mtb2_403	27
CarAnox_mtb2_3	36
CarAnox_mtb2_598	68
CarAnox_mtb2_495	907
CarAnox_mtb2_220	136
CarAnox_mtb2_224	450088
CarAnox_mtb2_1628	15185
CarAnox_mtb2_262	43
CarAnox_mtb2_117	267
CarAnox_mtb2_810	178
CarAnox_mtb2_685	7026
CarAnox_mtb2_1056	32
CarAnox_mtb2_1647	28
CarAnox_mtb2_22	238295
CarAnox_mtb2_291	7487
CarAnox_mtb2_690	28117
CarAnox_mtb2_538	2172
CarAnox_mtb2_623	41
CarAnox_mtb2_207	22
CarAnox_mtb2_771	1941
CarAnox_mtb2_539	235
CarAnox_mtb2_1421	264
CarAnox_mtb2_777	58
CarAnox_mtb2_27	648
CarAnox_mtb2_316	5
CarAnox_mtb2_114	64
CarAnox_mtb2_1098	210
CarAnox_mtb2_1316	1086459
CarAnox_mtb2_1367	4073
CarAnox_mtb2_662	119
CarAnox_mtb2_547	59
CarAnox_mtb2_24	566
CarAnox_mtb2_611	193
CarAnox_mtb2_1524	7812
CarAnox_mtb2_63	32
CarAnox_mtb2_1627	244
CarAnox_mtb2_1437	4960
CarAnox_mtb2_657	25
CarAnox_mtb2_1075	18
CarAnox_mtb2_573	507
CarAnox_mtb2_613	21
CarAnox_mtb2_651	51
CarAnox_mtb2_183	1
CarAnox_mtb2_772	482
CarAnox_mtb2_314	1267
CarAnox_mtb2_1242	126
